N	2gram	Trubetskoy_1	Mirosoze
1	и в	23	46
2	в нем	3	22
3	у него	5	22
4	может быть	16	21
5	в этом	12	20
6	никогда не	4	18
7	для него	2	18
8	и не	8	18
9	не только	7	18
10	во имя	3	16
11	но и	9	15
12	не может	17	15
13	как и	9	13
14	не есть	2	13
15	прежде всего	3	12
16	друг друга	2	12
17	потому что	9	12
18	не было	2	11
19	в ней	3	11
20	у нас	3	11
21	та же	3	10
22	но в	4	10
23	он не	3	10
24	в себе	5	10
25	не в	8	9
26	не знает	2	9
27	как бы	10	8
28	в своем	10	8
29	так как	7	8
30	отношение к	4	8
31	она не	2	8
32	на земле	3	8
33	в мире	6	7
34	в этой	6	7
35	в нашем	3	7
36	что он	7	7
37	и к	5	7
38	и потому	3	7
39	хотя бы	4	7
40	и для	6	7
41	вопрос о	3	6
42	что это	5	6
43	так же	8	6
44	того что	6	6
45	жизни и	2	6
46	в народе	4	6
47	то же	4	5
48	я не	2	5
49	что все	5	5
50	в самом	8	5
51	те же	2	5
52	это не	3	5
53	в конце	4	5
54	друг к	2	5
55	и все	7	5
56	во всем	3	5
57	к тому	8	5
58	к другу	2	5
59	то что	18	5
60	для того	8	5
61	в его	5	5
62	и это	3	5
63	что в	8	4
64	тому что	2	4
65	для этого	7	4
66	все что	9	4
67	нет в	2	4
68	что у	2	4
69	они не	2	4
70	должны быть	3	4
71	самого себя	4	4
72	также и	2	4
73	чем у	8	4
74	в жизни	3	4
75	в свою	2	4
76	том что	19	4
77	что и	7	4
78	так и	10	4
79	того чтобы	8	4
80	у них	6	4
81	жизнь и	3	4
82	же как	3	3
83	считает себя	2	3
84	можно ли	2	3
85	себя и	2	3
86	и от	5	3
87	на все	5	3
88	в такой	4	3
89	к которой	3	3
90	в том	30	3
91	что они	2	3
92	не стоит	2	3
93	каждого человека	2	3
94	не так	4	3
95	в своих	2	3
96	и на	6	3
97	и с	5	3
98	по своей	7	3
99	о том	7	3
100	его в	5	3
101	с ним	6	3
102	если бы	8	3
103	в них	2	3
104	до сих	8	3
105	народ в	4	3
106	на почве	3	3
107	не будет	5	3
108	сих пор	8	3
109	от того	3	3
110	только в	6	3
111	есть в	2	3
112	а лишь	2	2
113	но на	2	2
114	в этих	3	2
115	свои силы	2	2
116	ее и	3	2
117	так что	5	2
118	это есть	4	2
119	как у	3	2
120	он считает	2	2
121	и если	6	2
122	но для	2	2
123	хотя и	4	2
124	к нему	2	2
125	этот процесс	2	2
126	по отношению	9	2
127	как к	5	2
128	что за	2	2
129	в разных	3	2
130	и других	2	2
131	лишь в	5	2
132	должно быть	4	2
133	а в	3	2
134	и те	2	2
135	от своей	2	2
136	в основе	2	2
137	точки зрения	13	2
138	бы в	3	2
139	между тем	12	2
140	а для	2	2
141	на этом	2	2
142	не будут	2	2
143	же что	2	2
144	тогда когда	3	2
145	если он	2	2
146	то в	2	2
147	связи с	4	2
148	чем в	3	2
149	и что	8	2
150	тот же	3	2
151	в сущности	2	2
152	во всех	10	2
153	на вершине	3	2
154	отношению к	9	2
155	вместе с	6	2
156	быть и	5	2
157	что же	2	2
158	но с	2	2
159	одной и	2	2
160	из этой	2	2
161	как будто	5	2
162	в которой	5	2
163	и поэтому	2	2
