N	2gram	Medvedev_V_1	KFilosof
1	может быть	22	43
2	в его	14	39
3	в нем	6	31
4	не может	17	27
5	и не	19	26
6	по отношению	7	25
7	и в	26	22
8	в котором	3	21
9	отношению к	7	21
10	в себе	6	21
11	в ее	4	17
12	а не	7	17
13	и его	6	17
14	только в	7	16
15	точки зрения	3	13
16	в этом	26	13
17	для него	8	12
18	но не	2	12
19	все эти	6	11
20	в своей	4	11
21	не в	6	11
22	из себя	2	10
23	в своем	8	10
24	это не	7	10
25	все это	10	10
26	во всех	6	10
27	и есть	5	9
28	в целом	4	9
29	но и	10	9
30	в их	5	9
31	как бы	5	9
32	и для	2	9
33	не было	7	8
34	лишь в	2	8
35	единого и	2	8
36	если бы	3	8
37	было бы	7	8
38	жизни и	3	8
39	на основе	5	7
40	в единстве	4	7
41	вовсе не	3	7
42	должен быть	4	7
43	что и	3	7
44	то что	6	7
45	в том	15	6
46	момент в	3	6
47	отнюдь не	3	6
48	и их	3	6
49	он не	2	6
50	никогда не	4	5
51	хотя бы	19	5
52	то же	10	5
53	от его	2	5
54	именно в	2	5
55	должно быть	2	5
56	но как	3	5
57	его в	3	5
58	но в	2	5
59	как и	7	5
60	не только	25	5
61	все же	5	5
62	мы имеем	3	5
63	что в	10	4
64	не по	2	4
65	в своих	2	4
66	с ними	4	4
67	между тем	5	4
68	могло бы	2	4
69	в одном	4	4
70	мира и	3	4
71	том что	8	4
72	во всей	2	4
73	а в	3	4
74	познания и	4	4
75	в чем	2	4
76	и весь	2	3
77	бы и	6	3
78	не менее	2	3
79	в каждом	2	3
80	из его	3	3
81	на язык	2	3
82	в виду	4	3
83	себе и	2	3
84	от того	2	3
85	того что	3	3
86	в ней	2	3
87	в то	6	3
88	того или	2	3
89	о том	10	3
90	в конкретной	2	3
91	всех этих	2	3
92	тогда когда	2	3
93	не быть	2	3
94	действительной жизни	3	3
95	еще не	2	3
96	и этот	2	3
97	нет и	3	3
98	бы не	2	3
99	для того	3	3
100	только с	2	3
101	что не	3	3
102	могут быть	5	3
103	в другом	2	3
104	может не	2	2
105	можно ли	2	2
106	прежде всего	13	2
107	или иной	2	2
108	и как	3	2
109	же время	5	2
110	он может	2	2
111	но для	2	2
112	не о	2	2
113	познания в	4	2
114	по себе	2	2
115	тому что	6	2
116	он и	2	2
117	говорить о	2	2
118	в сознании	4	2
119	а как	2	2
120	с его	3	2
121	с тем	3	2
122	а значит	3	2
123	в жизни	2	2
124	к этому	9	2
125	что он	4	2
126	в качестве	11	2
127	всех его	2	2
128	ли это	2	2
129	и может	2	2
130	ни одна	2	2
131	и потому	2	2
132	в процессе	16	2
133	так и	5	2
134	это только	4	2
135	это и	6	2
136	чтобы не	2	2
137	сводится к	3	2
138	того чтобы	3	2
139	и просто	2	2
140	в этой	4	2
141	в области	2	2
142	а для	2	2
