N	2gram	Losev_Vlad_2	Myshleni
1	точки зрения	7	26
2	таким образом	3	26
3	в том	18	24
4	и в	30	23
5	том что	12	21
6	в целом	4	20
7	с точки	3	18
8	того чтобы	2	17
9	то что	20	17
10	в этом	20	17
11	так же	4	16
12	не только	12	16
13	того что	5	15
14	для того	2	15
15	что в	12	14
16	может быть	7	14
17	но и	8	14
18	как и	5	14
19	в его	11	14
20	не может	9	12
21	как бы	5	11
22	сказать что	11	11
23	прежде всего	6	10
24	в отношении	3	10
25	и не	18	9
26	и с	14	9
27	вместе с	8	9
28	заключается в	2	8
29	и на	4	8
30	то же	4	8
31	в этой	4	7
32	в самом	2	7
33	в то	9	7
34	так как	5	7
35	с тем	2	7
36	что он	13	7
37	мы не	2	7
38	с этой	4	6
39	все это	5	6
40	именно в	4	6
41	потому что	9	6
42	с этим	5	6
43	о том	4	6
44	в сущности	2	6
45	мысли и	2	6
46	и его	6	6
47	в себе	6	6
48	только в	6	6
49	учения о	3	6
50	то время	6	5
51	можно сказать	4	5
52	и как	3	5
53	на то	2	5
54	по себе	5	5
55	что для	2	5
56	в своих	2	5
57	мы должны	4	5
58	и все	7	5
59	но в	8	5
60	и что	5	5
61	он не	4	5
62	так и	5	5
63	как мы	11	5
64	тем более	3	5
65	из этого	5	5
66	но не	3	4
67	в теории	2	4
68	в свою	3	4
69	не в	9	4
70	при этом	5	4
71	время как	2	4
72	в котором	5	4
73	ее на	2	4
74	все эти	5	4
75	не столько	3	4
76	в результате	5	4
77	их в	2	4
78	с его	4	4
79	к этому	6	4
80	и к	6	4
81	по существу	3	4
82	в чем	2	4
83	было бы	9	4
84	к тому	2	4
85	для себя	5	4
86	в своей	5	4
87	как в	3	4
88	хотя бы	3	4
89	ни в	7	4
90	в самых	2	3
91	уже в	3	3
92	я не	4	3
93	что это	4	3
94	в своем	8	3
95	и от	2	3
96	из этих	3	3
97	на все	2	3
98	свою очередь	2	3
99	в общем	2	3
100	и мы	4	3
101	том чтобы	2	3
102	и если	4	3
103	в их	2	3
104	отношения к	3	3
105	мы находим	2	3
106	его не	2	3
107	вовсе не	4	3
108	приходит к	2	3
109	как он	2	3
110	тогда когда	2	3
111	всяком случае	6	3
112	в новом	2	3
113	об этом	6	3
114	учение о	3	3
115	во всех	3	3
116	она не	2	3
117	не могу	2	3
118	все же	9	3
119	если не	2	3
120	а не	7	3
121	на этот	4	3
122	можно было	2	3
123	и то	5	3
124	во всяком	6	3
125	сам по	2	3
126	связи с	8	3
127	еще на	2	3
128	и это	3	3
129	в которой	4	3
130	в области	3	3
131	ничего не	2	3
132	в частности	2	2
133	никогда не	7	2
134	больше того	2	2
135	является как	2	2
136	в конце	13	2
137	первый план	2	2
138	что его	4	2
139	но все	2	2
140	к середине	2	2
141	на этом	2	2
142	же время	3	2
143	для него	9	2
144	о чем	6	2
145	несмотря на	4	2
146	хотя и	6	2
147	не имеет	2	2
148	мы видели	2	2
149	жизни и	6	2
150	и до	2	2
151	данном случае	2	2
152	той же	4	2
153	начиная с	2	2
154	и вот	3	2
155	и наконец	4	2
156	и даже	10	2
157	должно быть	3	2
158	а в	11	2
159	к его	2	2
160	те кто	2	2
161	что эти	2	2
162	в этих	4	2
163	как это	7	2
164	под влиянием	3	2
165	всех этих	3	2
166	в них	3	2
167	и я	5	2
168	и представить	2	2
169	на первый	2	2
170	только тогда	2	2
171	но тем	2	2
172	также еще	2	2
173	себе и	2	2
174	наконец в	3	2
175	том же	3	2
176	и потому	2	2
177	даже в	2	2
178	с ней	2	2
179	того как	2	2
180	в течение	5	2
181	в двух	2	2
182	уже не	3	2
183	к этим	2	2
184	прибавить еще	2	2
185	в данном	3	2
186	можно назвать	2	2
187	и при	2	2
188	в виде	3	2
189	его на	3	2
190	что если	2	2
191	дело в	3	2
192	едва ли	3	2
193	не могли	3	2
