N	2gram	Propp_Russ_1	Problemy
1	и в	36	34
2	и не	6	29
3	как бы	5	27
4	в его	2	22
5	к другому	2	20
6	может быть	8	19
7	в нем	2	19
8	не может	4	19
9	как и	10	18
10	но в	2	16
11	все это	6	16
12	в этом	12	16
13	и с	2	15
14	то же	3	14
15	т е	17	12
16	но и	16	12
17	и к	3	12
18	потому что	10	12
19	то что	6	11
20	на самом	2	11
21	не только	22	10
22	а не	2	9
23	себя и	2	8
24	и т	10	8
25	так же	3	8
26	точки зрения	3	8
27	с ним	2	8
28	и для	2	8
29	слова в	3	7
30	что в	19	7
31	этого слова	3	7
32	все же	5	7
33	как мы	10	7
34	как будто	5	7
35	там где	2	7
36	что они	7	6
37	что у	2	6
38	и на	10	6
39	с ними	5	6
40	так и	7	6
41	только в	4	6
42	что это	3	5
43	это не	10	5
44	к тому	4	5
45	так что	2	5
46	но все	3	5
47	и что	4	5
48	того что	4	5
49	в целом	2	5
50	из них	8	5
51	таким образом	6	5
52	а в	9	5
53	мы должны	2	5
54	с тем	8	5
55	в одном	3	5
56	что и	7	5
57	и у	5	5
58	но это	4	4
59	на этом	3	4
60	у него	2	4
61	при этом	6	4
62	его с	4	4
63	все эти	2	4
64	так как	15	4
65	но не	2	4
66	еще не	4	4
67	как в	5	4
68	только на	3	4
69	с точки	3	4
70	тем что	4	4
71	в виде	6	4
72	ничего не	3	4
73	вместе с	10	4
74	не менее	3	3
75	для этого	2	3
76	в каждом	2	3
77	его к	2	3
78	в том	17	3
79	такой же	2	3
80	до конца	2	3
81	хотя и	2	3
82	его и	2	3
83	их в	3	3
84	в ней	2	3
85	как он	2	3
86	большинстве случаев	2	3
87	том что	19	3
88	между тем	7	3
89	еще в	4	3
90	как можно	2	3
91	а с	4	3
92	как символ	2	3
93	и как	2	3
94	далеко не	3	3
95	не было	2	2
96	тому что	4	2
97	та же	2	2
98	этом случае	5	2
99	она в	3	2
100	тем не	3	2
101	но ни	2	2
102	в большинстве	2	2
103	например в	2	2
104	к слову	2	2
105	в эти	4	2
106	один из	8	2
107	в этот	10	2
108	в своем	3	2
109	т д	9	2
110	в которых	5	2
111	с этим	2	2
112	о том	8	2
113	во время	14	2
114	всех этих	2	2
115	отнюдь не	2	2
116	в них	6	2
117	в жизни	2	2
118	не с	3	2
119	должна была	2	2
120	мы увидим	8	2
121	во всех	4	2
122	к ней	2	2
123	и потому	2	2
124	своего рода	3	2
125	когда он	2	2
126	быть и	2	2
127	находится в	2	2
128	так в	4	2
129	входит в	4	2
130	уже не	6	2
131	между двумя	2	2
132	будто бы	6	2
133	еще до	2	2
134	же не	2	2
135	о чем	3	2
