N	2gram	Losev_Dial_2	KFilosof
1	может быть	20	43
2	в нем	10	31
3	не может	9	27
4	и не	30	26
5	в бытии	2	26
6	и в	19	22
7	в себе	15	21
8	не есть	47	19
9	в ее	4	17
10	а не	16	17
11	и его	5	17
12	только в	5	16
13	точки зрения	12	13
14	в этом	8	13
15	ни в	10	12
16	но не	6	12
17	и это	5	12
18	все эти	2	11
19	в своей	8	11
20	не в	8	11
21	к нему	4	11
22	в своем	4	10
23	это не	10	10
24	все это	4	10
25	во всех	2	10
26	с точки	8	10
27	и есть	4	9
28	но и	12	9
29	в их	2	9
30	как бы	14	9
31	и все	12	9
32	не было	3	8
33	было бы	3	8
34	жизни и	6	8
35	вовсе не	13	7
36	конечно не	6	7
37	что и	5	7
38	то что	14	7
39	себя в	2	7
40	быть только	2	7
41	я не	6	6
42	и я	2	6
43	в смысле	5	6
44	в том	14	6
45	но это	7	6
46	момент в	2	6
47	смысл и	2	6
48	и только	4	6
49	в мире	2	6
50	отнюдь не	6	6
51	ко мне	2	6
52	совершенно не	7	6
53	и их	3	6
54	он не	4	6
55	не значит	3	6
56	уже не	3	6
57	никогда не	9	5
58	хотя бы	4	5
59	то же	12	5
60	но все	2	5
61	именно в	2	5
62	должно быть	7	5
63	но как	5	5
64	но ведь	2	5
65	его в	3	5
66	с ним	4	5
67	но в	2	5
68	как и	10	5
69	что я	2	5
70	не только	19	5
71	все же	4	5
72	мы имеем	3	5
73	со всем	2	5
74	времени и	9	4
75	что в	7	4
76	время и	2	4
77	при этом	4	4
78	не по	2	4
79	в своих	2	4
80	с ними	2	4
81	между тем	2	4
82	в одном	4	4
83	нисколько не	4	4
84	не как	2	4
85	быть в	4	4
86	том что	10	4
87	только как	3	4
88	а в	4	4
89	в каком	4	4
90	в чем	3	4
91	во мне	4	3
92	бы и	2	3
93	независимо от	4	3
94	должна быть	5	3
95	что это	10	3
96	не менее	3	3
97	в каждом	2	3
98	и пр	5	3
99	нем и	2	3
100	в виду	5	3
101	когда я	2	3
102	себе и	3	3
103	от того	4	3
104	того что	6	3
105	и совершенно	2	3
106	в ней	2	3
107	в то	6	3
108	того или	2	3
109	о том	5	3
110	всех этих	3	3
111	сознания и	5	3
112	тогда когда	6	3
113	ясно что	4	3
114	не должно	2	3
115	не быть	2	3
116	в акте	2	3
117	по своему	5	3
118	еще не	4	3
119	не могу	6	3
120	и делает	2	3
121	быть и	4	3
122	на самом	2	3
123	культуры и	2	3
124	самом деле	4	3
125	что не	6	3
126	что этот	3	3
127	тем что	2	3
128	могут быть	4	3
129	в другом	4	3
130	ничего не	3	3
131	может не	4	2
132	смысла и	2	2
133	или иное	4	2
134	это уже	2	2
135	можно ли	3	2
136	и время	4	2
137	бытие и	2	2
138	та же	4	2
139	я уже	2	2
140	прежде всего	8	2
141	вопрос о	3	2
142	тем не	2	2
143	и как	10	2
144	это есть	8	2
145	же время	5	2
146	он может	2	2
147	и мы	3	2
148	его с	3	2
149	по себе	18	2
150	тому что	2	2
151	что есть	2	2
152	потому что	14	2
153	может иметь	3	2
154	той или	4	2
155	говорить о	5	2
156	но всегда	2	2
157	пространства и	7	2
158	я и	2	2
159	это суть	2	2
160	и то	7	2
161	с тем	2	2
162	в жизни	2	2
163	что он	6	2
164	будет ли	2	2
165	даны в	3	2
166	не будет	2	2
167	себе как	3	2
168	и может	6	2
169	или иным	2	2
170	в это	3	2
171	и когда	4	2
172	и потому	5	2
173	дело не	2	2
174	так и	10	2
175	как в	2	2
176	это только	3	2
177	в виде	2	2
178	это и	3	2
179	чтобы не	6	2
180	и она	2	2
181	то или	4	2
182	утверждение себя	2	2
183	жизнь и	5	2
184	в данном	3	2
185	и та	6	2
186	от этого	3	2
187	но я	3	2
188	в этой	3	2
189	или как	3	2
190	не потому	6	2
191	в области	2	2
