N	2gram	Tiupa_Teor_1	Myslijsy
1	то есть	12	34
2	потому что	3	33
3	то что	3	29
4	может быть	17	26
5	таким образом	3	24
6	в том	16	23
7	и в	18	23
8	в этом	8	23
9	в слове	3	22
10	и не	13	18
11	что в	9	17
12	при этом	12	15
13	только в	6	15
14	как и	4	14
15	в себе	9	14
16	то же	7	14
17	того что	4	14
18	если бы	3	13
19	том что	9	12
20	а не	9	12
21	но и	9	11
22	не в	7	11
23	не может	4	11
24	и потому	2	10
25	по отношению	4	10
26	не только	16	10
27	для меня	2	10
28	между тем	5	9
29	в своем	4	8
30	отношению к	4	8
31	сказать что	3	8
32	но в	9	8
33	это не	2	7
34	в нем	4	7
35	что и	2	7
36	и что	3	7
37	вовсе не	3	7
38	могут быть	4	7
39	как в	5	7
40	этого слова	3	7
41	и к	3	6
42	вместе с	2	6
43	в которой	2	6
44	так и	10	6
45	для него	2	5
46	хотя и	3	5
47	в его	6	5
48	как бы	5	5
49	все это	2	5
50	не менее	4	5
51	одно слово	2	5
52	а в	13	5
53	говорить о	3	5
54	и то	2	5
55	есть в	2	5
56	тем не	3	4
57	тогда как	15	4
58	можно сказать	3	4
59	в одном	2	4
60	и о	4	4
61	и тем	3	4
62	между ними	4	4
63	а именно	2	4
64	в той	2	4
65	тем самым	4	4
66	так же	2	4
67	с другими	5	4
68	точки зрения	9	4
69	в данном	8	4
70	в то	6	4
71	быть названо	2	4
72	могли бы	2	4
73	его в	2	4
74	мы имеем	7	4
75	слова в	2	3
76	только не	2	3
77	ни был	2	3
78	никогда не	4	3
79	в этих	3	3
80	в них	2	3
81	именно в	3	3
82	не будет	2	3
83	же время	5	3
84	еще не	4	3
85	к тому	2	3
86	в самом	4	3
87	известной степени	3	3
88	мы в	2	3
89	в виду	5	3
90	со стороны	2	3
91	так в	4	3
92	все эти	2	3
93	уже не	4	3
94	лишь в	6	3
95	и по	2	3
96	то в	2	3
97	их в	3	3
98	в искусстве	6	3
99	в поэзии	2	3
100	с точки	3	3
101	в первом	2	3
102	я не	2	2
103	не могут	2	2
104	состоит в	17	2
105	и как	2	2
106	в нашем	4	2
107	говоря словами	3	2
108	тому что	2	2
109	превращается в	2	2
110	столь же	2	2
111	с другой	7	2
112	из этих	3	2
113	языка в	4	2
114	для понимания	2	2
115	отношение к	5	2
116	что может	2	2
117	и здесь	2	2
118	кто говорит	3	2
119	в ее	5	2
120	в самой	2	2
121	у нас	2	2
122	об этом	2	2
123	лишь один	2	2
124	по своему	2	2
125	в большинстве	2	2
126	имеем дело	2	2
127	в свою	3	2
128	он не	3	2
129	не вполне	2	2
130	никто не	2	2
131	так или	4	2
132	даже в	3	2
133	один из	2	2
134	не с	3	2
135	и это	2	2
136	в мире	19	2
137	данном случае	5	2
138	что она	2	2
139	и для	2	2
140	если мы	2	2
141	дело не	2	2
142	до известной	2	2
143	и даже	2	2
144	и притом	2	2
145	сводятся к	2	2
146	и его	8	2
147	или иначе	5	2
148	не следует	4	2
149	с языком	2	2
150	к его	2	2
151	я в	16	2
152	из тех	2	2
153	быть и	2	2
154	в области	4	2
155	на деле	2	2
156	это было	2	2
157	ни к	3	2
158	имеет в	2	2
