N	2gram	Bakhtin_Fr_1	OGranits
1	и в	65	13
2	и его	10	12
3	прежде всего	11	9
4	не может	3	8
5	и не	22	8
6	может быть	6	8
7	и их	3	7
8	и т.п	17	7
9	точки зрения	7	7
10	и пр	5	7
11	в его	9	7
12	не только	10	6
13	то что	3	6
14	только в	7	6
15	как бы	22	6
16	все же	6	5
17	с точки	3	5
18	и эта	3	5
19	и наконец	2	5
20	в процессе	2	5
21	не является	3	4
22	в своей	5	4
23	все это	9	4
24	еще и	5	4
25	на фоне	3	4
26	вполне понятно	2	4
27	но в	14	4
28	связана с	5	3
29	что в	3	3
30	никогда не	6	3
31	но и	10	3
32	так и	10	3
33	понятно что	2	3
34	в их	4	3
35	и все	5	3
36	в одном	5	3
37	превращается в	5	3
38	самом деле	3	3
39	в ее	3	3
40	да и	2	3
41	тела и	6	3
42	как и	5	3
43	не в	4	3
44	за пределы	8	3
45	в себе	3	3
46	в искусстве	3	3
47	и для	2	3
48	так как	6	3
49	но для	3	3
50	и др	24	2
51	в нем	13	2
52	во всей	3	2
53	в целом	2	2
54	в отношении	6	2
55	с другой	3	2
56	от своего	2	2
57	от всех	3	2
58	в них	5	2
59	входит в	4	2
60	с одной	2	2
61	все эти	10	2
62	вовсе не	18	2
63	роль в	2	2
64	в книге	2	2
65	конечно в	2	2
66	в тех	3	2
67	к тому	2	2
68	и к	4	2
69	как в	5	2
70	в общем	4	2
71	в чем	2	2
72	в том	16	2
73	том что	6	2
74	мы видим	2	2
75	в своих	5	2
76	в этом	15	2
77	между тем	5	2
78	могут быть	2	2
79	при этом	6	2
80	для него	5	2
81	форм и	9	2
82	во всем	2	2
83	более того	2	2
84	одной стороны	2	2
85	несмотря на	2	2
86	мы уже	12	2
87	его на	2	2
88	в области	7	2
89	нет ничего	3	2
90	в самом	4	2
91	нужно отметить	3	2
92	в ней	6	2
