N	2gram	Berdyaev_O_1	DiskursI
1	не только	11	28
2	в том	5	23
3	а не	11	22
4	том что	2	19
5	может быть	11	17
6	и в	19	16
7	как и	6	16
8	в этом	12	15
9	еще не	3	14
10	но и	13	14
11	прежде всего	9	11
12	и не	13	11
13	в нем	10	9
14	не может	4	9
15	так и	2	8
16	о том	3	8
17	но в	2	8
18	в его	7	7
19	не было	9	7
20	в себе	3	7
21	не в	11	7
22	в своем	2	6
23	как бы	3	5
24	в своей	2	5
25	то что	5	5
26	а в	5	5
27	и на	2	5
28	с его	4	4
29	что в	4	4
30	и к	2	4
31	что он	3	4
32	для него	5	4
33	в истории	2	4
34	и о	2	4
35	отношение к	5	4
36	лишь в	7	4
37	что не	4	4
38	потому что	9	4
39	могут быть	3	4
40	это не	3	3
41	по себе	2	3
42	что и	2	3
43	в ее	2	3
44	в самом	5	3
45	хотя бы	3	3
46	все же	2	3
47	того что	3	3
48	в своих	3	3
49	сказать что	2	3
50	тем что	2	3
51	и потому	2	3
52	и есть	3	2
53	никогда не	9	2
54	и все	10	2
55	к этому	2	2
56	различие между	3	2
57	хотя и	2	2
58	не есть	2	2
59	когда он	3	2
60	что же	2	2
61	мысли и	3	2
62	жизни в	2	2
63	как к	2	2
64	уже в	2	2
65	человека в	11	2
66	и он	8	2
67	и его	4	2
68	и ее	3	2
69	он всегда	7	2
70	в другом	2	2
71	в этой	5	2
72	это было	3	2
