N	2gram	Voloshinov_2	Myslijsy
1	то есть	2	30
2	и в	19	24
3	в душе	4	23
4	может быть	28	23
5	то что	4	20
6	и не	19	19
7	а не	9	18
8	в том	7	18
9	что в	2	16
10	по себе	3	15
11	не только	13	15
12	того же	5	14
13	при этом	9	13
14	было бы	4	13
15	не в	10	13
16	в слове	4	13
17	но не	2	12
18	не может	18	12
19	то же	16	12
20	мы можем	6	12
21	если бы	11	11
22	что и	3	11
23	вместе с	2	11
24	мы не	2	11
25	только в	8	11
26	таким образом	14	11
27	для него	9	10
28	в себе	4	10
29	так как	3	10
30	независимо от	2	9
31	вовсе не	11	9
32	в нем	11	9
33	как бы	19	9
34	но и	10	9
35	а в	3	8
36	том что	10	8
37	более или	2	8
38	или менее	2	8
39	и на	5	8
40	в этом	15	8
41	могут быть	3	8
42	прежде всего	7	7
43	во всяком	3	7
44	всяком случае	2	7
45	во всех	6	7
46	или же	2	7
47	как и	9	7
48	того что	4	7
49	тем что	2	7
50	с этим	3	7
51	связи с	13	6
52	с другой	3	6
53	не есть	3	6
54	и того	5	6
55	и как	6	6
56	свою очередь	5	6
57	в свою	6	6
58	не было	3	6
59	не имеет	3	6
60	между тем	6	6
61	одного и	4	6
62	в то	8	6
63	этого слова	5	6
64	слова в	8	5
65	уже в	2	5
66	столь же	3	5
67	по крайней	2	5
68	по мере	4	5
69	крайней мере	2	5
70	что они	2	5
71	что не	2	5
72	если б	3	5
73	на то	4	5
74	о том	3	5
75	и их	4	5
76	так и	10	5
77	бы не	2	5
78	для того	6	5
79	с другими	3	5
80	все же	5	5
81	место в	2	4
82	никогда не	7	4
83	что он	4	4
84	сравнительно с	2	4
85	одна из	7	4
86	до сих	3	4
87	еще не	3	4
88	должны быть	2	4
89	в самом	6	4
90	в котором	3	4
91	сих пор	3	4
92	с одной	3	4
93	что оно	3	4
94	к другому	5	4
95	в таком	7	4
96	влияние на	4	4
97	они не	2	4
98	от него	2	4
99	там где	2	4
100	так сказать	14	4
101	но в	7	4
102	что это	2	3
103	смысле этого	4	3
104	это не	4	3
105	не как	3	3
106	и от	3	3
107	и все	6	3
108	на все	2	3
109	ни было	6	3
110	одной стороны	3	3
111	относится к	3	3
112	в ней	3	3
113	его в	7	3
114	и тем	4	3
115	не с	2	3
116	слова и	6	3
117	и тогда	2	3
118	только что	3	3
119	языка и	15	3
120	в языке	7	3
121	если мы	6	3
122	и у	2	3
123	тем же	4	3
124	не так	2	3
125	и для	7	3
126	как на	2	3
127	той же	3	3
128	рядом с	2	3
129	об одном	2	3
130	с ними	4	3
131	и то	3	3
132	от одного	3	3
133	в каком	3	3
134	далеко не	2	3
135	в этих	3	3
136	это будет	2	3
137	самого начала	5	2
138	таком случае	3	2
139	в нашем	2	2
140	и его	16	2
141	в какой	3	2
142	хотя бы	6	2
143	то к	2	2
144	и это	3	2
145	в жизни	2	2
146	между ними	2	2
147	к этому	5	2
148	вопрос о	2	2
149	значение и	2	2
150	в собственном	2	2
151	с его	8	2
152	мы знаем	2	2
153	бы в	4	2
154	у нас	3	2
155	которой мы	2	2
156	за пределы	3	2
157	это восприятие	2	2
158	все эти	3	2
159	так же	5	2
160	у него	2	2
161	же время	8	2
162	но что	2	2
163	одно и	3	2
164	связано с	3	2
165	в формах	4	2
166	и следовательно	6	2
167	в его	5	2
168	и потому	2	2
169	слова для	3	2
170	не имеют	3	2
171	слово как	2	2
172	допустим что	2	2
173	в связи	7	2
174	восприятия и	2	2
175	а с	2	2
176	эти последние	2	2
177	на самом	7	2
178	самом деле	9	2
179	с самого	5	2
180	того чтобы	6	2
181	ко всем	2	2
182	должно быть	3	2
183	друг друга	2	2
184	отношения к	2	2
185	или в	2	2
186	по отношению	8	2
187	и здесь	5	2
188	сказать что	4	2
189	тому что	4	2
190	то мы	2	2
191	не на	2	2
192	даже и	2	2
193	в другом	3	2
194	может стать	2	2
195	отношении к	5	2
196	оно может	3	2
197	это было	2	2
