N	2gram	Berdyaev_M_1	Vladivir
1	и в	28	30
2	то что	5	20
3	в этом	20	20
4	у него	17	19
5	в том	6	18
6	и не	11	18
7	и с	3	14
8	что он	10	13
9	в конце	7	13
10	том что	3	12
11	что в	10	12
12	не только	29	12
13	в его	9	11
14	а в	4	11
15	сказать что	2	11
16	не было	18	10
17	не в	16	9
18	для него	11	9
19	было бы	10	9
20	все же	2	9
21	потому что	16	9
22	не может	28	9
23	в то	2	9
24	в своем	10	8
25	вместе с	6	8
26	но и	25	8
27	не мог	3	8
28	но в	7	8
29	никогда не	14	7
30	точки зрения	4	7
31	и все	10	7
32	до конца	14	7
33	может быть	30	7
34	которую он	2	7
35	для нас	3	7
36	а не	25	7
37	то есть	3	7
38	к этому	2	6
39	прежде всего	10	6
40	и к	2	6
41	он был	14	6
42	у нас	5	6
43	то время	2	6
44	только в	6	6
45	в себе	7	6
46	жизни и	2	6
47	и его	9	6
48	также и	2	6
49	о чем	2	6
50	и я	5	5
51	к концу	4	5
52	как и	5	5
53	в своей	15	5
54	он уже	6	5
55	как бы	2	5
56	в котором	8	5
57	все это	6	5
58	с этим	3	5
59	и что	2	5
60	того что	7	5
61	все эти	2	5
62	так как	3	5
63	с ним	2	5
64	разного рода	2	4
65	с его	3	4
66	с этой	4	4
67	его в	3	4
68	в этой	6	4
69	конечно не	3	4
70	и мы	2	4
71	в ней	15	4
72	он не	24	4
73	в нем	13	4
74	не есть	9	4
75	в этих	4	4
76	на этот	2	4
77	и он	12	4
78	и на	6	4
79	в начале	2	4
80	о том	2	4
81	в которой	6	4
82	отношение к	4	4
83	учение о	3	3
84	уже в	4	3
85	должен был	4	3
86	в них	4	3
87	хотя бы	3	3
88	в свою	2	3
89	что и	4	3
90	и как	2	3
91	но не	8	3
92	он и	2	3
93	и для	2	3
94	только одно	3	3
95	как в	2	3
96	отношения к	4	3
97	только и	3	3
98	и вот	3	3
99	уже не	4	3
100	должно быть	3	3
101	даже и	2	3
102	к ней	4	3
103	но он	9	3
104	и это	12	3
105	нет ничего	7	3
106	в россии	2	3
107	конце концов	2	3
108	когда мы	2	3
109	к нему	7	2
110	с которой	2	2
111	он сам	6	2
112	еще в	2	2
113	с тем	9	2
114	и есть	14	2
115	у достоевского	42	2
116	него и	2	2
117	жизни в	2	2
118	это не	5	2
119	и от	2	2
120	не был	7	2
121	человек не	10	2
122	к тому	3	2
123	хотел бы	4	2
124	которая есть	3	2
125	на этом	3	2
126	по своему	2	2
127	есть и	3	2
128	она не	4	2
129	достоевского но	3	2
130	себе и	2	2
131	в самом	11	2
132	он никогда	2	2
133	ни с	4	2
134	и потому	10	2
135	о нем	2	2
136	для того	2	2
137	в виду	2	2
138	время как	2	2
139	будто бы	3	2
140	был в	4	2
141	не имеет	3	2
142	себя в	3	2
143	с ней	2	2
144	который был	2	2
145	в их	4	2
146	я хотел	2	2
147	на земле	2	2
148	бог и	7	2
149	в той	2	2
150	и она	2	2
151	того чтобы	2	2
152	и по	4	2
153	к этим	2	2
154	и нужно	2	2
155	его не	3	2
156	нет никаких	2	2
157	это значит	3	2
158	мысли и	2	2
159	в более	2	2
160	и во	2	2
161	вера в	3	2
162	как будто	2	2
163	как он	2	2
164	к этой	2	2
165	ничего не	3	2
