N	2gram	Vygotskiy__1	VelikijI
1	и не	16	20
2	и в	31	16
3	то что	32	9
4	так как	18	9
5	что они	2	7
6	и потому	2	7
7	а не	13	7
8	человека и	2	6
9	не есть	3	6
10	хотя и	3	5
11	как бы	5	5
12	но и	2	5
13	все это	8	5
14	что есть	2	5
15	того что	10	5
16	и есть	5	4
17	что все	3	4
18	что он	7	4
19	в нем	2	4
20	как и	16	4
21	все что	3	4
22	что мы	8	4
23	в котором	4	4
24	так и	3	4
25	потому что	10	4
26	в этом	12	4
27	и все	5	4
28	в его	6	4
29	должна быть	3	3
30	что в	23	3
31	их от	2	3
32	по этому	2	3
33	в этих	4	3
34	в них	2	3
35	в конце	3	3
36	в жизни	2	3
37	ни в	9	3
38	в том	30	3
39	не в	11	3
40	но это	3	3
41	что я	4	3
42	тот же	2	3
43	к тому	4	3
44	никогда не	8	3
45	что и	13	3
46	жизни и	3	3
47	в своей	3	3
48	бы и	2	3
49	тому что	4	3
50	не было	3	3
51	и что	8	3
52	к чему	2	3
53	и для	5	3
54	их в	2	3
55	в чем	2	3
56	но в	3	3
57	тот кто	2	2
58	и теперь	2	2
59	не могут	3	2
60	с тем	3	2
61	его и	3	2
62	прежде всего	4	2
63	ее и	2	2
64	для нас	5	2
65	том что	16	2
66	одна из	4	2
67	от него	2	2
68	но не	3	2
69	это мы	2	2
70	того чтобы	7	2
71	вслед за	6	2
72	и во	2	2
73	не только	13	2
74	один из	4	2
75	но мы	3	2
76	и т	26	2
77	не будет	3	2
78	и тогда	2	2
79	т д	8	2
80	это все	3	2
81	в себя	2	2
82	мы не	12	2
83	уже не	2	2
84	я думаю	2	2
85	его не	2	2
86	а в	6	2
87	с ним	2	2
88	и то	2	2
89	между тем	4	2
90	могут быть	11	2
91	только в	14	2
92	и это	3	2
93	во всяком	8	2
