N	2gram	Potebnia_M_2	Marksizm
1	может быть	23	26
2	и не	19	26
3	не может	12	24
4	и в	24	19
5	и его	2	19
6	таким образом	11	17
7	в этом	8	16
8	как бы	9	15
9	прежде всего	7	13
10	языка и	3	13
11	как и	7	12
12	так и	5	11
13	если мы	3	11
14	и для	3	11
15	связи с	6	11
16	в самом	4	10
17	в нем	9	10
18	в слове	13	10
19	ни было	3	10
20	самом деле	2	10
21	для него	10	9
22	только в	11	9
23	при этом	13	8
24	но и	9	8
25	друг друга	2	8
26	до сих	4	8
27	не только	15	8
28	все же	5	8
29	то что	20	8
30	сих пор	4	8
31	в каждом	2	7
32	в связи	2	7
33	все эти	2	7
34	так же	2	7
35	но в	4	7
36	во всех	7	7
37	то же	12	7
38	а не	18	7
39	в том	18	6
40	другой стороны	2	6
41	и здесь	2	6
42	того же	14	6
43	в организме	2	6
44	в его	2	6
45	и того	6	6
46	мы не	11	6
47	так сказать	4	6
48	с другой	6	5
49	одного и	6	5
50	мы знаем	2	5
51	не в	13	5
52	те же	3	5
53	рядом с	3	5
54	и потому	2	5
55	и все	3	5
56	к этому	2	5
57	вовсе не	9	5
58	за пределы	2	5
59	того чтобы	2	5
60	хотя бы	2	5
61	во всяком	7	5
62	может стать	2	5
63	самого начала	2	4
64	что в	16	4
65	не менее	5	4
66	вопрос о	2	4
67	с самого	2	4
68	в ней	3	4
69	от того	5	4
70	слово как	2	4
71	не столько	2	4
72	а в	8	4
73	и на	8	4
74	тот же	5	4
75	сказать что	2	4
76	что слово	2	4
77	с этим	7	4
78	по себе	15	4
79	еще не	4	4
80	было бы	13	4
81	и тот	2	4
82	как в	10	4
83	в языке	3	4
84	для того	5	4
85	между ними	2	4
86	оно может	2	4
87	отношении к	2	4
88	далеко не	3	4
89	место в	4	3
90	и есть	2	3
91	в какой	2	3
92	и от	3	3
93	и как	6	3
94	же время	2	3
95	не дает	2	3
96	не имеют	2	3
97	в котором	4	3
98	из них	5	3
99	все это	2	3
100	по отношению	2	3
101	не было	6	3
102	того что	7	3
103	к другой	2	3
104	не имеет	6	3
105	с другими	5	3
106	от одного	3	3
107	между тем	6	3
108	в то	6	3
109	его в	3	3
110	смысле этого	3	3
111	к другому	4	3
112	не могут	7	3
113	в каком	3	3
114	том что	8	3
115	и при	3	3
116	для говорящего	2	3
117	мы должны	2	3
118	общего с	2	3
119	не есть	6	3
120	на самом	2	3
121	должны быть	4	3
122	и следовательно	2	3
123	но все	2	3
124	между двумя	6	3
125	слова и	3	3
126	и это	2	3
127	в которой	5	3
128	зависит от	2	2
129	сама по	2	2
130	самое это	3	2
131	независимо от	9	2
132	никогда не	4	2
133	что во	2	2
134	тому что	2	2
135	мы тем	2	2
136	что все	2	2
137	одной и	2	2
138	слова но	2	2
139	тем не	6	2
140	для одного	2	2
141	свою очередь	6	2
142	в свою	6	2
143	в действительности	2	2
144	мог бы	3	2
145	и той	2	2
146	но если	2	2
147	всяком случае	7	2
148	в нашем	2	2
149	зрения и	7	2
150	и их	5	2
151	от их	4	2
152	и только	6	2
153	имеет место	2	2
154	точке зрения	2	2
155	и других	2	2
156	должно быть	2	2
157	все остальные	5	2
158	допустим что	2	2
159	из этих	4	2
160	о том	5	2
161	этом смысле	2	2
162	как он	4	2
163	так как	10	2
164	бы в	2	2
165	мысли в	3	2
166	в сознании	23	2
167	по мере	5	2
168	если бы	11	2
169	не как	3	2
170	и во	3	2
171	к языку	4	2
172	что он	4	2
173	в себе	10	2
174	что язык	2	2
175	у нас	2	2
176	одна из	4	2
177	от него	4	2
178	во все	2	2
179	что само	3	2
180	одним словом	4	2
181	этого слова	6	2
182	не все	2	2
183	что и	11	2
184	человека в	3	2
185	что не	5	2
186	что такое	2	2
187	той же	3	2
188	в таком	4	2
189	или в	2	2
190	то мы	2	2
191	мы можем	12	2
192	тем что	7	2
193	могут быть	8	2
194	различие в	2	2
195	в другом	2	2
196	и вообще	3	2
197	могла бы	3	2
198	как оно	2	2
199	таком случае	2	2
200	там где	4	2
201	в чем	7	2
