N	2gram	Tiupa_Disk_2	Literetu
1	и не	15	22
2	тогда как	11	17
3	и в	16	16
4	в мире	11	16
5	при этом	17	15
6	не только	10	14
7	но и	11	14
8	в этом	16	14
9	а не	14	12
10	то что	5	12
11	может быть	16	12
12	в том	8	12
13	в частности	12	11
14	не в	3	10
15	такого рода	9	10
16	своего рода	10	10
17	я и	4	10
18	то же	6	9
19	так и	9	9
20	в то	5	9
21	том что	10	8
22	не может	9	8
23	в этой	4	8
24	как бы	4	8
25	в противовес	5	7
26	в своей	6	7
27	же время	5	7
28	себя в	6	7
29	со стороны	10	7
30	тем самым	6	7
31	точки зрения	4	7
32	я в	5	7
33	только в	3	7
34	лирического героя	5	7
35	по мысли	6	6
36	с его	6	6
37	причастности к	2	6
38	состоит в	16	6
39	с другой	5	6
40	еще не	6	6
41	в его	3	6
42	и т.п	12	6
43	и его	3	6
44	в себе	19	6
45	в другом	3	6
46	о том	4	6
47	присутствия в	3	6
48	в качестве	16	5
49	это не	3	5
50	что он	2	5
51	как и	16	5
52	соответствии с	3	5
53	в целом	2	5
54	вместе с	2	5
55	как в	8	5
56	в отличие	12	5
57	а в	2	5
58	лирический герой	3	5
59	этом отношении	4	5
60	именно в	2	5
61	коммуникативного события	5	5
62	в основе	4	5
63	то есть	12	5
64	отличие от	12	5
65	место в	2	4
66	но не	7	4
67	в рамках	7	4
68	никогда не	2	4
69	перед лицом	2	4
70	одной стороны	4	4
71	и для	2	4
72	своего другого	2	4
73	отношению к	4	4
74	из них	3	4
75	коммуникативное событие	3	4
76	данном случае	6	4
77	в тексте	3	4
78	по отношению	4	4
79	жизни в	3	4
80	входит в	2	4
81	другого в	2	4
82	я как	2	4
83	с одной	4	4
84	а также	8	4
85	должно быть	2	4
86	в данном	7	4
87	одно из	4	4
88	как будто	3	4
89	в одном	4	4
90	ни к	5	3
91	ивана иваныча	2	3
92	личности в	2	3
93	отнюдь не	6	3
94	прежде всего	7	3
95	в соответствии	2	3
96	и как	3	3
97	разумеется не	4	3
98	о чем	2	3
99	мира в	3	3
100	например в	3	3
101	еще в	3	3
102	я с	2	3
103	с ее	2	3
104	но уже	2	3
105	жизни и	3	3
106	себе самому	2	3
107	уже не	3	3
108	и наконец	3	3
109	с точки	2	3
110	как на	3	3
111	той же	2	3
112	тому как	2	3
113	потому что	4	3
114	по своей	6	3
115	в области	2	3
116	но в	11	3
117	между тем	2	3
118	в противоположность	5	2
119	жизни не	2	2
120	что в	5	2
121	не менее	7	2
122	в полном	2	2
123	по большей	2	2
124	и одновременно	2	2
125	и другого	2	2
126	одного из	4	2
127	к своим	2	2
128	к этому	4	2
129	вследствие этого	2	2
130	романа и	2	2
131	большей части	2	2
132	стороны и	2	2
133	или иной	3	2
134	в нем	7	2
135	и ее	3	2
136	но одновременно	3	2
137	всякий раз	2	2
138	и адресата	2	2
139	того же	2	2
140	для него	5	2
141	можно сказать	3	2
142	жизни а	3	2
143	субъекта в	3	2
144	легко может	2	2
145	той или	3	2
146	к жизни	3	2
147	для себя	2	2
148	жизненный путь	2	2
149	не с	2	2
150	что и	2	2
151	все же	6	2
152	отношение к	2	2
153	время в	2	2
154	с ней	2	2
155	человека в	4	2
156	объекта и	2	2
157	в принципе	2	2
158	другой стороны	2	2
159	жизни как	2	2
160	в своих	6	2
161	и на	5	2
162	оказывается не	2	2
163	и с	2	2
164	следует признать	3	2
165	подобно тому	2	2
166	далеко не	2	2
167	представляет собой	11	2
168	не знает	3	2
169	лирическим героем	2	2
170	в такого	2	2
171	его в	3	2
172	здесь не	2	2
173	мира и	4	2
174	одном из	3	2
