N	2gram	Tiupa_Lite_3	Istorich
1	и в	16	28
2	может быть	12	25
3	не может	8	15
4	а не	12	15
5	никогда не	4	14
6	что в	2	12
7	то же	9	12
8	не только	14	12
9	только в	7	11
10	что он	5	10
11	все же	2	10
12	прежде всего	3	10
13	но и	14	10
14	в том	12	9
15	о том	6	9
16	то что	12	9
17	и не	22	9
18	не в	10	9
19	так и	9	9
20	не всегда	2	8
21	если бы	2	8
22	в этом	14	8
23	но в	3	8
24	это не	5	7
25	том что	8	7
26	еще не	6	7
27	было бы	2	7
28	а в	5	7
29	так же	2	7
30	с другой	6	6
31	не менее	2	6
32	к тому	6	6
33	вслед за	3	6
34	что и	2	6
35	когда он	2	6
36	в этой	8	6
37	его в	2	6
38	вместе с	5	6
39	не знает	2	5
40	в одном	4	5
41	вопрос о	2	5
42	по существу	4	5
43	но не	4	5
44	например в	3	5
45	в качестве	5	5
46	ее в	2	5
47	другой стороны	2	5
48	в его	6	5
49	связи с	2	4
50	там где	3	4
51	на то	2	4
52	представляет собой	2	4
53	одной стороны	4	4
54	даже в	4	4
55	один из	2	4
56	а именно	5	4
57	с одной	4	4
58	как и	5	4
59	того что	9	4
60	и даже	2	4
61	и для	4	4
62	и с	2	4
63	и на	2	4
64	потому что	3	4
65	в основе	5	4
66	как будто	4	4
67	здесь не	2	4
68	я не	2	3
69	не как	2	3
70	по себе	2	3
71	не с	2	3
72	именно в	5	3
73	в начале	4	3
74	при этом	15	3
75	то это	2	3
76	отношению к	4	3
77	из них	4	3
78	и тогда	2	3
79	уже не	3	3
80	и его	6	3
81	как мы	2	3
82	же самое	2	3
83	как это	3	3
84	по отношению	4	3
85	тем что	2	3
86	в другом	6	3
87	в то	9	3
88	могли бы	2	3
89	только для	3	2
90	в рамках	4	2
91	отличие от	5	2
92	в частности	11	2
93	к этому	2	2
94	не означает	2	2
95	и потому	2	2
96	вследствие этого	2	2
97	том чтобы	2	2
98	ни было	2	2
99	в ее	5	2
100	а затем	3	2
101	то ни	2	2
102	и как	3	2
103	так чтобы	2	2
104	по своей	3	2
105	как о	2	2
106	для него	2	2
107	в глубине	2	2
108	без другого	2	2
109	и если	4	2
110	что не	2	2
111	легко может	2	2
112	как бы	8	2
113	о нем	2	2
114	не вполне	2	2
115	еще в	3	2
116	однако не	3	2
117	и тем	3	2
118	в нем	2	2
119	но уже	3	2
120	себя в	7	2
121	бы то	2	2
122	в целом	5	2
123	во всех	2	2
124	с ней	2	2
125	со стороны	7	2
126	как в	5	2
127	в ту	2	2
128	во всей	2	2
129	как раз	2	2
130	в отличие	5	2
131	и только	2	2
132	отношения к	3	2
133	еще и	2	2
134	пути в	4	2
135	и вот	2	2
136	одним из	4	2
137	должно быть	4	2
138	право на	2	2
139	ни к	3	2
140	а по	2	2
141	отказ от	2	2
142	между тем	3	2
143	однако в	4	2
144	он в	2	2
145	xix века	2	2
146	в себе	6	2
147	еще один	2	2
148	в области	3	2
