N	3gram	Tiupa_Disk_1	Hudozhes
1	по отношению к	9	10
2	в отличие от	4	7
3	в то же	3	6
4	то же время	4	6
5	не сводится к	2	6
6	той или иной	3	5
7	более или менее	2	5
8	в том что	13	5
9	с другой стороны	3	5
10	состоит в том	2	4
11	и того же	2	3
12	одного и того	2	3
13	можно сказать что	2	3
14	по сути своей	2	3
15	мы имеем дело	2	2
16	в том числе	2	2
17	значении этого термина	2	2
18	том числе и	2	2
19	в значительной степени	2	2
20	как к содержанию	2	2
21	и в форме	2	2
22	индивидуального речевого замысла	2	2
23	в свою очередь	3	2
24	тот или иной	2	2
25	в силу своей	2	2
26	с одной стороны	9	2
27	а с другой	3	2
28	в основе своей	2	2
29	по сути дела	2	2
