N	2gram	Vinokur_Ku_1	slovoVRo
1	и в	24	41
2	в нем	4	30
3	и т	33	28
4	т п	18	23
5	но и	6	16
6	и не	12	16
7	точки зрения	14	16
8	языка в	12	16
9	не только	10	16
10	а не	8	15
11	то же	8	14
12	в пределах	4	14
13	может быть	13	14
14	не может	7	14
15	и его	5	14
16	и на	4	14
17	в то	2	14
18	в сущности	3	13
19	в его	12	13
20	слова и	4	13
21	же время	2	12
22	до конца	2	12
23	как бы	7	12
24	языка и	8	12
25	в этом	14	12
26	так и	7	11
27	в большинстве	2	10
28	в той	5	10
29	или иной	3	9
30	таким образом	12	9
31	все эти	6	9
32	прежде всего	9	8
33	на его	3	8
34	в особенности	3	8
35	но в	2	8
36	как в	4	8
37	с точки	9	8
38	или в	2	8
39	не в	11	7
40	с ним	5	7
41	вовсе не	10	7
42	в своей	2	7
43	все же	12	7
44	в слове	2	7
45	во всяком	5	7
46	того же	4	6
47	это не	7	6
48	при этом	6	6
49	и даже	3	6
50	а в	5	6
51	в них	7	6
52	оно не	3	6
53	по своим	2	6
54	слова как	3	6
55	к своему	2	6
56	только в	11	6
57	с другой	7	5
58	в самом	10	5
59	всяком случае	5	5
60	все это	6	5
61	т д	14	5
62	не на	4	5
63	в языке	8	5
64	так сказать	5	5
65	в каждом	2	4
66	одним из	2	4
67	в ней	6	4
68	один из	4	4
69	в их	3	4
70	лишь в	2	4
71	рядом с	5	4
72	языку как	3	4
73	и с	5	4
74	в которой	6	4
75	и все	2	4
76	с его	4	4
77	языка как	5	4
78	как и	2	4
79	в смысле	2	4
80	еще не	5	4
81	по преимуществу	2	4
82	том же	2	4
83	и потому	4	4
84	о нем	2	4
85	язык в	5	4
86	другой стороны	6	4
87	речи в	4	4
88	и для	2	4
89	там где	4	4
90	ничего не	2	4
91	не могут	2	3
92	свой язык	3	3
93	никогда не	2	3
94	хотя бы	10	3
95	из этих	4	3
96	язык как	9	3
97	к тому	5	3
98	в том	30	3
99	лишь как	2	3
100	более или	3	3
101	в свою	3	3
102	в зависимости	5	3
103	из них	4	3
104	в своем	3	3
105	в разных	2	3
106	именно в	6	3
107	того что	9	3
108	с ними	4	3
109	также и	2	3
110	в результате	5	3
111	и здесь	3	3
112	не было	3	3
113	в истории	3	3
114	о том	9	3
115	в первом	3	3
116	так как	9	3
117	с этим	4	3
118	в себе	3	3
119	с этой	2	3
120	по существу	4	3
121	зависимости от	6	3
122	в качестве	7	3
123	и может	3	3
124	было бы	15	3
125	конечно не	2	3
126	он не	2	3
127	в свое	2	3
128	языка на	2	3
129	бы и	2	3
130	или менее	3	3
131	язык это	3	3
132	к языку	5	3
133	в данном	4	3
134	свою очередь	3	2
135	в частности	4	2
136	свой предмет	2	2
137	тому что	3	2
138	что все	2	2
139	том и	2	2
140	этом случае	2	2
141	можно сказать	3	2
142	для нас	2	2
143	так что	4	2
144	что они	4	2
145	например в	5	2
146	языка то	2	2
147	на язык	4	2
148	для того	16	2
149	хотя и	3	2
150	слов о	2	2
151	в контексте	2	2
152	между ними	2	2
153	был бы	2	2
154	эти категории	2	2
155	и тем	2	2
156	в целом	4	2
157	в этих	4	2
158	на том	3	2
159	уже не	8	2
160	должно быть	3	2
161	так же	4	2
162	потому что	23	2
163	же и	2	2
164	того или	4	2
165	между тем	5	2
166	не является	2	2
167	нисколько не	3	2
168	в котором	3	2
169	для них	2	2
170	дело не	2	2
171	в одном	3	2
172	в духе	3	2
173	из одного	3	2
174	или иного	3	2
175	вместе со	2	2
176	и эти	3	2
177	у нас	10	2
178	том что	21	2
179	не с	3	2
180	но не	5	2
181	а на	2	2
182	до сих	4	2
183	языка это	4	2
184	даже в	3	2
185	самого языка	2	2
186	сих пор	4	2
187	как раз	8	2
188	а с	3	2
189	на самом	2	2
190	если мы	2	2
191	не есть	4	2
192	речь в	4	2
193	той же	3	2
194	роль в	4	2
195	можно было	6	2
196	и то	3	2
197	от этого	2	2
198	с языком	2	2
199	связи с	7	2
200	в определенных	2	2
201	здесь не	3	2
