N	2gram	Trubetskoy_1	formyVre
1	и в	14	50
2	в этом	17	25
3	в нем	5	24
4	прежде всего	8	15
5	и не	19	14
6	в его	4	13
7	по существу	5	12
8	может быть	9	11
9	таким образом	11	11
10	мы уже	2	11
11	то же	11	11
12	и как	3	10
13	но в	2	10
14	в конце	3	9
15	в том	17	9
16	же время	10	9
17	все эти	2	9
18	в других	2	9
19	в то	10	9
20	не только	9	9
21	в самом	3	8
22	и т	3	8
23	но и	10	8
24	и на	5	8
25	жизни в	5	8
26	как и	4	8
27	жизни и	4	8
28	ни в	2	8
29	не было	3	7
30	и во	3	7
31	для себя	2	7
32	все же	4	6
33	в частности	2	6
34	в их	4	6
35	не может	22	6
36	лишь в	3	6
37	так же	2	6
38	в результате	2	6
39	так как	4	6
40	у него	2	6
41	с этим	2	6
42	связи с	3	6
43	во всех	5	6
44	то что	13	6
45	время в	2	6
46	что в	4	5
47	не в	4	5
48	с самим	2	5
49	точки зрения	11	5
50	всех этих	3	5
51	если бы	6	5
52	отнюдь не	7	5
53	но не	4	5
54	еще не	3	5
55	он не	5	5
56	того чтобы	8	5
57	для того	6	5
58	в своем	6	4
59	в котором	2	4
60	на этой	2	4
61	все это	6	4
62	потому что	5	4
63	и с	7	4
64	в ней	2	4
65	к себе	2	4
66	между собой	5	4
67	конечно не	5	4
68	том что	9	4
69	и для	6	4
70	и то	4	4
71	только в	5	4
72	не могут	4	3
73	себя и	5	3
74	в этих	2	3
75	к тому	7	3
76	да и	3	3
77	с тем	6	3
78	при этом	5	3
79	себе и	4	3
80	по отношению	2	3
81	отношения к	2	3
82	именно в	3	3
83	друг друга	3	3
84	а в	5	3
85	и те	2	3
86	их в	2	3
87	в начале	2	3
88	его в	4	3
89	в порядке	2	3
90	ни к	7	3
91	для них	3	3
92	в качестве	3	3
93	одной из	3	3
94	мы говорили	3	3
95	и потому	3	3
96	только к	3	3
97	что и	3	3
98	вместе с	4	3
99	сих пор	5	3
100	только на	2	3
101	всем этим	2	3
102	а не	2	3
103	в таком	2	3
104	или в	3	3
105	во всяком	9	3
106	в себе	9	3
107	до сих	5	3
108	место в	2	2
109	никогда не	5	2
110	в течение	2	2
111	друг другу	2	2
112	его и	2	2
113	точку зрения	4	2
114	что все	3	2
115	вопрос о	5	2
116	разумеется что	2	2
117	или иной	5	2
118	для нас	2	2
119	их к	2	2
120	для него	6	2
121	но для	2	2
122	не о	2	2
123	не к	2	2
124	в некоторых	2	2
125	того что	3	2
126	и даже	2	2
127	и по	3	2
128	самим собой	12	2
129	той или	3	2
130	и является	2	2
131	во всем	4	2
132	мы должны	7	2
133	с ним	2	2
134	для всех	6	2
135	он должен	5	2
136	тогда когда	4	2
137	ясно что	2	2
138	по себе	2	2
139	и к	6	2
140	одна из	3	2
141	было бы	5	2
142	по самому	2	2
143	том же	2	2
144	на почве	2	2
145	но она	2	2
146	в своей	5	2
147	как бы	4	2
148	весьма часто	2	2
149	быть и	2	2
150	ее в	2	2
151	даже не	2	2
152	борьбе с	3	2
153	совершенно не	2	2
154	уже не	2	2
155	в значительной	3	2
156	с точки	9	2
157	хотя бы	5	2
158	в данном	7	2
159	если они	2	2
160	тем что	3	2
161	на себя	2	2
