N	2gram	Tiupa_Anal_1	SlovoVZh
1	не может	22	16
2	точки зрения	6	14
3	может быть	29	14
4	и его	5	13
5	как бы	5	13
6	таким образом	3	12
7	и в	18	12
8	в нашем	3	11
9	отношению к	5	11
10	по отношению	6	11
11	и не	21	10
12	если бы	3	9
13	так как	2	9
14	прежде всего	6	8
15	художественного произведения	5	7
16	в нем	3	6
17	в процессе	2	6
18	при этом	12	6
19	в том	27	6
20	только в	6	6
21	к предмету	2	5
22	то что	6	5
23	никогда не	2	5
24	а не	17	5
25	можно сказать	2	5
26	то же	9	5
27	хотя бы	3	5
28	как и	13	5
29	том что	12	5
30	отнюдь не	15	5
31	что мы	3	5
32	но в	8	5
33	и к	3	4
34	ни было	4	4
35	все же	4	4
36	отношение к	2	4
37	так и	4	4
38	с другой	4	4
39	на самом	2	4
40	уже не	4	4
41	что не	3	4
42	в литературе	4	4
43	не в	14	4
44	в этом	13	4
45	и на	5	4
46	в самом	6	4
47	к нему	3	4
48	за пределы	2	4
49	и является	2	4
50	не только	15	4
51	в котором	3	3
52	и более	4	3
53	бы то	3	3
54	не к	2	3
55	в художественном	3	3
56	в своей	6	3
57	художественное произведение	5	3
58	как к	2	3
59	то ни	3	3
60	и по	2	3
61	все эти	2	3
62	по себе	4	3
63	это как	2	3
64	но и	17	3
65	того что	4	3
66	или не	2	3
67	ни в	4	3
68	сколько бы	2	3
69	самом деле	2	3
70	и с	2	3
71	о том	5	3
72	художественного творчества	2	3
73	нуждается в	8	3
74	в себе	11	3
75	для него	2	3
76	в пределах	2	3
77	еще не	3	3
78	внутренней речи	5	3
79	здесь не	2	3
80	с ним	4	3
81	между тем	5	3
82	истории литературы	4	2
83	место в	3	2
84	автора и	3	2
85	в психике	2	2
86	с его	3	2
87	что и	3	2
88	что в	5	2
89	на все	2	2
90	данном случае	2	2
91	вместе с	4	2
92	себя и	4	2
93	не остается	2	2
94	между собой	2	2
95	в какой	2	2
96	о ком	2	2
97	нет ничего	2	2
98	другой стороны	2	2
99	это не	6	2
100	дело с	4	2
101	смысл и	3	2
102	мы имеем	6	2
103	и все	3	2
104	бы не	2	2
105	тому же	4	2
106	тогда когда	2	2
107	по природе	3	2
108	с одной	3	2
109	была бы	2	2
110	в себя	6	2
111	его к	2	2
112	едва ли	2	2
113	не есть	8	2
114	с точки	4	2
115	же самое	2	2
116	с другими	4	2
117	более того	3	2
118	такой же	2	2
119	в данном	2	2
120	и то	2	2
121	но не	10	2
122	могут быть	4	2
123	в то	9	2
124	одной стороны	3	2
125	и та	2	2
126	на примере	2	2
127	имеет место	5	2
128	как уже	2	2
129	совпадает с	2	2
130	он не	3	2
131	в его	13	2
132	и потому	2	2
