N	3gram	Potebnia_M_3	Myshleni
1	в том что	16	17
2	вместе с тем	4	10
3	для того чтобы	3	7
4	в собственном смысле	2	6
5	с одной стороны	3	5
6	тем не менее	3	5
7	что и в	3	5
8	смысле этого слова	7	4
9	в то время	4	4
10	с тем и	2	4
11	с другой стороны	4	3
12	в этом отношении	2	3
13	и той же	2	2
14	потому что оно	2	2
15	так и в	2	2
16	только потому что	2	2
17	в свою очередь	3	2
18	как и в	2	2
19	вместе с этим	2	2
20	само по себе	3	2
21	только в том	3	2
22	заключает в себе	5	2
23	то что мы	2	2
24	не может быть	3	2
25	по отношению к	5	2
26	одной и той	2	2
