N	2gram	Propp_Isto_6	Mirosoze
1	может быть	11	30
2	не только	10	29
3	и в	26	28
4	не может	6	28
5	но и	9	25
6	а не	2	25
7	он не	2	24
8	в этом	12	20
9	не было	3	18
10	у него	7	17
11	не в	3	16
12	потому что	13	16
13	в ней	5	15
14	в своей	3	15
15	никогда не	13	14
16	он был	2	14
17	в нем	8	13
18	человека в	2	13
19	и он	4	12
20	и это	8	12
21	и не	10	11
22	что в	12	10
23	в своем	2	10
24	прежде всего	4	10
25	что он	9	10
26	было бы	2	10
27	но он	2	9
28	с тем	4	9
29	в его	5	9
30	не есть	2	9
31	и его	7	9
32	но не	2	8
33	того что	2	7
34	но в	7	7
35	в себе	3	7
36	должна быть	3	6
37	в том	12	6
38	в этой	2	6
39	и на	12	6
40	вместе с	8	6
41	только в	5	6
42	это не	4	5
43	мира и	2	5
44	если он	3	5
45	от нее	2	5
46	у нас	5	5
47	как и	5	5
48	то что	6	5
49	в этих	2	4
50	с этой	2	4
51	иной мир	3	4
52	небо и	3	4
53	нет в	3	4
54	и по	4	4
55	а в	3	4
56	увидим что	2	4
57	в которых	2	4
58	и там	6	4
59	в них	3	4
60	один из	3	4
61	которых он	2	4
62	к концу	3	4
63	от него	3	4
64	она не	3	4
65	что и	4	4
66	уже не	7	4
67	тем что	5	4
68	значит что	2	4
69	и вот	3	3
70	к тому	2	3
71	для нас	2	3
72	на своем	4	3
73	в него	3	3
74	не имеет	2	3
75	не так	2	3
76	его не	2	3
77	с этим	2	3
78	его в	5	3
79	так как	18	3
80	и с	6	3
81	с его	4	3
82	с собой	2	3
83	том что	10	3
84	есть и	4	3
85	ничего не	2	3
86	на том	8	3
87	когда он	3	3
88	за собой	5	2
89	связана с	3	2
90	вообще не	3	2
91	и от	3	2
92	этот случай	6	2
93	вопрос о	3	2
94	живет в	2	2
95	в ином	6	2
96	мир не	2	2
97	о чем	2	2
98	его с	3	2
99	жизни и	2	2
100	могут быть	3	2
101	отличается от	2	2
102	по отношению	2	2
103	все эти	8	2
104	всегда остается	2	2
105	и что	5	2
106	и те	2	2
107	время как	3	2
108	людей и	2	2
109	сказать что	3	2
110	в более	6	2
111	он и	2	2
112	самого себя	2	2
113	как бы	4	2
114	о том	7	2
115	как он	6	2
116	когда мы	2	2
117	с ним	8	2
118	если бы	3	2
119	него и	3	2
120	в иное	5	2
121	к этому	3	2
122	отношению к	2	2
123	мы видим	5	2
124	в то	5	2
125	все что	4	2
126	то время	3	2
127	связано с	4	2
128	как будто	3	2
129	до сих	4	2
130	никто не	2	2
131	относится к	2	2
132	же можно	3	2
133	еще в	3	2
134	все же	8	2
135	сих пор	4	2
136	как в	6	2
137	на земле	4	2
138	т е	22	2
139	и как	2	2
140	от этого	3	2
