N	2gram	Bakhtin_Pr_1	Komedia
1	и в	23	22
2	том что	9	12
3	в том	11	11
4	но и	11	11
5	не только	13	10
6	из них	2	10
7	в то	10	10
8	как и	8	9
9	может быть	21	9
10	в одном	9	8
11	таким образом	11	8
12	и не	34	8
13	и его	13	8
14	о том	2	8
15	в этой	4	7
16	и других	5	7
17	что в	8	6
18	в отношении	2	6
19	в конце	5	6
20	что он	10	6
21	ни в	3	6
22	и по	2	6
23	то же	10	6
24	не в	6	6
25	а в	7	6
26	в которой	4	6
27	уже в	5	5
28	с другой	2	5
29	прежде всего	7	5
30	при этом	3	5
31	со своим	3	5
32	в его	24	5
33	один из	2	5
34	на его	2	5
35	в истории	2	5
36	так и	10	5
37	как в	6	5
38	все это	7	5
39	другой стороны	2	5
40	то время	2	5
41	и даже	3	5
42	потому что	12	5
43	между тем	5	5
44	именно в	6	4
45	в их	3	4
46	к этому	2	4
47	несмотря на	6	4
48	как мы	5	4
49	же в	2	4
50	же время	7	4
51	в котором	2	4
52	в нем	20	4
53	что и	5	4
54	на него	2	4
55	тем что	3	4
56	и вот	2	4
57	в результате	4	4
58	точки зрения	21	4
59	из его	3	4
60	конце концов	4	4
61	так как	7	4
62	одном из	2	4
63	но в	4	4
64	однако в	2	3
65	и одновременно	3	3
66	в них	3	3
67	вопрос о	4	3
68	идет о	3	3
69	и как	8	3
70	тот же	2	3
71	и сам	2	3
72	и у	4	3
73	и о	3	3
74	у него	6	3
75	да и	2	3
76	он не	4	3
77	даже в	2	3
78	все же	5	3
79	отношению к	11	3
80	в целом	4	3
81	так же	6	3
82	по отношению	11	3
83	этом отношении	5	3
84	здесь мы	2	3
85	мы не	2	3
86	как раз	4	3
87	его творчества	7	3
88	и на	10	3
89	в этом	25	3
90	и с	4	3
91	только в	8	3
92	и все	3	3
93	его в	4	3
94	ничего не	6	3
95	в сознании	2	3
96	в противоположность	3	2
97	и здесь	3	2
98	в рамках	2	2
99	ни было	4	2
100	за пределы	6	2
101	то ни	3	2
102	художественных приемов	2	2
103	и во	2	2
104	именно потому	2	2
105	вовсе не	8	2
106	точек зрения	3	2
107	его творчество	4	2
108	должна была	4	2
109	из всего	2	2
110	одна из	2	2
111	но не	8	2
112	именно на	2	2
113	в себя	3	2
114	до конца	5	2
115	до сих	2	2
116	еще не	5	2
117	было бы	6	2
118	в самом	8	2
119	художественного мышления	2	2
120	и самого	4	2
121	всяком случае	3	2
122	ни одной	2	2
123	для себя	2	2
124	и тем	2	2
125	с ее	2	2
126	то что	18	2
127	бы то	3	2
128	в первой	2	2
129	вместе с	2	2
130	все что	3	2
131	со стороны	2	2
132	в настоящем	3	2
133	то и	2	2
134	в сущности	5	2
135	не может	11	2
136	не раз	2	2
137	в форме	6	2
138	из которых	2	2
139	и притом	2	2
140	к нему	3	2
141	но это	5	2
142	тем как	4	2
143	во всяком	4	2
144	но он	2	2
145	только при	2	2
146	на себя	3	2
147	в своих	2	2
148	в себе	5	2
149	как будто	3	2
150	которые он	2	2
151	отличие от	2	2
152	в области	3	2
153	сих пор	2	2
