N	2gram	Vinokur_St_2	Dialekti
1	т е	10	48
2	и не	9	27
3	а не	5	26
4	точки зрения	5	25
5	и в	29	24
6	и т	9	24
7	не только	19	23
8	т д	6	23
9	что такое	2	21
10	по себе	3	20
11	не может	2	19
12	ничего не	4	17
13	и что	6	15
14	то что	11	14
15	с точки	2	14
16	может быть	2	13
17	таким образом	10	13
18	и даже	3	13
19	что он	13	13
20	вовсе не	6	13
21	что это	3	12
22	того что	5	12
23	не менее	3	11
24	не имеет	2	11
25	тем не	2	10
26	только не	2	10
27	ни в	3	9
28	но и	19	9
29	прежде всего	5	8
30	так что	3	8
31	и как	2	8
32	том что	27	8
33	в этом	21	8
34	что в	19	7
35	никогда не	3	7
36	в самом	7	7
37	в особенности	2	7
38	потому что	9	7
39	в виду	7	7
40	как и	2	7
41	нет никакого	2	7
42	как раз	8	7
43	я не	7	6
44	кроме того	4	6
45	все это	11	6
46	и с	4	6
47	о том	17	6
48	так как	2	6
49	если бы	2	6
50	утверждать что	2	6
51	об этом	6	6
52	оно не	3	6
53	что и	2	6
54	не на	2	6
55	то же	2	6
56	самом деле	3	6
57	и пр	8	6
58	с этой	2	5
59	в том	27	5
60	но это	3	5
61	хотя и	4	5
62	и его	6	5
63	как на	9	5
64	в то	2	5
65	как это	2	5
66	в них	2	5
67	вопрос о	6	5
68	и к	4	5
69	было бы	5	5
70	он не	9	5
71	так и	9	5
72	только в	2	5
73	тому что	7	4
74	с другой	4	4
75	к тому	10	4
76	хотя бы	3	4
77	так же	3	4
78	сказать что	2	4
79	нет и	2	4
80	у нас	3	4
81	в истории	2	4
82	истории и	2	4
83	говорит о	2	4
84	только что	2	4
85	и это	2	4
86	для него	4	4
87	не было	3	3
88	все же	6	3
89	в своем	9	3
90	в одной	2	3
91	была бы	5	3
92	и я	2	3
93	что именно	2	3
94	его как	2	3
95	не в	4	3
96	случае не	2	3
97	в нем	4	3
98	это было	2	3
99	из них	3	3
100	все эти	2	3
101	сравнении с	2	3
102	и на	6	3
103	мере в	2	3
104	с этим	3	3
105	при помощи	4	3
106	тем что	3	3
107	есть еще	2	3
108	на себя	3	3
109	только о	2	3
110	на то	2	3
111	и о	4	3
112	сами по	2	3
113	как бы	5	3
114	если не	2	3
115	для того	7	3
116	в каком	2	3
117	же как	3	2
118	в частности	4	2
119	что у	4	2
120	вообще не	3	2
121	тому же	3	2
122	к истории	2	2
123	при этом	2	2
124	несмотря на	2	2
125	например в	3	2
126	у меня	3	2
127	всяком случае	3	2
128	совершенно не	2	2
129	другой стороны	3	2
130	как например	2	2
131	еще и	3	2
132	именно в	4	2
133	они не	2	2
134	и по	3	2
135	его не	3	2
136	также и	2	2
137	никак не	2	2
138	в ней	7	2
139	и здесь	3	2
140	от его	2	2
141	и потому	2	2
142	иметь в	3	2
143	в чисто	2	2
144	но в	8	2
145	но они	2	2
146	с его	2	2
147	из нее	3	2
148	в их	3	2
149	меня в	2	2
150	очень мало	2	2
151	по существу	2	2
152	только потому	2	2
153	но не	3	2
154	говорят что	2	2
155	во внимание	2	2
156	только к	2	2
157	со стороны	2	2
158	ее в	2	2
159	и он	3	2
160	что этот	2	2
161	в данном	2	2
162	бы то	2	2
163	во всяком	3	2
164	в себе	2	2
165	и вообще	2	2
166	в его	13	2
