N	2gram	Tiupa_Teor_1	Problema
1	то есть	12	39
2	то что	3	38
3	и не	13	37
4	вовсе не	3	37
5	и в	18	35
6	сказать что	3	24
7	не только	16	24
8	том что	9	19
9	может быть	17	18
10	у нас	2	18
11	в этом	8	17
12	но и	9	16
13	такого рода	8	15
14	только в	6	14
15	не менее	4	13
16	и что	3	13
17	потому что	3	13
18	не может	4	13
19	тем не	3	12
20	в том	16	12
21	того что	4	12
22	что в	9	11
23	прежде всего	2	11
24	значения и	2	11
25	и даже	2	11
26	не будет	2	11
27	говорить о	3	10
28	еще не	4	10
29	а не	9	10
30	в данном	8	10
31	и то	2	10
32	если мы	2	9
33	в этой	3	9
34	языкового знака	2	9
35	уже не	4	8
36	в виду	5	8
37	как раз	2	8
38	казалось бы	2	7
39	в конце	2	7
40	не является	4	7
41	все эти	2	7
42	того или	3	7
43	знака к	5	7
44	в его	6	7
45	так и	10	7
46	тем самым	4	7
47	с другой	7	6
48	можно сказать	3	6
49	а только	3	6
50	ни в	2	6
51	так или	4	6
52	а именно	2	6
53	а а	5	6
54	в то	6	6
55	и для	2	6
56	или иначе	5	6
57	но в	9	6
58	как будто	2	6
59	в области	4	6
60	в частности	16	5
61	или иной	4	5
62	тот или	2	5
63	в самом	4	5
64	отнюдь не	3	5
65	данном случае	5	5
66	или иного	3	5
67	с одной	2	5
68	так же	2	5
69	между собой	3	5
70	этом смысле	2	5
71	как и	4	5
72	по своему	2	5
73	то же	7	5
74	одной стороны	2	5
75	другой стороны	5	5
76	с другими	5	5
77	в себе	9	5
78	и это	2	5
79	для меня	2	5
80	не могут	2	4
81	в этих	3	4
82	в своем	4	4
83	в отношении	3	4
84	и как	2	4
85	есть в	2	4
86	более или	2	4
87	случае не	2	4
88	отношение знака	3	4
89	как бы	5	4
90	не вполне	2	4
91	и тем	3	4
92	что она	2	4
93	все это	2	4
94	таким образом	3	4
95	заключается в	2	4
96	а в	13	4
97	их в	3	4
98	и здесь	2	4
99	если бы	3	4
100	но не	9	4
101	и о	4	4
102	или менее	2	4
103	далеко не	2	4
104	не все	3	4
105	в нашем	4	3
106	тому что	2	3
107	или даже	4	3
108	из этих	3	3
109	к тому	2	3
110	это отношение	3	3
111	хотя и	3	3
112	и является	2	3
113	никто не	2	3
114	один из	2	3
115	в целом	3	3
116	в их	2	3
117	при этом	12	3
118	лишь в	6	3
119	и по	2	3
120	не знает	3	3
121	в основе	3	3
122	языка в	4	3
123	могли бы	2	3
124	его в	2	3
125	только не	2	3
126	и к	3	3
127	это тоже	2	3
128	и того	3	3
129	мы в	2	3
130	тех или	3	3
131	о в	2	3
132	слова как	3	3
133	и притом	2	3
134	в слове	3	3
135	том числе	2	2
136	перед нами	2	2
137	что может	2	2
138	в той	2	2
139	не в	7	2
140	совпадает с	3	2
141	сводится к	5	2
142	отличается от	2	2
143	мышления и	2	2
144	даже в	3	2
145	в одно	2	2
146	или в	3	2
147	точки зрения	9	2
148	имеем в	3	2
149	однако все	2	2
150	значение знака	2	2
151	о и	2	2
152	в них	2	2
153	об этом	2	2
154	представляет собой	9	2
155	что каждый	2	2
156	в качестве	24	2
157	о своем	2	2
158	и а	4	2
159	по преимуществу	4	2
160	он не	3	2
161	а также	6	2
162	и особенно	2	2
163	что и	2	2
164	вместе с	2	2
165	быть и	2	2
166	роль в	2	2
167	определенным образом	2	2
168	и ее	3	2
169	это было	2	2
