N	2gram	Tiupa_Hudo_2	Vvedenie
1	и т	4	42
2	т д	2	36
3	т е	2	35
4	и в	28	32
5	в том	15	31
6	в этом	13	30
7	может быть	8	26
8	том что	19	26
9	не только	11	22
10	для того	4	21
11	того чтобы	4	20
12	то что	6	16
13	потому что	2	15
14	не может	4	14
15	в самом	5	13
16	в нем	3	13
17	о том	12	13
18	со стороны	3	13
19	и не	18	12
20	как на	2	12
21	в его	11	12
22	только в	4	12
23	как мы	2	11
24	в ее	18	11
25	в данном	2	11
26	что в	5	10
27	но в	2	9
28	между тем	8	9
29	то же	6	9
30	не менее	5	8
31	с другой	3	8
32	это не	6	8
33	тем не	4	8
34	не в	13	8
35	именно в	2	8
36	прежде всего	3	7
37	точки зрения	2	7
38	но не	4	7
39	было бы	3	7
40	все же	2	7
41	дело с	2	7
42	самом деле	3	7
43	можно было	3	7
44	из этих	2	6
45	до сих	2	6
46	же время	4	6
47	один из	2	6
48	но и	9	6
49	все это	3	6
50	в то	6	6
51	его в	2	6
52	как он	3	6
53	вовсе не	2	6
54	как и	11	6
55	в качестве	4	6
56	сих пор	2	6
57	хотя бы	2	6
58	и его	5	6
59	тем что	6	6
60	и это	3	6
61	как бы	5	5
62	а как	2	5
63	данном случае	2	5
64	сказать что	2	5
65	в них	3	5
66	об этом	7	5
67	в г	2	5
68	есть и	3	5
69	вместе с	2	5
70	т п	2	5
71	а не	14	5
72	что не	2	5
73	как уже	2	4
74	как о	3	4
75	одной стороны	3	4
76	о чем	8	4
77	в котором	6	4
78	в тексте	5	4
79	по отношению	7	4
80	еще и	2	4
81	с одной	3	4
82	а в	6	4
83	одно из	5	4
84	в первом	2	4
85	как это	7	4
86	видит в	2	4
87	что он	8	4
88	еще не	3	4
89	отношению к	7	4
90	в своей	6	4
91	внимание на	3	4
92	как раз	4	4
93	в виде	2	4
94	уже не	10	4
95	и для	2	4
96	той же	2	4
97	и то	2	4
98	и ее	3	4
99	в себе	9	4
100	и т.д	2	4
101	он сам	2	3
102	что это	5	3
103	в частности	7	3
104	в этих	3	3
105	со всей	2	3
106	бы и	4	3
107	можно сказать	6	3
108	к тому	7	3
109	да и	5	3
110	в строгом	2	3
111	в этой	5	3
112	на этом	2	3
113	при этом	11	3
114	в ней	3	3
115	в конечном	4	3
116	к нему	3	3
117	и уже	4	3
118	отношение к	2	3
119	во второй	2	3
120	из них	2	3
121	дело не	2	3
122	что она	7	3
123	в своем	5	3
124	так же	3	3
125	и на	3	3
126	говорить о	2	3
127	что даже	2	3
128	если бы	6	3
129	однако в	2	3
130	не как	2	3
131	и к	2	3
132	говорит о	4	3
133	одной из	3	3
134	в одном	3	3
135	а также	2	3
136	гораздо более	2	3
137	что и	4	3
138	своего рода	16	3
139	что же	2	3
140	как будто	4	3
141	ответ на	2	3
142	как только	3	2
143	все время	3	2
144	же как	2	2
145	казалось бы	6	2
146	и другие	5	2
147	это уже	2	2
148	никогда не	5	2
149	тому что	4	2
150	или иной	2	2
151	соответствии с	3	2
152	и сам	5	2
153	несмотря на	3	2
154	жизни как	5	2
155	не было	6	2
156	о них	3	2
157	именно на	2	2
158	во втором	2	2
159	в принципе	2	2
160	по его	3	2
161	рядом с	5	2
162	не столько	2	2
163	и с	6	2
164	нуждается в	2	2
165	же самое	3	2
166	так и	8	2
167	состоит в	7	2
168	не с	2	2
169	о которых	2	2
170	в соответствии	3	2
171	жизни и	6	2
172	бы с	2	2
173	мы уже	3	2
174	ни с	2	2
175	для нее	4	2
176	в соответствующих	2	2
177	и сама	4	2
178	мысли и	2	2
179	только на	5	2
180	и тогда	2	2
181	тогда как	7	2
182	того как	2	2
183	о которой	2	2
184	между ними	2	2
185	с точки	2	2
186	тому как	4	2
187	подобно тому	4	2
188	в другом	2	2
189	будто бы	3	2
190	здесь не	2	2
191	одна из	2	2
192	ничего не	5	2
