N	2gram	Ircho_Kome_1	Tragedij
1	и в	22	18
2	в году	3	9
3	в этом	3	9
4	не только	10	8
5	и не	8	7
6	и на	3	7
7	и с	3	7
8	может быть	9	7
9	в образе	3	6
10	что он	6	6
11	и его	8	6
12	же время	4	6
13	у него	3	6
14	но в	4	6
15	все же	3	5
16	так и	5	5
17	не может	2	5
18	то же	6	5
19	как и	9	5
20	в то	10	5
21	несмотря на	4	5
22	но и	11	4
23	то что	2	4
24	в целом	3	4
25	что в	6	4
26	все это	5	4
27	прежде всего	5	4
28	и все	3	4
29	в нем	4	4
30	и даже	5	4
31	так же	3	4
32	том что	12	4
33	но это	2	4
34	в этой	7	4
35	в себе	2	4
36	еще не	2	4
37	уже в	5	3
38	один из	5	3
39	с ее	2	3
40	к людям	2	3
41	в конце	6	3
42	как в	5	3
43	и как	3	3
44	к нему	2	3
45	в его	5	3
46	при этом	5	3
47	и сам	3	3
48	как будто	2	3
49	мог бы	2	3
50	как это	3	3
51	еще в	5	2
52	что и	4	2
53	в частности	3	2
54	который в	2	2
55	то и	2	2
56	даже если	2	2
57	вопрос о	3	2
58	отношение к	3	2
59	к тому	6	2
60	столь же	2	2
61	и здесь	2	2
62	ни в	6	2
63	он был	2	2
64	в том	11	2
65	до конца	2	2
66	отличие от	2	2
67	не в	6	2
68	одна из	2	2
69	потому что	5	2
70	тем что	4	2
71	в виде	3	2
72	и ее	3	2
73	по поводу	4	2
74	о том	8	2
75	его в	3	2
76	в самом	2	2
77	не мог	3	2
78	ничего не	3	2
79	он не	3	2
80	в одном	8	2
81	одном из	4	2
