N	2gram	Propp_Isto_2	Literetu
1	не только	18	24
2	при этом	4	19
3	в качестве	3	17
4	но и	14	17
5	а не	5	16
6	в том	6	16
7	том что	7	14
8	может быть	17	13
9	и не	11	12
10	в этом	11	12
11	состоит в	2	11
12	прежде всего	5	11
13	то что	12	10
14	в русской	5	10
15	не в	7	8
16	и в	15	8
17	только в	6	8
18	как это	3	8
19	я не	2	7
20	в его	6	7
21	как бы	6	7
22	в себе	4	7
23	в жизни	2	6
24	как и	2	6
25	связи с	8	6
26	того что	3	6
27	что он	24	5
28	а также	2	5
29	как в	5	5
30	не может	5	5
31	то же	10	5
32	уже в	2	5
33	тем самым	2	5
34	не столько	2	5
35	это не	2	4
36	в силу	2	4
37	представляет собой	5	4
38	но не	2	4
39	еще не	9	4
40	все же	9	4
41	из них	2	4
42	так и	5	4
43	никогда не	15	4
44	в связи	5	4
45	и его	3	4
46	в этой	4	4
47	не было	2	3
48	что в	12	3
49	и есть	5	3
50	с другой	2	3
51	не должен	4	3
52	да и	2	3
53	одна из	2	3
54	например в	2	3
55	не мог	3	3
56	у него	4	3
57	же и	3	3
58	один из	8	3
59	и др	4	3
60	в их	3	3
61	приводит к	2	3
62	по отношению	3	3
63	а в	12	3
64	таким образом	7	3
65	той же	2	3
66	потому что	9	3
67	одно из	2	3
68	он и	3	3
69	к себе	2	3
70	но в	6	3
71	его в	10	3
72	в виду	2	3
73	этого не	5	2
74	превращается в	2	2
75	дело не	4	2
76	из этих	3	2
77	подобно тому	3	2
78	в себя	3	2
79	к тому	5	2
80	тому же	2	2
81	в другом	9	2
82	в нашей	2	2
83	одной стороны	3	2
84	было бы	5	2
85	мы в	2	2
86	на один	2	2
87	так называемый	2	2
88	говорится в	2	2
89	в нем	7	2
90	то это	6	2
91	отношению к	3	2
92	в сущности	2	2
93	и только	2	2
94	с одной	4	2
95	все эти	4	2
96	не сам	2	2
97	имеется в	2	2
98	самом деле	2	2
99	хотя бы	2	2
100	и вполне	2	2
101	не обладает	3	2
102	роль в	3	2
103	можно было	5	2
104	тому как	3	2
105	и то	2	2
106	тем что	4	2
107	могут быть	2	2
108	как будто	3	2
109	о том	3	2
110	как он	3	2
111	нет ничего	2	2
