N	2gram	Berdyaev_M_2	Problema
1	то что	5	38
2	и не	18	37
3	и в	46	35
4	не есть	13	33
5	сказать что	3	24
6	не только	18	24
7	том что	4	19
8	о том	3	18
9	может быть	21	18
10	у нас	11	18
11	в этом	20	17
12	но и	15	16
13	такого рода	2	15
14	только в	3	14
15	и что	2	13
16	потому что	12	13
17	не может	15	13
18	в том	3	12
19	того что	6	12
20	также и	4	12
21	хотя бы	7	12
22	что в	4	11
23	прежде всего	12	11
24	так что	2	11
25	не будет	3	11
26	и с	3	10
27	да и	2	10
28	а не	13	10
29	ничего не	2	10
30	в этой	7	9
31	что же	2	9
32	уже не	4	8
33	по себе	2	8
34	в конце	5	7
35	совсем не	5	7
36	смысле слова	3	7
37	не имеет	4	7
38	в его	5	7
39	так и	4	7
40	бы и	5	7
41	так как	8	7
42	можно ли	3	6
43	что все	5	6
44	ни в	3	6
45	но это	8	6
46	не о	2	6
47	не существует	3	6
48	есть не	5	6
49	и для	7	6
50	но в	10	6
51	как будто	2	6
52	или иной	2	5
53	в самом	5	5
54	так же	6	5
55	и на	3	5
56	что всякий	3	5
57	и все	5	5
58	как и	13	5
59	связи с	2	5
60	то же	5	5
61	что не	2	5
62	можно было	2	5
63	в себе	10	5
64	и это	5	5
65	не был	2	4
66	и есть	8	4
67	в этих	2	4
68	в своем	8	4
69	в отношении	5	4
70	есть в	3	4
71	есть прежде	5	4
72	и той	2	4
73	и самого	3	4
74	как бы	8	4
75	что она	5	4
76	а в	2	4
77	и здесь	6	4
78	тем что	3	4
79	если бы	3	4
80	что он	7	4
81	до сих	3	4
82	тот же	2	4
83	сих пор	3	4
84	уже в	2	3
85	он сам	6	3
86	в нашем	7	3
87	тому что	4	3
88	и от	3	3
89	вопрос о	6	3
90	к тому	5	3
91	но эта	2	3
92	и можно	3	3
93	нас не	2	3
94	с самим	3	3
95	что они	3	3
96	и если	2	3
97	мы еще	2	3
98	хотя и	2	3
99	один из	5	3
100	для этого	4	3
101	не было	11	3
102	только и	4	3
103	лишь в	2	3
104	не знает	9	3
105	в своих	3	3
106	иное как	3	3
107	в основе	2	3
108	что иное	3	3
109	его в	3	3
110	бы в	2	3
111	тогда когда	2	3
112	не что	3	3
113	и к	7	3
114	для нашей	2	3
115	это и	3	3
116	нельзя было	2	3
117	все что	4	3
118	она не	8	3
119	и тот	2	3
120	оно не	2	3
121	бы не	2	3
122	все равно	3	3
123	для того	5	3
124	тому как	2	3
125	нас в	2	3
126	не в	9	2
127	в действительности	2	2
128	себе и	2	2
129	друг к	5	2
130	к нему	2	2
131	не так	3	2
132	должно быть	2	2
133	в ней	11	2
134	же и	2	2
135	точки зрения	2	2
136	себе в	2	2
137	самого себя	4	2
138	нет ничего	3	2
139	только с	3	2
140	есть по	2	2
141	сознания и	2	2
142	были бы	2	2
143	в них	3	2
144	бы его	2	2
145	в такой	3	2
146	человек не	7	2
147	если я	2	2
148	мысль о	2	2
149	по преимуществу	5	2
150	он не	10	2
151	еще в	2	2
152	что и	4	2
153	во всех	2	2
154	к другу	5	2
155	вместе с	2	2
156	быть и	2	2
157	еще более	2	2
158	одной и	2	2
159	чтобы не	3	2
160	того чтобы	4	2
161	той же	3	2
162	правда в	2	2
163	подобно тому	2	2
164	от его	2	2
165	которые в	2	2
166	и поэтому	2	2
