N	2gram	Bakhtin_Fr_2	Stilisti
1	и в	49	42
2	как бы	11	27
3	не только	17	27
4	и т.п	11	24
5	прежде всего	19	22
6	и т.д	2	20
7	но и	13	15
8	то же	7	15
9	и не	15	14
10	может быть	5	12
11	не может	7	12
12	точки зрения	6	11
13	как и	11	11
14	мы уже	6	11
15	мы должны	2	10
16	как мы	7	10
17	в этом	15	10
18	при этом	5	9
19	в то	6	9
20	то что	6	9
21	все же	7	8
22	в ней	2	8
23	таким образом	7	8
24	в себе	4	8
25	и это	3	8
26	никогда не	5	7
27	же время	6	7
28	и на	17	7
29	так как	6	7
30	с его	5	7
31	было бы	3	7
32	того чтобы	2	7
33	и его	17	7
34	мы можем	2	7
35	только в	13	7
36	ничего не	2	7
37	точку зрения	2	6
38	другими словами	3	6
39	в этой	10	6
40	на его	2	6
41	в форме	4	6
42	в конце	2	6
43	в нем	9	6
44	во всех	6	6
45	так и	6	6
46	в области	4	6
47	уже в	5	5
48	в нашем	2	5
49	и следовательно	2	5
50	мы видели	3	5
51	а в	4	5
52	и с	6	5
53	в его	18	5
54	вместе с	2	5
55	с точки	5	5
56	и без	2	4
57	можно сказать	2	4
58	но все	4	4
59	связаны с	2	4
60	в качестве	2	4
61	в самом	3	4
62	точка зрения	3	4
63	один из	7	4
64	все это	9	4
65	речь и	2	4
66	так же	2	4
67	о том	3	4
68	но в	4	4
69	и к	4	4
70	можно было	3	4
71	то есть	32	4
72	связанных с	3	3
73	и эта	2	3
74	хотя и	2	3
75	жизни это	3	3
76	из них	3	3
77	жизни и	7	3
78	и вот	3	3
79	лишь в	4	3
80	и даже	2	3
81	нуждается в	2	3
82	их в	3	3
83	сказать что	6	3
84	в начале	5	3
85	та же	2	3
86	в виду	3	3
87	вследствие этого	2	3
88	и все	3	3
89	в одном	3	3
90	в ее	3	3
91	том что	4	3
92	в тех	2	3
93	еще не	2	3
94	отношения к	4	3
95	да и	3	3
96	вряд ли	2	3
97	на самом	2	3
98	роль в	5	3
99	выражение в	5	3
100	связи с	2	3
101	место в	3	2
102	но даже	2	2
103	человека и	3	2
104	в мире	2	2
105	в том	3	2
106	но это	2	2
107	времени и	6	2
108	для него	9	2
109	до конца	2	2
110	в пределах	2	2
111	несмотря на	3	2
112	события и	2	2
113	значительной степени	2	2
114	в него	2	2
115	себе и	2	2
116	в этих	4	2
117	отношение к	8	2
118	целый ряд	2	2
119	в связи	2	2
120	в отношении	2	2
121	не было	4	2
122	этом отношении	3	2
123	все эти	7	2
124	в своих	4	2
125	также и	3	2
126	даже и	2	2
127	был и	3	2
128	в жизни	4	2
129	для них	2	2
130	в какой-то	2	2
131	себе в	2	2
132	связанные с	2	2
133	что он	3	2
134	но не	5	2
135	связано с	2	2
136	тот же	5	2
137	одной из	2	2
138	и потому	5	2
139	зрения на	2	2
140	в своей	5	2
141	этот процесс	4	2
142	сих пор	4	2
143	связь с	3	2
144	здесь не	2	2
145	в значительной	3	2
146	к нему	3	2
147	в дальнейшем	2	2
148	с ним	4	2
149	тем что	4	2
150	и вообще	3	2
