N	3gram	Potebnia_M_3	Vvedenie
1	и т д	3	36
2	для того чтобы	3	20
3	в том что	16	12
4	тем не менее	3	8
5	не может быть	3	8
6	то же время	5	6
7	в то же	5	6
8	до сих пор	3	6
9	и т п	2	5
10	с другой стороны	4	5
11	в том чтобы	2	5
12	по крайней мере	5	4
13	не только в	4	4
14	с одной стороны	3	4
15	само по себе	3	4
16	в этом отношении	2	4
17	по отношению к	5	4
18	и в том	2	3
19	можно сказать что	2	3
20	в собственном смысле	2	3
21	и в самом	2	3
22	вместе с тем	4	3
23	сама по себе	2	3
24	смысле этого слова	7	2
25	и той же	2	2
26	того что уже	2	2
27	но вместе с	2	2
28	не могут быть	2	2
29	не в том	5	2
30	подобно тому как	2	2
31	в большей части	2	2
32	одной и той	2	2
33	потому что он	3	2
