N	3gram	Losev_Dial_1	Marksizm
1	с точки зрения	12	13
2	не может быть	3	10
3	то же время	4	8
4	в то же	4	8
5	в том что	7	6
6	может быть и	3	5
7	той или иной	3	4
8	на самом деле	2	4
9	к тому что	2	3
10	одно и то	4	3
11	с одной стороны	2	3
12	о том что	2	3
13	и то же	4	3
14	до сих пор	2	3
15	лежащая в основе	2	3
16	точки зрения самого	2	2
17	не было бы	2	2
18	в нем нет	3	2
19	по крайней мере	4	2
20	более или менее	3	2
21	на то что	4	2
22	во всяком случае	2	2
23	мы можем сказать	2	2
24	одной стороны и	2	2
