N	2gram	Nazirov_Tv_2	Myshleni
1	таким образом	10	26
2	в том	8	24
3	и в	20	23
4	том что	4	21
5	в целом	6	20
6	то что	3	17
7	в этом	8	17
8	так же	5	16
9	не только	13	16
10	что в	7	14
11	может быть	8	14
12	но и	8	14
13	как и	6	14
14	в его	10	14
15	не может	7	12
16	как бы	11	11
17	с другой	2	10
18	прежде всего	8	10
19	не является	3	9
20	другой стороны	2	9
21	и не	9	9
22	между тем	3	9
23	и с	8	9
24	вместе с	3	9
25	и на	5	8
26	в основе	2	8
27	в процессе	2	8
28	то же	7	8
29	в этой	5	7
30	в самом	3	7
31	по отношению	3	7
32	в то	10	7
33	так как	3	7
34	что он	6	7
35	отношению к	3	7
36	мы не	4	7
37	и ее	2	7
38	все время	2	6
39	с этой	3	6
40	же как	3	6
41	все это	6	6
42	именно в	6	6
43	потому что	7	6
44	о том	5	6
45	и его	9	6
46	тем что	3	6
47	в себе	3	6
48	только в	2	6
49	в своих	3	5
50	если бы	4	5
51	но в	4	5
52	думается что	2	5
53	а затем	3	5
54	и что	2	5
55	он не	3	5
56	так и	6	5
57	целом и	2	5
58	тем самым	4	5
59	из этого	2	5
60	но не	5	4
61	не в	4	4
62	в пользу	3	4
63	при этом	8	4
64	что она	4	4
65	в котором	3	4
66	в свете	3	4
67	все эти	4	4
68	не столько	2	4
69	их в	2	4
70	в одном	2	4
71	к этому	3	4
72	в чем	4	4
73	в своей	6	4
74	сих пор	3	4
75	как в	4	4
76	приводит к	2	4
77	а с	3	4
78	мы видим	4	4
79	до сих	3	4
80	только для	2	3
81	уже в	2	3
82	я не	2	3
83	к анализу	2	3
84	и от	4	3
85	в такой	2	3
86	показывает что	4	3
87	что они	4	3
88	и мы	3	3
89	и если	2	3
90	в их	3	3
91	и других	2	3
92	в которых	3	3
93	вовсе не	2	3
94	в одной	3	3
95	этот вопрос	3	3
96	всяком случае	2	3
97	превращается в	3	3
98	об этом	4	3
99	такой же	2	3
100	как известно	2	3
101	человека и	3	3
102	все же	5	3
103	если не	4	3
104	самом деле	2	3
105	а не	6	3
106	на этот	2	3
107	во всяком	2	3
108	могут быть	2	3
109	и это	3	3
110	в которой	2	3
111	ничего не	4	3
112	за собой	4	2
113	в частности	2	2
114	никогда не	11	2
115	точку зрения	2	2
116	что у	4	2
117	или даже	2	2
118	в конце	6	2
119	представление о	7	2
120	по самой	3	2
121	что его	2	2
122	же время	7	2
123	для него	3	2
124	а скорее	2	2
125	хотя и	4	2
126	один из	3	2
127	другом в	2	2
128	начиная с	2	2
129	эта мысль	2	2
130	и наконец	2	2
131	и даже	5	2
132	действия и	2	2
133	а в	4	2
134	что этот	2	2
135	говорить о	2	2
136	в стороне	2	2
137	влечет за	2	2
138	в ее	2	2
139	том же	2	2
140	и потому	4	2
141	когда он	4	2
142	на него	2	2
143	в известной	4	2
144	в ту	2	2
145	уже не	3	2
146	с другими	2	2
147	в виде	2	2
148	из этой	2	2
149	едва ли	2	2
150	не могли	2	2
151	и поэтому	2	2
152	одном из	2	2
