N	2gram	Tiupa_Teor_1	Myslijsy
1	потому что	3	49
2	то есть	12	30
3	и в	18	24
4	в душе	8	23
5	может быть	17	23
6	то что	3	20
7	и не	13	19
8	а не	9	18
9	в том	16	18
10	что в	9	16
11	не только	16	15
12	того же	3	14
13	при этом	12	13
14	не в	7	13
15	в слове	3	13
16	но не	9	12
17	не может	4	12
18	то же	7	12
19	если бы	3	11
20	что и	2	11
21	вместе с	2	11
22	только в	6	11
23	таким образом	3	11
24	для него	2	10
25	в себе	9	10
26	как в	5	10
27	тогда как	15	10
28	вовсе не	3	9
29	в нем	4	9
30	как бы	5	9
31	но и	9	9
32	а только	3	8
33	а в	13	8
34	том что	9	8
35	более или	2	8
36	или менее	2	8
37	в одно	2	8
38	в этом	8	8
39	могут быть	4	8
40	не могут	2	7
41	прежде всего	2	7
42	зрения и	2	7
43	как и	4	7
44	того что	4	7
45	с другой	7	6
46	в одном	2	6
47	и того	3	6
48	и как	2	6
49	свою очередь	2	6
50	в свою	3	6
51	тем не	3	6
52	между тем	5	6
53	между двумя	3	6
54	одного и	3	6
55	в то	6	6
56	этого слова	3	6
57	слова в	2	5
58	не менее	4	5
59	столь же	2	5
60	так и	10	5
61	в них	2	5
62	а и	4	5
63	с другими	5	5
64	в которой	2	5
65	место в	5	4
66	никогда не	4	4
67	из этих	3	4
68	уже не	4	4
69	еще не	4	4
70	в самом	4	4
71	так в	4	4
72	с одной	2	4
73	и что	3	4
74	тем самым	4	4
75	внешнего мира	2	4
76	но в	9	4
77	для меня	2	4
78	это не	2	3
79	хотя и	3	3
80	одной стороны	2	3
81	мы в	2	3
82	мог бы	3	3
83	вслед за	2	3
84	говоря о	3	3
85	в самой	2	3
86	если в	2	3
87	его в	2	3
88	но она	2	3
89	и тем	3	3
90	не с	3	3
91	в целом	3	3
92	со стороны	2	3
93	что она	2	3
94	и притом	2	3
95	если мы	2	3
96	и для	2	3
97	и то	2	3
98	могла бы	2	3
99	далеко не	2	3
100	в этих	3	3
101	на деле	2	3
102	этом смысле	2	2
103	ни был	2	2
104	в нашем	4	2
105	и его	8	2
106	в какой	2	2
107	превращается в	2	2
108	но он	3	2
109	при чтении	2	2
110	в пространстве	2	2
111	и это	2	2
112	в жизни	2	2
113	между ними	4	2
114	состоит в	17	2
115	с его	5	2
116	что может	2	2
117	мы легко	2	2
118	у нас	2	2
119	за пределы	2	2
120	все эти	2	2
121	есть в	2	2
122	так же	2	2
123	же время	5	2
124	в формах	2	2
125	имеет место	2	2
126	у и	2	2
127	в его	6	2
128	и потому	2	2
129	не все	3	2
130	один из	2	2
131	на две	3	2
132	все это	2	2
133	во времени	3	2
134	другой стороны	5	2
135	а а	5	2
136	а с	3	2
137	в себя	3	2
138	от себя	3	2
139	и по	2	2
140	отношения к	2	2
141	как это	8	2
142	или в	3	2
143	по отношению	4	2
144	и здесь	2	2
145	их в	3	2
146	сказать что	3	2
147	тому что	2	2
148	не на	2	2
149	существования в	2	2
150	в другом	3	2
151	быть названо	2	2
152	могли бы	2	2
153	отношении к	2	2
154	к которому	3	2
155	к нам	2	2
156	это было	2	2
