N	2gram	Vinokur_St_2	Tvorches
1	и в	29	21
2	как бы	5	17
3	в то	2	15
4	в его	13	13
5	то же	2	13
6	что в	19	12
7	как и	2	12
8	с его	2	11
9	том что	27	11
10	в романе	4	10
11	все это	11	10
12	как в	3	8
13	он не	9	8
14	то что	11	8
15	во многом	2	7
16	в том	27	7
17	при этом	2	7
18	не только	19	7
19	и не	9	7
20	в году	3	7
21	и на	6	7
22	но в	8	7
23	что он	13	6
24	не менее	3	6
25	для него	4	6
26	в котором	7	6
27	и его	6	6
28	в этом	21	6
29	xix века	3	6
30	о том	17	6
31	вовсе не	6	5
32	а не	5	5
33	но это	3	5
34	может быть	2	5
35	в этой	2	5
36	все же	6	5
37	таким образом	10	5
38	хотя бы	3	5
39	потому что	9	5
40	только в	2	5
41	в русской	5	5
42	в своем	9	4
43	прежде всего	5	4
44	и как	2	4
45	времени и	4	4
46	одной из	3	4
47	одним из	6	4
48	своего рода	5	4
49	в своей	7	4
50	не может	2	4
51	самого начала	3	3
52	и другие	2	3
53	никогда не	3	3
54	с другой	4	3
55	я не	7	3
56	не был	3	3
57	говорит о	2	3
58	с самого	3	3
59	что я	2	3
60	но не	3	3
61	на его	2	3
62	в самом	7	3
63	даже в	2	3
64	в нем	4	3
65	и т	9	3
66	не по	2	3
67	но и	19	3
68	дело не	2	3
69	ее в	2	3
70	первой части	2	3
71	в их	3	3
72	на самом	3	3
73	того что	5	3
74	и даже	3	3
75	и по	3	3
76	так же	3	3
77	в которой	11	3
78	связан с	3	3
79	и с	4	3
80	хотя и	4	3
81	в россии	3	3
82	дело в	4	3
83	так как	2	3
84	а как	4	2
85	в частности	4	2
86	в этих	3	2
87	в качестве	5	2
88	эти слова	2	2
89	не столько	7	2
90	у пушкина	12	2
91	к этому	4	2
92	что и	2	2
93	его как	2	2
94	а затем	2	2
95	об этом	6	2
96	так что	3	2
97	не в	4	2
98	отношений между	3	2
99	того же	2	2
100	до конца	3	2
101	из них	3	2
102	к тому	10	2
103	в одной	2	2
104	в ней	7	2
105	тем не	2	2
106	в духе	2	2
107	еще в	2	2
108	вместе с	7	2
109	так и	9	2
110	вряд ли	3	2
111	в отличие	2	2
112	именно в	4	2
113	еще более	4	2
114	на первом	2	2
115	не мог	3	2
116	самом деле	3	2
117	за то	3	2
118	и он	3	2
119	только что	2	2
120	отличие от	2	2
121	в движении	2	2
122	где он	2	2
123	сказать что	2	2
124	но он	3	2
125	это время	2	2
126	в данном	2	2
127	в себе	2	2
128	т п	3	2
129	в один	2	2
130	при помощи	4	2
131	говорит об	2	2
132	не то	3	2
133	в виду	7	2
