N	2gram	Tiupa_Anal_1	formyVre
1	и в	18	46
2	в этом	13	22
3	прежде всего	6	14
4	и т	3	14
5	вовсе не	2	13
6	и его	5	12
7	только в	6	11
8	не только	15	11
9	т п	3	11
10	в том	27	10
11	как бы	5	10
12	точки зрения	6	10
13	то есть	11	10
14	но в	8	10
15	не в	14	9
16	вместе с	4	9
17	но и	17	9
18	и не	21	9
19	как и	13	8
20	в его	13	8
21	то же	9	8
22	того чтобы	3	8
23	для того	4	8
24	с точки	4	8
25	потому что	2	8
26	из них	2	8
27	может быть	29	7
28	то что	6	7
29	так и	4	7
30	в эпизоде	2	7
31	и на	5	7
32	никогда не	2	6
33	и все	3	6
34	при этом	12	6
35	как мы	2	6
36	еще не	3	6
37	все же	4	6
38	в основе	6	6
39	так как	2	6
40	и с	2	6
41	в частности	19	5
42	в пределах	2	5
43	в то	9	5
44	но не	10	5
45	он не	3	5
46	в нем	3	5
47	что в	5	5
48	все эти	2	5
49	должно быть	2	5
50	место в	3	4
51	отнюдь не	15	4
52	из этих	2	4
53	же время	6	4
54	с ним	4	4
55	том что	12	4
56	в ряду	2	4
57	в котором	3	4
58	в мире	8	4
59	отношения к	2	4
60	а не	17	4
61	также и	2	4
62	в себе	11	4
63	о том	5	4
64	том числе	3	3
65	себя и	4	3
66	не является	2	3
67	того же	4	3
68	как уже	2	3
69	к тому	7	3
70	что он	3	3
71	самое время	2	3
72	и как	5	3
73	тем более	2	3
74	в качестве	31	3
75	для него	2	3
76	имеет место	5	3
77	а также	3	3
78	нет и	2	3
79	что и	3	3
80	отношение к	2	3
81	во времени	4	3
82	таким образом	3	3
83	в их	5	3
84	уже не	4	3
85	того что	4	3
86	и по	2	3
87	а в	9	3
88	роль в	2	3
89	на основе	2	3
90	в другом	4	3
91	же самое	2	3
92	мира в	2	3
93	этом ряду	2	2
94	на этом	2	2
95	только для	2	2
96	человек в	3	2
97	и более	4	2
98	и есть	3	2
99	и та	2	2
100	смысла и	3	2
101	с другой	4	2
102	это не	6	2
103	романа в	2	2
104	по себе	4	2
105	или иной	6	2
106	можно сказать	2	2
107	именно в	4	2
108	в этой	5	2
109	с анализом	2	2
110	было бы	2	2
111	и к	3	2
112	в сущности	6	2
113	и о	2	2
114	и потому	2	2
115	если в	3	2
116	жизни но	2	2
117	один из	2	2
118	для чего	2	2
119	и до	2	2
120	и т.п	5	2
121	не может	22	2
122	здесь не	2	2
123	этом отношении	2	2
124	с одной	3	2
125	в двух	2	2
126	в себя	6	2
127	в той	8	2
128	лишь в	5	2
129	особенно в	2	2
130	каждый из	2	2
131	сами по	2	2
132	в данном	2	2
133	то в	2	2
134	автора и	3	2
135	мы имеем	6	2
136	могут быть	4	2
137	в литературе	4	2
138	далеко не	6	2
139	каждом из	2	2
140	как он	3	2
141	мире и	2	2
