N	2gram	Tiupa_Lite_1	Narrotol
1	не только	24	32
2	может быть	13	25
3	но и	17	23
4	в качестве	17	21
5	и не	12	20
6	и в	8	19
7	то есть	6	19
8	в том	16	18
9	в этом	12	17
10	в тексте	8	16
11	в частности	15	14
12	том что	14	14
13	не в	8	14
14	состоит в	11	13
15	в рамках	6	12
16	а не	16	12
17	своего рода	11	12
18	тогда как	13	12
19	коммуникативного события	7	12
20	представляет собой	4	12
21	то что	10	11
22	а в	3	11
23	не может	5	10
24	точки зрения	6	10
25	при этом	19	9
26	со стороны	4	9
27	так и	4	9
28	в его	7	9
29	в мире	2	9
30	с другой	3	8
31	не является	2	8
32	и т.п	4	8
33	в себе	7	8
34	в случае	4	7
35	как и	6	7
36	еще не	4	7
37	к тому	2	7
38	такого рода	10	7
39	а также	5	7
40	все же	4	7
41	как в	5	7
42	по отношению	3	7
43	с одной	2	7
44	одной стороны	2	7
45	с его	5	6
46	что он	5	6
47	отношению к	2	6
48	но не	4	6
49	в себя	2	6
50	тем самым	5	6
51	как это	8	6
52	о том	2	6
53	но в	3	6
54	отнюдь не	2	5
55	нуждается в	3	5
56	или иной	2	5
57	тому же	2	5
58	себя в	6	5
59	уже не	7	5
60	и его	4	5
61	в данном	5	5
62	в основе	3	5
63	в отличие	5	5
64	к себе	3	5
65	отличие от	5	5
66	в этой	4	5
67	далеко не	3	5
68	мира в	3	5
69	во втором	2	4
70	прежде всего	11	4
71	одного из	3	4
72	в нем	2	4
73	у него	3	4
74	что не	2	4
75	то же	5	4
76	же в	5	4
77	да и	3	4
78	в силу	4	4
79	при всей	3	4
80	же время	5	4
81	было бы	2	4
82	связи с	6	4
83	как бы	7	4
84	по характеристике	3	4
85	и тем	4	4
86	хотя бы	2	4
87	данном случае	4	4
88	не мог	3	4
89	в принципе	3	4
90	не столько	5	4
91	только в	8	4
92	как правило	2	4
93	не менее	7	3
94	по мысли	2	3
95	что в	3	3
96	могут быть	2	3
97	никогда не	4	3
98	уже в	5	3
99	из этих	2	3
100	в шмид	2	3
101	тем не	2	3
102	различного рода	2	3
103	одна из	3	3
104	в сущности	2	3
105	на том	2	3
106	и самого	2	3
107	и даже	3	3
108	один из	3	3
109	не есть	2	3
110	из них	4	3
111	жизни и	3	3
112	коммуникативное событие	4	3
113	этом отношении	2	3
114	сводится к	3	3
115	столь же	4	3
116	в коммуникативном	2	3
117	или иначе	9	3
118	между тем	2	3
119	тем что	2	3
120	на себя	2	3
121	в конечном	5	3
122	по своей	3	3
123	в то	5	3
124	как будто	2	3
125	все та	2	2
126	бы не	3	2
127	с чем	2	2
128	должна быть	2	2
129	конечном счете	4	2
130	которая в	2	2
131	в своем	11	2
132	героя с	2	2
133	та же	2	2
134	не как	4	2
135	не могло	2	2
136	не сводится	3	2
137	различие между	2	2
138	по выражению	2	2
139	или иную	2	2
140	субъекта и	3	2
141	ту или	2	2
142	сознания к	2	2
143	для него	2	2
144	в пределах	3	2
145	читателя в	2	2
146	несмотря на	3	2
147	например в	3	2
148	вплоть до	2	2
149	и др	3	2
150	так или	8	2
151	даже в	2	2
152	говоря словами	3	2
153	в любом	2	2
154	в культуре	3	2
155	при всех	2	2
156	приводит к	3	2
157	как раз	4	2
158	не на	2	2
159	в связи	4	2
160	и только	2	2
161	не было	3	2
162	по терминологии	2	2
163	все эти	2	2
164	этой точки	3	2
165	самом деле	2	2
166	адресата в	2	2
167	одним из	5	2
168	с точки	2	2
169	при всем	3	2
170	с.с аверинцева	2	2
171	это не	4	2
172	но без	2	2
173	роль в	2	2
174	можно было	2	2
175	тому как	2	2
176	не случайно	2	2
177	тем более	2	2
178	нового времени	2	2
179	однако в	2	2
180	одну из	2	2
181	одно из	3	2
182	подобно тому	2	2
183	как представляется	2	2
184	исходя из	3	2
185	его в	3	2
186	всего лишь	4	2
187	более не	2	2
188	текста как	2	2
