N	3gram	Losev_Prob_1	VerxiiNi
1	во всяком случае	3	6
2	с точки зрения	3	6
3	по крайней мере	2	5
4	до сих пор	3	5
5	более или менее	3	5
6	для того чтобы	8	5
7	о том что	5	4
8	в конце концов	4	3
9	точно так же	4	3
10	так же как	2	3
11	в связи с	4	3
12	тем не менее	18	3
13	в том что	5	3
14	так или иначе	2	3
15	можно сказать что	3	2
16	может быть даже	2	2
17	на то что	8	2
18	то что он	3	2
19	той или иной	4	2
20	и в этом	2	2
21	может быть и	3	2
22	в то же	4	2
23	то же самое	9	2
24	ничего общего с	7	2
