N	2gram	Tiupa_Teor_1	Istorich
1	и в	18	28
2	может быть	17	25
3	не может	4	15
4	а не	9	15
5	никогда не	4	14
6	мы имеем	7	13
7	что в	9	12
8	то же	7	12
9	не только	16	12
10	только в	6	11
11	прежде всего	2	10
12	но и	9	10
13	и что	3	10
14	в том	16	9
15	то что	3	9
16	и не	13	9
17	не в	7	9
18	так и	10	9
19	если бы	3	8
20	таким образом	3	8
21	в этом	8	8
22	но в	9	8
23	в этих	3	7
24	это не	2	7
25	том что	9	7
26	еще не	4	7
27	а в	13	7
28	так же	2	7
29	и здесь	2	7
30	с другой	7	6
31	не менее	4	6
32	к тому	2	6
33	тем не	3	6
34	это тоже	2	6
35	вслед за	2	6
36	что и	2	6
37	в этой	3	6
38	его в	2	6
39	вместе с	2	6
40	не знает	3	5
41	в одном	2	5
42	более или	2	5
43	но не	9	5
44	в качестве	24	5
45	что она	2	5
46	ее в	2	5
47	дело не	2	5
48	или менее	2	5
49	другой стороны	5	5
50	в своем	4	5
51	на основе	2	5
52	или в	3	5
53	их в	3	5
54	сказать что	3	5
55	в его	6	5
56	к которому	3	5
57	все это	2	4
58	и другие	2	4
59	между собой	3	4
60	превращается в	2	4
61	в пределах	5	4
62	об этом	2	4
63	представляет собой	9	4
64	в большинстве	2	4
65	одной стороны	2	4
66	чем это	2	4
67	даже в	3	4
68	один из	2	4
69	а именно	2	4
70	так в	4	4
71	с одной	2	4
72	как и	4	4
73	того что	4	4
74	и даже	2	4
75	и для	2	4
76	потому что	3	4
77	в основе	3	4
78	могут быть	4	4
79	как будто	2	4
80	как правило	4	4
81	все эти	2	4
82	не все	3	4
83	я не	2	3
84	в какой	2	3
85	может оказаться	2	3
86	перед нами	2	3
87	не с	3	3
88	именно в	3	3
89	при этом	12	3
90	и по	2	3
91	отношению к	4	3
92	в форме	2	3
93	в их	2	3
94	уже не	4	3
95	и его	8	3
96	ключ к	2	3
97	если мы	2	3
98	к чему	2	3
99	как это	8	3
100	или даже	4	3
101	по отношению	4	3
102	в другом	3	3
103	в то	6	3
104	могли бы	2	3
105	дело в	2	3
106	а с	3	2
107	в рамках	7	2
108	не могут	2	2
109	отличие от	6	2
110	в частности	16	2
111	столь же	2	2
112	он должен	2	2
113	и потому	2	2
114	между ними	4	2
115	была бы	3	2
116	вовсе не	3	2
117	таких случаях	2	2
118	в ее	5	2
119	и как	2	2
120	по своей	3	2
121	говорит в	2	2
122	для него	2	2
123	одной из	2	2
124	мы в	2	2
125	никто не	2	2
126	как бы	5	2
127	не вполне	2	2
128	и тем	3	2
129	в нем	4	2
130	это было	2	2
131	себя в	6	2
132	в целом	3	2
133	в русской	6	2
134	со стороны	2	2
135	как в	5	2
136	как раз	2	2
137	не на	2	2
138	в отличие	6	2
139	отношения к	2	2
140	он не	3	2
141	и вот	3	2
142	приводит к	5	2
143	а только	3	2
144	одним из	2	2
145	ни к	3	2
146	между тем	5	2
147	однако в	7	2
148	в себе	9	2
149	в конечном	6	2
150	в области	4	2
