N	3gram	Vygotskiy__5	Freidism
1	с точки зрения	2	11
2	не может быть	2	7
3	в самом деле	5	6
4	мы знаем что	2	4
5	в данном случае	2	4
6	можно сказать что	2	4
7	в зависимости от	6	4
8	на самом деле	2	4
9	с самого начала	3	3
10	на этот вопрос	3	3
11	и той же	2	3
12	одной и той	2	3
13	для того чтобы	19	3
14	то же самое	3	2
15	с одной стороны	12	2
16	а с другой	4	2
17	зависимости от того	2	2
18	в отличие от	2	2
19	в конце концов	2	2
20	в этом отношении	3	2
21	может быть и	2	2
22	до сих пор	5	2
23	все то что	2	2
