N	2gram	Savitsky_E_1	Hudozhes
1	в мире	2	23
2	в качестве	14	19
3	то есть	6	18
4	и не	14	16
5	в том	11	15
6	и в	37	15
7	не только	18	15
8	в частности	5	13
9	может быть	6	13
10	а в	2	12
11	но не	5	11
12	в этом	12	11
13	в себе	9	11
14	представляет собой	3	10
15	как бы	6	10
16	но и	14	10
17	так и	10	10
18	то же	15	10
19	а не	2	10
20	в его	2	9
21	точки зрения	23	9
22	с другой	7	7
23	или иной	4	7
24	в то	16	7
25	но в	14	7
26	что в	21	6
27	в ее	8	6
28	том что	6	6
29	не в	5	6
30	же время	14	6
31	не может	9	6
32	по своей	2	6
33	могут быть	2	5
34	можно сказать	4	5
35	а также	7	5
36	только в	9	5
37	тем самым	5	5
38	в самом	4	5
39	того что	7	5
40	той или	4	5
41	то что	6	5
42	между ними	2	5
43	другой стороны	2	5
44	в их	11	5
45	место в	3	4
46	в этих	2	4
47	прежде всего	9	4
48	к тому	8	4
49	и как	2	4
50	хотя и	2	4
51	он не	2	4
52	и тем	3	4
53	в своей	8	4
54	со стороны	5	4
55	и то	2	4
56	сказать что	4	4
57	между тем	8	4
58	как это	4	4
59	если бы	2	3
60	в отношении	32	3
61	этом смысле	3	3
62	или иного	4	3
63	и к	3	3
64	и того	2	3
65	в пределах	25	3
66	по своему	7	3
67	того же	3	3
68	в свою	3	3
69	мог бы	2	3
70	имеет место	2	3
71	иначе говоря	2	3
72	того или	4	3
73	далеко не	2	3
74	к нему	2	3
75	не будет	3	3
76	в культуре	3	3
77	не на	4	3
78	таким образом	2	3
79	как и	7	3
80	в той	5	3
81	и что	2	3
82	во втором	2	3
83	с точки	17	3
84	во всей	2	3
85	и для	3	3
86	в таком	3	3
87	потому что	3	3
88	в данном	3	3
89	всего лишь	3	3
90	в области	11	3
91	в порядке	2	2
92	но на	3	2
93	и более	2	2
94	ни столь	2	2
95	в сторону	2	2
96	жизни в	3	2
97	в своем	14	2
98	в них	3	2
99	в одном	2	2
100	вовсе не	6	2
101	по себе	4	2
102	для понимания	2	2
103	при условии	2	2
104	идет о	3	2
105	тем более	4	2
106	есть в	2	2
107	свою очередь	2	2
108	в значительной	2	2
109	одной стороны	8	2
110	несмотря на	4	2
111	мира в	4	2
112	во всех	6	2
113	одной из	5	2
114	и потому	5	2
115	даже в	4	2
116	не является	3	2
117	к такой	2	2
118	по преимуществу	2	2
119	как в	3	2
120	а именно	2	2
121	и прежде	3	2
122	и притом	4	2
123	с одной	8	2
124	именно в	4	2
125	и некоторые	3	2
126	того чтобы	6	2
127	для того	6	2
128	и по	5	2
129	или в	2	2
130	так же	9	2
131	с другими	2	2
132	и на	6	2
133	культуры в	4	2
134	в силу	2	2
135	существования в	3	2
136	известной степени	3	2
137	но как	2	2
138	начиная с	2	2
139	в этой	2	2
140	отношении к	15	2
141	о том	3	2
142	в европейской	2	2
143	мира и	3	2
