N	2gram	Losev_Prob_1	DiskursI
1	в себе	15	19
2	при этом	6	17
3	в качестве	2	16
4	и в	32	16
5	может быть	14	16
6	как и	3	16
7	в этом	19	16
8	и не	31	15
9	а не	15	14
10	то есть	33	12
11	но и	9	11
12	но в	14	11
13	том что	12	10
14	не только	17	10
15	такого рода	7	9
16	так и	12	9
17	не может	8	9
18	в том	9	8
19	а также	4	8
20	как в	4	8
21	не менее	19	7
22	прежде всего	10	7
23	в нем	13	7
24	ни в	7	7
25	но не	9	7
26	в данном	9	7
27	с его	2	6
28	отнюдь не	10	6
29	еще не	9	6
30	в своей	8	6
31	данном случае	8	6
32	то же	10	6
33	тем самым	4	6
34	что в	12	5
35	в своем	5	5
36	с другой	3	5
37	для него	2	5
38	то что	42	5
39	и на	8	5
40	в то	6	5
41	к его	2	4
42	как бы	14	4
43	известного рода	3	4
44	потому что	16	4
45	одно из	2	4
46	точки зрения	3	4
47	в этой	10	4
48	и то	6	4
49	о том	11	4
50	не является	5	4
51	я и	2	4
52	перед нами	5	3
53	и может	2	3
54	могут быть	2	3
55	в этих	3	3
56	в них	7	3
57	это не	6	3
58	из этих	2	3
59	и все	7	3
60	или иной	5	3
61	уже не	3	3
62	и того	2	3
63	и как	6	3
64	не в	4	3
65	здесь в	3	3
66	можно сказать	5	3
67	например в	2	3
68	он не	3	3
69	той или	5	3
70	в его	6	3
71	в котором	5	3
72	из них	3	3
73	но она	3	3
74	и ее	8	3
75	не было	4	3
76	все эти	8	3
77	также и	11	3
78	и его	3	3
79	но это	8	3
80	одного и	2	3
81	как будто	3	3
82	только в	7	3
83	его в	6	3
84	содержит в	7	2
85	что ни	2	2
86	же как	2	2
87	никогда не	7	2
88	а потом	2	2
89	же касается	3	2
90	у пушкина	2	2
91	момент в	2	2
92	или иного	2	2
93	этом случае	2	2
94	на первый	2	2
95	что он	7	2
96	является не	2	2
97	есть в	5	2
98	того же	3	2
99	не нужно	3	2
100	о чем	6	2
101	некоторого рода	5	2
102	о любви	2	2
103	далеко не	5	2
104	что будет	2	2
105	для себя	3	2
106	с точки	3	2
107	но уже	5	2
108	или из	3	2
109	вместе с	2	2
110	что же	9	2
111	не на	3	2
112	входит в	4	2
113	может и	3	2
114	значение не	2	2
115	именно в	4	2
116	по преимуществу	2	2
117	все это	7	2
118	другой стороны	3	2
119	и для	4	2
120	должно быть	2	2
121	а в	4	2
122	тому как	2	2
123	в результате	2	2
124	их в	4	2
125	пока еще	3	2
126	и с	2	2
127	может иметь	2	2
128	не о	2	2
129	подобно тому	2	2
130	говорить о	6	2
131	и это	9	2
132	дело в	3	2
133	здесь не	7	2
134	в области	2	2
135	мы имеем	2	2
136	между тем	2	2
