N	3gram	Vinokur_Vv_1	Freidism
1	с точки зрения	2	11
2	по отношению к	4	8
3	во всяком случае	3	7
4	не может быть	8	7
5	в самом деле	5	6
6	то же время	5	4
7	в данном случае	4	4
8	в то же	5	4
9	можно сказать что	3	4
10	как мы видели	2	4
11	на этот вопрос	3	3
12	в собственном смысле	2	3
13	и той же	2	3
14	одной и той	2	3
15	для того чтобы	21	3
16	что же касается	2	2
17	то же самое	2	2
18	не могут быть	2	2
19	с одной стороны	4	2
20	тем не менее	8	2
21	в отличие от	3	2
22	в конце концов	2	2
23	в этом отношении	3	2
24	может быть и	2	2
25	до сих пор	5	2
26	но в то	3	2
