N	2gram	Medvedev_F_3	EvropaiC
1	таким образом	18	32
2	в том	7	31
3	и в	27	24
4	том что	4	20
5	все эти	6	19
6	не может	24	18
7	то что	8	17
8	может быть	25	15
9	все же	6	15
10	точки зрения	16	13
11	в своем	2	12
12	самом деле	16	12
13	в этом	18	12
14	все это	7	11
15	между тем	7	11
16	отношению к	3	10
17	мы знаем	4	10
18	как бы	8	10
19	по отношению	3	10
20	во всех	3	10
21	так и	21	10
22	при этом	8	9
23	в результате	5	9
24	как и	14	9
25	того же	3	9
26	что в	8	9
27	не в	12	8
28	в самом	11	8
29	так же	9	8
30	знаем что	2	8
31	если бы	12	8
32	и все	8	8
33	ясно что	3	8
34	а и	3	8
35	с точки	14	8
36	не менее	7	7
37	для этого	2	7
38	к тому	4	7
39	но и	10	7
40	и не	30	7
41	и что	3	7
42	из этих	2	7
43	о том	4	7
44	что он	6	7
45	из элементов	2	7
46	на самом	14	7
47	того чтобы	5	7
48	для того	4	7
49	из этого	4	7
50	должна быть	3	6
51	с другой	6	6
52	в этой	2	6
53	в общем	2	6
54	отличается от	2	6
55	того что	3	6
56	и на	3	6
57	так как	9	6
58	еще не	6	6
59	что и	2	6
60	у них	2	6
61	мы можем	4	6
62	только в	8	6
63	вместе с	6	6
64	что это	3	5
65	столь же	3	5
66	и от	11	5
67	на все	2	5
68	в целом	4	5
69	и их	5	5
70	другой стороны	5	5
71	и с	3	5
72	потому что	7	5
73	его в	7	5
74	но в	6	5
75	к этому	2	5
76	в то	7	5
77	в его	7	5
78	не только	9	5
79	и для	6	5
80	лишь в	9	5
81	в себе	3	5
82	не могут	10	4
83	никогда не	5	4
84	в конце	3	4
85	в такой	2	4
86	тем не	2	4
87	в дальнейшем	5	4
88	одним из	3	4
89	об эволюции	2	4
90	из них	2	4
91	всех этих	2	4
92	между собой	4	4
93	данный момент	2	4
94	связи с	5	4
95	социальной жизни	4	4
96	мы должны	2	4
97	мы уже	3	4
98	конце концов	2	4
99	не есть	4	4
100	совершенно не	7	4
101	то же	15	4
102	если мы	7	4
103	хотя бы	6	4
104	в таком	2	4
105	в области	2	4
106	же как	3	3
107	в этих	3	3
108	эти элементы	2	3
109	ее и	2	3
110	для нас	3	3
111	очевидно что	2	3
112	в нем	15	3
113	данном случае	4	3
114	от того	2	3
115	то ни	4	3
116	это не	3	3
117	в истории	5	3
118	и потому	5	3
119	бы в	6	3
120	с тем	7	3
121	прежде всего	4	3
122	в жизни	11	3
123	таким же	2	3
124	у нас	3	3
125	от него	2	3
126	конечно не	4	3
127	на почве	2	3
128	даже в	2	3
129	на земле	2	3
130	жизнь и	3	3
131	в данном	6	3
132	в связи	4	3
133	то из	2	3
134	и это	2	3
135	отличие от	2	3
136	независимо от	5	2
137	в сторону	2	2
138	тому что	3	2
139	но так	2	2
140	именно потому	2	2
141	вследствие этого	3	2
142	исторического развития	2	2
143	как мы	8	2
144	сводится к	5	2
145	мы и	3	2
146	такой же	2	2
147	что они	5	2
148	на этом	2	2
149	между людьми	3	2
150	же время	7	2
151	он считает	2	2
152	ни для	2	2
153	но для	2	2
154	в ней	5	2
155	но если	2	2
156	в виду	3	2
157	всяком случае	6	2
158	в котором	2	2
159	только один	2	2
160	с ее	2	2
161	мы видели	4	2
162	бы то	4	2
163	этот процесс	3	2
164	что она	2	2
165	имеет место	3	2
166	те же	3	2
167	в самой	2	2
168	они не	4	2
169	ни было	5	2
170	и те	4	2
171	в которых	3	2
172	не следует	3	2
173	одну из	2	2
174	говорить о	2	2
175	во всяком	6	2
176	возможно лишь	2	2
177	в основе	3	2
178	и более	3	2
179	только не	2	2
180	отнюдь не	8	2
181	из нее	2	2
182	в них	3	2
183	следует что	4	2
184	же что	2	2
185	тогда когда	4	2
186	должен быть	2	2
187	вовсе не	28	2
188	а к	2	2
189	то в	2	2
190	так чтобы	2	2
191	одна из	2	2
192	но не	5	2
193	только то	3	2
194	она не	4	2
195	было бы	6	2
196	жизни и	4	2
197	не от	2	2
198	и из	2	2
199	в сущности	2	2
200	все без	3	2
201	как не	2	2
202	в процессе	15	2
203	что же	5	2
204	из одного	2	2
205	одной и	2	2
206	между ними	15	2
207	и ее	6	2
208	ту же	2	2
209	этого слова	2	2
210	если же	5	2
211	и только	2	2
212	в эту	2	2
