N	2gram	Bakhtin_Fr_3	Problemy
1	и в	40	43
2	и не	13	29
3	может быть	9	23
4	как бы	3	22
5	не может	3	18
6	но и	11	14
7	как и	11	14
8	точки зрения	2	13
9	в этом	15	13
10	что он	2	13
11	слова в	2	12
12	в нем	5	12
13	в одном	7	12
14	слова и	2	12
15	не только	13	11
16	прежде всего	16	10
17	и на	8	10
18	но в	8	10
19	в его	13	10
20	как мы	10	10
21	еще не	3	9
22	в сущности	9	9
23	он не	9	9
24	для него	5	8
25	лишь в	2	8
26	то же	7	8
27	и его	17	8
28	слово в	3	8
29	до сих	4	7
30	и сам	2	7
31	в самом	6	7
32	в то	6	7
33	то что	5	7
34	сих пор	4	7
35	а не	5	7
36	в другом	3	7
37	в этих	6	6
38	в том	8	6
39	при этом	3	6
40	в котором	2	6
41	и наконец	3	6
42	и все	9	6
43	у него	8	6
44	о нем	3	6
45	здесь не	3	6
46	так сказать	5	6
47	же время	6	5
48	к нему	2	5
49	все это	4	5
50	по отношению	3	5
51	таким образом	10	5
52	все эти	8	5
53	а в	3	5
54	рядом с	2	5
55	и с	8	5
56	но ведь	3	5
57	но здесь	2	5
58	вовсе не	12	5
59	о том	4	5
60	но не	2	5
61	было бы	4	5
62	мы увидим	2	5
63	никак не	3	5
64	отношению к	2	5
65	в той	6	5
66	самом деле	3	5
67	в себе	3	5
68	что в	12	4
69	в своем	7	4
70	с другой	2	4
71	до конца	6	4
72	но это	3	4
73	вот как	2	4
74	их в	3	4
75	же и	3	4
76	но он	2	4
77	во время	8	4
78	так как	4	4
79	то есть	18	4
80	с его	3	4
81	в них	9	4
82	как его	2	4
83	в своей	6	4
84	том же	2	4
85	и до	8	4
86	во всех	6	4
87	в отличие	3	4
88	там где	3	4
89	между ними	3	4
90	мы не	2	4
91	как раз	5	4
92	только в	3	4
93	далеко не	2	4
94	и это	2	4
95	отличие от	3	4
96	не менее	2	3
97	это не	2	3
98	есть и	2	3
99	или иной	2	3
100	он был	3	3
101	в последнем	2	3
102	кроме того	3	3
103	и следовательно	3	3
104	той или	2	3
105	в виду	7	3
106	со всею	3	3
107	здесь нет	2	3
108	уже говорили	3	3
109	он воспринимает	2	3
110	в их	4	3
111	и даже	4	3
112	он и	7	3
113	и здесь	4	3
114	во всем	3	3
115	он с	2	3
116	между тем	3	3
117	если бы	3	3
118	в приведенном	3	3
119	и к	3	3
120	в романе	15	3
121	даны в	2	3
122	того же	2	3
123	здесь в	4	3
124	со всеми	5	3
125	мы уже	13	3
126	даже в	4	3
127	что и	3	3
128	все же	2	3
129	так и	3	3
130	только на	4	3
131	также и	4	3
132	и для	5	3
133	той же	8	3
134	можно было	3	3
135	тем что	3	3
136	и ее	2	3
137	в эту	4	3
138	уже в	2	2
139	не был	2	2
140	из этих	2	2
141	в конце	3	2
142	мы чувствуем	3	2
143	для понимания	3	2
144	его к	2	2
145	ни в	4	2
146	и как	3	2
147	своей жизни	2	2
148	но все	3	2
149	этого нельзя	3	2
150	его романе	2	2
151	времени и	2	2
152	например в	2	2
153	и очень	2	2
154	и др	7	2
155	и мысли	3	2
156	в целом	2	2
157	отношение к	8	2
158	в форме	2	2
159	для этого	3	2
160	здесь мы	2	2
161	особенно в	4	2
162	в своих	5	2
163	сказать что	3	2
164	и так	2	2
165	и еще	2	2
166	из них	4	2
167	как он	2	2
168	тона и	2	2
169	с этим	2	2
170	что было	2	2
171	быть в	2	2
172	я готов	2	2
173	и вы	4	2
174	об этом	3	2
175	но конечно	2	2
176	в первой	2	2
177	у нас	4	2
178	одна из	3	2
179	конечно не	2	2
180	он говорит	6	2
181	и о	4	2
182	этого слова	2	2
183	дело в	2	2
184	теперь он	2	2
185	как в	3	2
186	это вовсе	2	2
187	всем этим	2	2
188	еще более	4	2
189	и они	2	2
190	том что	4	2
191	должны быть	2	2
192	тем же	2	2
193	хотя бы	2	2
194	тонах и	2	2
195	и самое	3	2
