N	2gram	Losev_Prob_4	Psycholo
1	то что	15	44
2	и в	20	33
3	в этом	9	28
4	как бы	4	25
5	и что	2	25
6	все время	2	24
7	потому что	15	24
8	для того	3	23
9	может быть	9	22
10	том что	12	22
11	того чтобы	2	22
12	что в	3	21
13	в том	20	21
14	о том	5	20
15	что он	8	20
16	только что	2	15
17	как это	3	14
18	что это	2	13
19	таким образом	8	13
20	и не	28	13
21	так же	5	13
22	сказать что	7	13
23	то есть	27	13
24	все это	9	13
25	к тому	3	12
26	в самом	2	12
27	и все	8	12
28	так как	5	12
29	было бы	14	12
30	если мы	5	12
31	самом деле	3	12
32	он не	2	11
33	говорит что	2	10
34	что она	4	10
35	не может	5	10
36	в его	3	10
37	если бы	8	10
38	в этой	4	9
39	и если	5	9
40	по себе	11	9
41	как раз	4	9
42	то же	7	9
43	в конце	2	8
44	для этого	2	8
45	совершенно ясно	2	8
46	в каком	6	8
47	вместе с	5	8
48	как будто	11	8
49	в своем	3	7
50	для нас	6	7
51	так что	6	7
52	в нем	5	7
53	и только	4	7
54	не только	24	7
55	перед нами	13	6
56	это не	7	6
57	в самой	4	6
58	что они	2	6
59	в ней	7	6
60	и т	4	6
61	все эти	16	6
62	точки зрения	14	6
63	что мы	3	6
64	же самое	6	6
65	когда мы	5	6
66	мы должны	3	6
67	никак не	4	6
68	на самом	5	6
69	а не	7	6
70	в себе	12	6
71	казалось бы	3	5
72	в какой	4	5
73	и как	3	5
74	мы не	7	5
75	и на	3	5
76	вовсе не	21	5
77	и совершенно	2	5
78	с ним	4	5
79	мы можем	3	5
80	ясно что	7	5
81	с этим	4	5
82	это и	4	5
83	как и	6	5
84	и может	2	5
85	и его	10	5
86	все же	2	5
87	заключается в	2	5
88	и это	2	5
89	из этого	3	5
90	и есть	4	4
91	в частности	2	4
92	том чтобы	2	4
93	совершенно не	3	4
94	из них	3	4
95	жизни и	5	4
96	а в	4	4
97	не просто	16	4
98	либо в	2	4
99	при помощи	10	4
100	с тем	4	4
101	в жизни	3	4
102	об этом	6	4
103	у нас	14	4
104	никто не	2	4
105	и о	5	4
106	говорит о	2	4
107	себя в	2	4
108	не будет	2	4
109	в своей	4	4
110	как мы	3	4
111	что не	4	4
112	с точки	11	4
113	в таком	6	4
114	можно было	4	4
115	жизнь и	4	4
116	только в	23	4
117	мы совершенно	2	4
118	в которой	2	4
119	не то	2	4
120	это было	2	4
121	и вдруг	2	3
122	сама по	2	3
123	в самых	3	3
124	точно так	3	3
125	и говорит	2	3
126	что именно	2	3
127	ни в	17	3
128	что его	4	3
129	тому же	2	3
130	тот же	2	3
131	в пределах	2	3
132	но если	6	3
133	всяком случае	4	3
134	то это	3	3
135	с ее	2	3
136	но и	14	3
137	конечно не	3	3
138	не было	3	3
139	здесь мы	3	3
140	никакой возможности	2	3
141	в то	4	3
142	во все	2	3
143	его в	2	3
144	нет ни	4	3
145	том как	2	3
146	всех этих	6	3
147	в одном	4	3
148	говорить о	2	3
149	но не	5	3
150	указывает на	4	3
151	здесь в	5	3
152	и этот	3	3
153	сами по	2	3
154	что и	3	3
155	так и	10	3
156	как в	5	3
157	да и	5	3
158	дело с	2	3
159	тем самым	4	3
160	из которых	3	3
161	и он	2	3
162	и для	4	3
163	во всяком	8	3
164	тем что	3	3
165	мы все	3	3
166	в виде	22	3
167	далеко не	2	3
168	в той	8	3
169	уже в	4	2
170	бы и	3	2
171	столь же	2	2
172	с другой	7	2
173	и от	6	2
174	была бы	2	2
175	на все	2	2
176	прежде всего	11	2
177	без всякого	4	2
178	но все	3	2
179	нет никакой	4	2
180	времени и	4	2
181	или вернее	2	2
182	и другое	3	2
183	при этом	6	2
184	себе и	3	2
185	и является	3	2
186	в виду	6	2
187	в котором	2	2
188	не является	10	2
189	нам кажется	2	2
190	не хотел	2	2
191	все они	3	2
192	другой стороны	6	2
193	действия и	2	2
194	т д	3	2
195	свидетельствуют о	2	2
196	именно в	7	2
197	к другой	2	2
198	и наконец	4	2
199	не имеет	4	2
200	есть только	2	2
201	время как	2	2
202	в результате	8	2
203	и с	7	2
204	во всем	2	2
205	также и	13	2
206	не в	13	2
207	не понимает	2	2
208	в художественном	4	2
209	мы сейчас	3	2
210	и потому	7	2
211	мы читаем	2	2
212	мы имеем	6	2
213	но в	8	2
214	сам по	6	2
215	с его	2	2
216	только не	4	2
217	в них	5	2
218	что всякий	3	2
219	если он	2	2
220	и к	3	2
221	о которых	2	2
222	в ее	5	2
223	меньше всего	3	2
224	можно сказать	5	2
225	в это	2	2
226	кажется что	2	2
227	во всех	4	2
228	и когда	2	2
229	однако не	4	2
230	то время	2	2
231	какой мере	4	2
232	хотя бы	7	2
233	однако мы	2	2
234	понять как	2	2
235	почти всегда	2	2
236	и то	2	2
237	ни на	3	2
238	и ее	4	2
239	связи с	3	2
240	так чтобы	2	2
241	едва ли	10	2
