N	2gram	Propp_Morf_1	Myshleni
1	в том	6	42
2	том что	4	35
3	таким образом	21	25
4	точки зрения	2	24
5	в этом	14	24
6	в качестве	5	21
7	и в	13	20
8	что в	8	19
9	то же	7	16
10	то что	8	15
11	не только	4	15
12	что они	2	14
13	как мы	6	13
14	с другой	8	12
15	потому что	3	12
16	может быть	52	12
17	в целом	3	11
18	так же	3	11
19	мы должны	3	11
20	с точки	2	11
21	того что	3	10
22	так как	16	10
23	мы видим	13	10
24	если мы	5	10
25	только в	2	10
26	и другие	6	9
27	и как	5	9
28	но и	4	9
29	другой стороны	4	9
30	между тем	5	9
31	как это	3	9
32	как и	3	9
33	что и	7	9
34	и не	12	8
35	и тем	2	8
36	и что	2	8
37	в результате	7	8
38	было бы	3	8
39	в собственном	3	7
40	как бы	3	7
41	что мы	2	7
42	собственном смысле	3	7
43	самом деле	4	7
44	а не	11	7
45	того чтобы	3	7
46	тем что	4	7
47	могут быть	16	7
48	к тому	4	6
49	не может	14	6
50	сказать что	2	6
51	его в	2	6
52	с тем	2	6
53	что он	4	6
54	можно было	2	6
55	перед нами	10	5
56	в частности	2	5
57	целый ряд	3	5
58	это не	6	5
59	раньше чем	3	5
60	на то	2	5
61	что такое	3	5
62	на друга	2	5
63	это положение	2	5
64	друг на	2	5
65	не является	3	5
66	если бы	2	5
67	между собой	4	5
68	с этим	11	5
69	и к	4	5
70	все же	7	5
71	о том	2	5
72	так и	6	5
73	как в	3	5
74	для того	2	5
75	все эти	2	5
76	мы можем	2	5
77	в нашем	3	4
78	тому что	4	4
79	как уже	2	4
80	в ходе	4	4
81	для нас	2	4
82	из них	3	4
83	друг друга	3	4
84	состоит в	2	4
85	к этому	3	4
86	на первый	3	4
87	по своему	2	4
88	в сущности	3	4
89	только что	2	4
90	нами в	2	4
91	не в	3	4
92	и для	2	4
93	во всяком	2	4
94	на этом	3	3
95	не могут	4	3
96	не менее	5	3
97	обоих случаях	2	3
98	в этих	13	3
99	в какой	3	3
100	в этой	2	3
101	от того	3	3
102	всяком случае	2	3
103	один из	5	3
104	составные части	7	3
105	со стороны	3	3
106	в связи	9	3
107	на его	4	3
108	с логической	2	3
109	оно может	3	3
110	но в	2	3
111	в другую	2	3
112	этом случае	8	3
113	по существу	12	3
114	иначе чем	2	3
115	представляет собой	17	3
116	но не	4	3
117	наряду с	5	3
118	в один	3	3
119	следующим образом	3	3
120	в обоих	2	3
121	приводит к	2	3
122	в виде	2	3
123	связи с	10	3
124	что эта	2	3
125	в которой	3	3
126	связана с	3	2
127	в основу	2	2
128	мы будем	3	2
129	прежде всего	9	2
130	в настоящее	3	2
131	очень часто	6	2
132	самых различных	2	2
133	совершается в	2	2
134	они даны	2	2
135	случае не	3	2
136	вслед за	5	2
137	но для	2	2
138	в ином	2	2
139	к нему	3	2
140	от других	2	2
141	то как	2	2
142	не по	2	2
143	относятся к	2	2
144	здесь мы	3	2
145	не имеет	2	2
146	а в	7	2
147	также и	4	2
148	мы постараемся	2	2
149	и здесь	5	2
150	но как	2	2
151	в начале	3	2
152	самого себя	2	2
153	настоящее время	3	2
154	что эти	2	2
155	мы имеем	9	2
156	ясно что	5	2
157	видим что	10	2
158	а затем	4	2
159	что при	2	2
160	животных и	3	2
161	еще не	3	2
162	далеко не	5	2
163	в свое	2	2
164	а также	4	2
165	момент когда	2	2
166	входит в	2	2
167	тогда как	2	2
168	того как	2	2
169	а с	2	2
170	затем уже	2	2
171	тому как	5	2
172	подобно тому	6	2
173	в каком	2	2
174	ту же	2	2
175	на котором	3	2
176	здесь не	2	2
177	из ряда	3	2
178	значит что	3	2
