N	3gram	Vinokur_St_1	Psycholo
1	для того чтобы	10	19
2	на то что	4	16
3	в том что	17	14
4	с одной стороны	2	12
5	о том что	11	6
6	заключается в том	3	6
7	в самом деле	5	5
8	до сих пор	7	5
9	с другой стороны	6	5
10	по этому поводу	2	4
11	в этом отношении	7	3
12	одним и тем	2	3
13	и тем же	2	3
14	и то что	2	3
15	и т д	21	3
16	можно было бы	8	3
17	и т п	9	3
18	в данном случае	6	2
19	если бы мы	2	2
20	и в самом	3	2
21	так же как	3	2
22	может быть и	2	2
23	то что в	2	2
24	с точки зрения	8	2
25	не может быть	5	2
26	вопрос о том	2	2
27	не только в	4	2
28	на самом деле	6	2
29	во всех трех	2	2
30	в этом случае	2	2
31	он должен был	2	2
