N	2gram	Medvedev_S_1	Myslijsy
1	и в	3	39
2	может быть	2	27
3	в том	5	26
4	только в	2	25
5	что в	2	22
6	не только	3	21
7	но и	2	20
8	том что	2	16
9	не в	3	15
10	в этом	5	15
11	отношению к	2	13
12	по отношению	2	13
13	таким образом	2	13
14	было бы	2	12
15	то что	2	10
16	и что	2	10
17	для нас	3	9
18	еще не	2	6
19	как бы	2	6
20	то же	2	6
21	в его	3	5
22	в смысле	2	4
23	очевидно что	2	3
24	или даже	2	3
25	должна быть	2	3
26	нужно было	2	3
27	к которому	2	3
28	она может	2	3
29	за пределы	2	2
30	тем более	2	2
31	и только	3	2
32	как будто	2	2
