N	3gram	Tiupa_Narr_1	TeoriaLi
1	по отношению к	6	8
2	в отличие от	5	7
3	то же время	3	6
4	в то же	3	6
5	в том что	8	6
6	так и не	2	5
7	в данном случае	4	5
8	присутствия в мире	2	5
9	не сводится к	2	5
10	того или иного	2	5
11	состоит в том	3	4
12	более или менее	2	4
13	в конечном счете	2	4
14	можно сказать что	4	3
15	той или иной	4	3
16	в свою очередь	3	3
17	с другой стороны	4	3
18	тем не менее	3	3
19	ни в мире	3	3
20	значении этого слова	2	2
21	речевая маска такого	2	2
22	и в форме	2	2
23	индивидуального речевого замысла	2	2
24	мы имеем дело	2	2
25	и тем самым	3	2
26	тогда как в	2	2
27	вокруг я героя	2	2
28	с точки зрения	2	2
29	не может быть	5	2
30	с одной стороны	7	2
31	так или иначе	2	2
