N	3gram	Potebnia_M_4	KulturaY
1	и т п	4	24
2	и т д	3	14
3	в том что	7	10
4	с точки зрения	3	8
5	для того чтобы	4	8
6	по крайней мере	5	6
7	только потому что	2	6
8	во всяком случае	3	5
9	само по себе	5	5
10	тем не менее	4	5
11	не может быть	5	4
12	в то же	3	3
13	то же время	3	3
14	можно сказать что	4	2
15	на то что	4	2
16	хотя бы и	2	2
17	и в том	2	2
18	вместе с тем	3	2
19	в том случае	3	2
20	в этом слове	4	2
21	на самом деле	3	2
22	на этот вопрос	2	2
23	в этом случае	5	2
24	только в том	2	2
25	так или иначе	2	2
