N	2gram	Losev_Prob_5	TeoriaLi
1	не только	18	18
2	в качестве	4	17
3	и не	12	16
4	а в	6	14
5	в частности	4	13
6	и в	30	13
7	может быть	7	12
8	так и	7	12
9	то есть	21	12
10	при этом	4	11
11	в этом	17	11
12	в том	12	11
13	но не	7	10
14	а не	5	10
15	и его	6	10
16	в его	12	9
17	то же	2	9
18	что в	5	8
19	такого рода	2	8
20	отношению к	2	8
21	но и	13	8
22	по отношению	2	8
23	в себе	4	7
24	том что	17	7
25	в данном	2	7
26	точки зрения	10	7
27	по своей	2	7
28	в то	4	7
29	только в	9	7
30	еще не	3	6
31	в первой	2	6
32	как бы	6	6
33	в русской	3	6
34	но в	9	6
35	однако в	3	5
36	в своем	11	5
37	а также	3	5
38	в ее	3	5
39	как и	7	5
40	не в	7	5
41	в самом	5	5
42	в нем	6	5
43	данном случае	2	5
44	как в	2	5
45	он не	3	5
46	уже не	6	5
47	с другой	6	5
48	между тем	2	5
49	мы имеем	2	5
50	не менее	5	4
51	в свою	2	4
52	в стихотворении	14	4
53	можно сказать	6	4
54	ни в	4	4
55	в своей	22	4
56	то что	18	4
57	отношение к	2	4
58	не может	5	4
59	сказать что	9	4
60	хотя и	8	4
61	но он	5	4
62	мира и	2	4
63	по мысли	2	3
64	художественного творчества	8	3
65	никогда не	7	3
66	в отношении	3	3
67	в противоположность	3	3
68	этом смысле	3	3
69	прежде всего	6	3
70	и к	4	3
71	тем не	5	3
72	того что	3	3
73	и сам	4	3
74	не все	2	3
75	другой стороны	6	3
76	как раз	5	3
77	таким образом	13	3
78	а с	4	3
79	именно в	3	3
80	мира в	3	3
81	в другом	3	3
82	и что	6	3
83	или в	4	3
84	и то	5	3
85	потому что	13	3
86	нового времени	4	3
87	в этой	10	3
88	его в	6	3
89	все эти	2	3
90	я не	2	2
91	была бы	2	2
92	в конце	8	2
93	жизни в	4	2
94	того же	4	2
95	это не	2	2
96	о себе	2	2
97	вовсе не	8	2
98	или иных	2	2
99	по себе	2	2
100	что он	7	2
101	к тому	2	2
102	об этом	4	2
103	и как	6	2
104	что они	3	2
105	одной стороны	3	2
106	в глаза	2	2
107	во втором	2	2
108	о своем	2	2
109	вслед за	2	2
110	в роли	2	2
111	в виду	3	2
112	и тем	3	2
113	к нему	3	2
114	вместе с	7	2
115	русской литературе	3	2
116	а именно	12	2
117	человеческой жизни	2	2
118	здесь не	7	2
119	и для	6	2
120	с одной	3	2
121	в году	5	2
122	тех или	2	2
123	и о	5	2
124	с точки	8	2
125	и даже	14	2
126	и притом	5	2
127	так же	5	2
128	у него	11	2
129	как будто	3	2
130	о том	12	2
131	в чем	2	2
132	в которой	5	2
133	в области	2	2
