N	2gram	Bakhtin_Pr_5	VerxiiNi
1	и в	35	26
2	таким образом	7	22
3	с тем	3	18
4	вместе с	2	15
5	в этом	14	15
6	точки зрения	7	13
7	как бы	31	12
8	в том	5	11
9	может быть	14	10
10	не только	10	10
11	и с	12	10
12	что в	6	9
13	но и	14	9
14	так как	4	9
15	с другой	4	8
16	но не	6	8
17	в общем	3	8
18	и не	27	8
19	и у	4	8
20	том что	3	7
21	но все	4	7
22	из них	3	7
23	к нему	13	7
24	то что	10	7
25	а с	3	7
26	потому что	8	7
27	но в	19	7
28	в конце	5	6
29	к тому	6	6
30	всяком случае	4	6
31	что и	3	6
32	все же	8	6
33	так и	8	6
34	все это	14	6
35	в отношении	9	6
36	все эти	3	6
37	с точки	2	6
38	во всяком	4	6
39	в себе	5	6
40	мы должны	3	6
41	и т.д	3	6
42	о том	2	6
43	и к	12	5
44	тому же	3	5
45	отношение к	6	5
46	одной из	2	5
47	друг с	4	5
48	в его	21	5
49	никогда не	4	5
50	с другом	4	5
51	так же	7	5
52	лишь в	7	5
53	а не	4	5
54	и для	8	5
55	в мире	4	5
56	в этих	2	4
57	и от	3	4
58	что все	2	4
59	что он	24	4
60	в нем	16	4
61	в самом	6	4
62	в котором	3	4
63	не может	18	4
64	а в	7	4
65	то же	15	4
66	что оно	2	4
67	и что	6	4
68	на этот	2	4
69	и по	2	4
70	с другими	2	4
71	в которых	2	4
72	во время	5	4
73	в виде	7	4
74	он не	13	4
75	в то	11	4
76	только в	6	4
77	то есть	16	4
78	не менее	2	3
79	за собой	3	3
80	что это	4	3
81	хотя бы	2	3
82	уже с	2	3
83	для него	14	3
84	с самого	8	3
85	так что	5	3
86	и как	2	3
87	в своем	2	3
88	к концу	3	3
89	отношению к	7	3
90	когда он	3	3
91	при этом	2	3
92	уже не	3	3
93	того что	3	3
94	и даже	5	3
95	в которой	2	3
96	с этой	2	3
97	а так	3	3
98	конце концов	3	3
99	на нее	2	3
100	в одном	6	3
101	уже в	3	2
102	самого начала	8	2
103	с его	7	2
104	ни было	3	2
105	он в	4	2
106	в них	4	2
107	не как	3	2
108	и мир	2	2
109	прежде всего	12	2
110	надо было	2	2
111	или иной	4	2
112	то ни	3	2
113	мы видели	2	2
114	в начале	3	2
115	должна была	2	2
116	по своему	4	2
117	же время	10	2
118	ли это	2	2
119	тот же	4	2
120	еще не	7	2
121	со всеми	3	2
122	конечно не	2	2
123	той или	4	2
124	иной характер	2	2
125	бы то	3	2
126	благодаря этому	2	2
127	во всех	3	2
128	к другу	3	2
129	быть и	2	2
130	приводит к	2	2
131	только что	3	2
132	для этого	2	2
133	особенно в	2	2
134	те же	2	2
135	наконец в	4	2
136	друг на	2	2
137	и на	6	2
138	связан с	2	2
139	сказать что	3	2
140	не в	10	2
141	мы можем	2	2
142	и наконец	7	2
143	на друга	2	2
144	по своей	2	2
145	и все	15	2
146	так чтобы	4	2
147	и это	5	2
148	из этого	2	2
149	этими двумя	2	2
150	в эту	4	2
151	между тем	4	2
152	в виду	3	2
