N	2gram	Nazirov_Tv_1	Myslijsy
1	то есть	12	34
2	потому что	5	33
3	то что	8	29
4	может быть	5	26
5	таким образом	5	24
6	в том	7	23
7	и в	21	23
8	в этом	6	23
9	и не	7	18
10	что в	12	17
11	при этом	7	15
12	только в	5	15
13	как и	12	14
14	в себе	2	14
15	то же	13	14
16	того что	3	14
17	так как	3	14
18	том что	11	12
19	а не	5	12
20	что я	3	11
21	но и	3	11
22	не в	2	11
23	не может	4	11
24	не только	7	10
25	в своем	4	8
26	сказать что	2	8
27	о том	6	8
28	но в	7	8
29	когда я	2	7
30	это не	4	7
31	в нем	3	7
32	что и	2	7
33	вовсе не	5	7
34	и т	3	7
35	могут быть	2	7
36	как в	8	7
37	мысли и	4	7
38	мысль о	2	6
39	вместе с	2	6
40	что не	2	6
41	известно что	2	6
42	в которой	3	6
43	так и	2	6
44	уже в	3	5
45	по крайней	2	5
46	так что	2	5
47	для него	6	5
48	хотя и	3	5
49	в его	13	5
50	как бы	17	5
51	крайней мере	2	5
52	все это	10	5
53	не менее	6	5
54	а в	6	5
55	с ним	3	5
56	так сказать	2	5
57	не то	2	5
58	и та	2	4
59	и все	6	4
60	что все	3	4
61	быть может	2	4
62	что он	6	4
63	есть не	2	4
64	тем не	2	4
65	можно сказать	2	4
66	в котором	6	4
67	и тем	2	4
68	только на	2	4
69	тем самым	7	4
70	хотя бы	5	4
71	для человека	3	4
72	так же	3	4
73	что как	2	4
74	когда человек	2	4
75	в данном	2	4
76	т п	2	4
77	в то	15	4
78	и с	3	4
79	при помощи	2	3
80	все более	2	3
81	никогда не	3	3
82	в этих	2	3
83	человека и	4	3
84	там же	3	3
85	что человек	3	3
86	именно в	2	3
87	но это	5	3
88	не будет	2	3
89	же время	12	3
90	было в	2	3
91	к тому	2	3
92	на его	3	3
93	в самом	3	3
94	в виду	2	3
95	в каждом	3	3
96	только что	2	3
97	до этого	2	3
98	той же	3	3
99	и других	3	3
100	на самом	3	3
101	уже не	3	3
102	самом деле	2	3
103	и по	3	3
104	ведет к	2	3
105	и на	7	3
106	то в	2	3
107	ту же	3	3
108	в первом	2	3
109	не существует	3	2
110	от мысли	2	2
111	я не	3	2
112	самого начала	3	2
113	а что	2	2
114	в двух	2	2
115	из себя	2	2
116	и как	4	2
117	с другой	3	2
118	точно так	2	2
119	а как	2	2
120	об этом	2	2
121	в свою	7	2
122	не нужно	2	2
123	тот же	2	2
124	не могу	2	2
125	с которым	2	2
126	в ней	2	2
127	он не	8	2
128	и когда	2	2
129	даже в	3	2
130	один из	4	2
131	в мире	4	2
132	на том	2	2
133	данном случае	2	2
134	что она	2	2
135	отношений между	2	2
136	стремится к	3	2
137	еще более	2	2
138	дело не	3	2
139	что его	2	2
140	человека в	6	2
141	здесь мы	2	2
142	и у	2	2
143	и даже	3	2
144	и притом	2	2
145	не так	3	2
146	и его	6	2
147	в своих	5	2
148	в виде	3	2
149	к ней	2	2
150	влияние на	2	2
151	в ту	3	2
152	же с	2	2
153	на деле	2	2
