N	2gram	Losev_Vlad_3	UchenyiS
1	и в	40	14
2	а не	8	10
3	не только	25	10
4	и не	25	8
5	прежде всего	10	8
6	то что	28	7
7	в этом	16	7
8	не может	14	7
9	может быть	8	6
10	хотя бы	6	5
11	и только	3	5
12	то же	4	5
13	но и	18	4
14	в этой	8	4
15	в их	2	4
16	в россии	3	4
17	с другой	5	4
18	только к	2	3
19	но в	4	3
20	как и	7	3
21	и то	9	3
22	все же	4	3
23	в своей	9	3
24	бы то	3	3
25	то ни	3	3
26	же время	2	3
27	другой стороны	2	3
28	для него	8	3
29	это не	3	3
30	в то	7	3
31	не как	2	3
32	было бы	4	3
33	не о	2	3
34	у нас	5	3
35	том что	18	2
36	но не	4	2
37	в том	18	2
38	не все	3	2
39	является в	2	2
40	по существу	4	2
41	мы не	2	2
42	с его	2	2
43	не есть	10	2
44	не в	3	2
45	и для	3	2
46	но это	6	2
47	мы и	2	2
48	бы и	4	2
49	должна быть	2	2
50	этом смысле	3	2
51	не столько	3	2
52	если бы	3	2
53	только в	13	2
54	и с	9	2
55	но даже	4	2
56	тем что	5	2
57	даже и	12	2
58	что он	5	2
59	все они	2	2
60	и у	3	2
61	в себе	9	2
62	как раз	10	2
63	что мы	2	2
64	же самое	3	2
65	в конце	12	2
66	что все	7	2
67	если не	6	2
68	этом отношении	2	2
69	в самом	4	2
70	в сторону	2	2
71	не могут	2	2
72	сколько угодно	2	2
73	нам представляется	2	2
74	по себе	6	2
75	а о	2	2
76	сводится к	3	2
77	ничего не	5	2
78	что она	2	2
79	что и	7	2
80	в его	14	2
81	на первый	2	2
82	конце концов	5	2
83	таким образом	11	2
84	же не	2	2
85	это было	3	2
