N	2gram	Potebnia_M_3	KulturaY
1	и т	5	33
2	в том	32	30
3	и в	30	24
4	потому что	46	23
5	том что	18	21
6	т п	2	18
7	что в	17	17
8	того чтобы	3	17
9	для того	4	16
10	было бы	9	15
11	т д	3	14
12	в этом	10	14
13	точки зрения	2	14
14	может быть	28	13
15	языка в	5	12
16	все же	2	12
17	таким образом	14	12
18	в его	4	12
19	и не	15	12
20	не в	15	11
21	только в	21	11
22	вовсе не	7	10
23	в силу	3	10
24	в самом	8	10
25	не только	21	10
26	если бы	12	9
27	то что	18	9
28	прежде всего	3	9
29	отношению к	5	9
30	самом деле	2	9
31	того что	18	9
32	о том	2	9
33	так как	13	9
34	а только	3	8
35	том чтобы	2	8
36	языка и	2	8
37	по отношению	5	8
38	в языке	7	8
39	то же	23	8
40	уже не	6	8
41	а не	15	8
42	тем что	7	8
43	не менее	5	7
44	в них	5	7
45	с другой	7	7
46	связи с	2	7
47	как бы	3	7
48	вместе с	12	7
49	что язык	2	7
50	не может	6	7
51	бы в	2	7
52	в области	2	7
53	так и	11	7
54	в какой	2	6
55	тогда когда	9	6
56	именно в	3	6
57	что он	6	6
58	при этом	3	6
59	что такое	2	6
60	только потому	3	6
61	в ней	8	6
62	язык есть	2	6
63	но и	19	6
64	что же	2	6
65	все это	4	6
66	другой стороны	4	6
67	в которых	2	6
68	в которой	3	6
69	с тем	7	5
70	что это	4	5
71	по крайней	5	5
72	к тому	7	5
73	крайней мере	5	5
74	но не	7	5
75	еще не	5	5
76	что не	8	5
77	например в	6	5
78	и что	10	5
79	слово это	2	5
80	целый ряд	2	5
81	этом отношении	2	5
82	а потому	6	5
83	а в	12	5
84	и его	4	5
85	между тем	9	5
86	так сказать	2	5
87	с ним	6	5
88	и с	2	5
89	и потому	4	4
90	на то	2	4
91	в нем	9	4
92	же в	2	4
93	что они	2	4
94	есть в	3	4
95	из них	6	4
96	это и	2	4
97	один из	4	4
98	что и	13	4
99	не есть	17	4
100	тем не	3	4
101	в целом	3	4
102	сих пор	3	4
103	со стороны	3	4
104	до сих	3	4
105	как в	10	4
106	и тогда	3	4
107	с этим	6	4
108	того как	4	4
109	тем самым	7	4
110	так что	7	4
111	так же	3	4
112	и на	3	4
113	из этих	9	4
114	слова и	5	4
115	там где	3	4
116	значение слова	5	3
117	уже в	5	3
118	как на	5	3
119	если не	4	3
120	смысле этого	7	3
121	была бы	4	3
122	его к	2	3
123	то это	6	3
124	можно сказать	3	3
125	в первом	3	3
126	только тогда	9	3
127	в этой	2	3
128	свою очередь	3	3
129	очевидно что	5	3
130	что слово	7	3
131	со словом	4	3
132	в свою	3	3
133	мере того	3	3
134	и может	3	3
135	и если	2	3
136	это слово	4	3
137	этого слова	11	3
138	в котором	4	3
139	по мере	4	3
140	даже в	2	3
141	оно не	4	3
142	на его	2	3
143	что она	3	3
144	или менее	3	3
145	тому что	3	3
146	в своем	5	3
147	а с	2	3
148	не было	4	3
149	что оно	11	3
150	в их	2	3
151	более или	3	3
152	в системе	2	3
153	и даже	2	3
154	в таком	3	3
155	несмотря на	2	3
156	должно быть	5	3
157	той же	2	3
158	и то	8	3
159	в речи	2	3
160	в себе	16	3
161	в одном	2	3
162	том как	3	3
163	не все	4	2
164	до того	4	2
165	и есть	3	2
166	с этой	2	2
167	и все	3	2
168	этого не	3	2
169	что все	3	2
170	в каждом	3	2
171	так или	2	2
172	не всегда	2	2
173	не могут	5	2
174	по себе	16	2
175	большей части	2	2
176	в собственном	2	2
177	в смысле	4	2
178	слова но	2	2
179	к своему	2	2
180	в то	10	2
181	как о	2	2
182	видеть что	2	2
183	для нас	20	2
184	как и	10	2
185	и как	5	2
186	но все	2	2
187	и при	4	2
188	в последнем	3	2
189	же время	5	2
190	что с	2	2
191	когда в	2	2
192	внутренняя форма	15	2
193	уже на	2	2
194	и мы	2	2
195	если б	5	2
196	в своей	2	2
197	между собою	6	2
198	том же	2	2
199	никак не	3	2
200	же и	3	2
201	в свое	2	2
202	относится к	4	2
203	тем более	4	2
204	был бы	2	2
205	и тем	5	2
206	ни в	2	2
207	не говоря	3	2
208	так например	2	2
209	то и	6	2
210	он не	4	2
211	в разных	2	2
212	все равно	4	2
213	то оно	3	2
214	в слове	32	2
215	мысли а	4	2
216	не имеет	6	2
217	когда мы	2	2
218	слов в	2	2
219	или в	3	2
220	не столько	2	2
221	от этого	2	2
222	одно из	5	2
223	например не	2	2
224	в каком	5	2
225	что я	5	2
226	здесь только	3	2
227	слово с	2	2
228	здесь как	3	2
229	тогда как	2	2
230	есть средство	3	2
231	это было	3	2
