N	2gram	Berdyaev_N_1	Myshleni
1	и в	16	25
2	в том	8	23
3	том что	2	20
4	что в	9	17
5	так же	2	17
6	в основе	3	16
7	с тем	3	16
8	как и	7	15
9	то что	4	15
10	в этом	7	14
11	вместе с	2	14
12	может быть	7	13
13	по своему	4	11
14	и не	11	10
15	и что	2	10
16	как в	3	9
17	мы не	2	9
18	ни в	6	9
19	к образованию	2	8
20	того чтобы	2	8
21	все эти	2	7
22	как это	2	7
23	не менее	4	6
24	с другой	3	6
25	не в	6	6
26	высшей степени	6	6
27	же как	2	6
28	не может	16	6
29	и на	2	6
30	потому что	4	6
31	в высшей	6	6
32	но не	2	6
33	не только	5	6
34	все это	5	6
35	можно было	2	6
36	так и	2	5
37	но это	6	5
38	одной стороны	2	5
39	что она	2	5
40	с одной	2	5
41	с ее	5	5
42	человека и	3	5
43	и к	5	5
44	о том	4	5
45	могут быть	2	5
46	никогда не	6	4
47	прежде всего	4	4
48	в смысле	2	4
49	к тому	3	4
50	время как	2	4
51	но и	3	4
52	а в	2	4
53	сказать что	3	4
54	в то	2	4
55	с этим	2	4
56	и все	4	4
57	еще не	3	4
58	он не	8	4
59	и это	2	4
60	значит что	4	4
61	связаны с	2	3
62	который в	2	3
63	другой стороны	2	3
64	в жизни	5	3
65	наряду с	3	3
66	не есть	3	3
67	не могли	2	3
68	место в	2	2
69	все время	2	2
70	самый процесс	2	2
71	все они	2	2
72	и от	2	2
73	смысле слова	3	2
74	такого рода	2	2
75	в новое	3	2
76	хотя и	2	2
77	эти формы	3	2
78	в нем	5	2
79	для этого	2	2
80	должно быть	4	2
81	с его	6	2
82	к жизни	3	2
83	в них	4	2
84	этом смысле	2	2
85	и заключается	2	2
86	одна из	2	2
87	с их	2	2
88	и потому	4	2
89	не будет	7	2
90	в мире	3	2
91	в своей	3	2
92	уже не	2	2
93	и для	4	2
94	тому как	3	2
95	в себе	2	2
