N	2gram	Propp_Isto_7	slovoVRo
1	и в	24	39
2	может быть	14	37
3	и т	17	35
4	и его	3	33
5	не только	21	24
6	и не	4	22
7	но и	11	21
8	не может	14	20
9	в нем	6	19
10	все это	8	16
11	в этом	12	16
12	так и	5	15
13	а не	8	14
14	как в	12	13
15	во всех	7	12
16	вовсе не	4	10
17	не в	9	9
18	со своим	4	9
19	прежде всего	2	8
20	таким образом	7	8
21	точки зрения	4	8
22	с его	3	7
23	при этом	4	7
24	еще не	8	7
25	как бы	4	7
26	никогда не	4	7
27	в этих	13	7
28	и даже	3	7
29	как мы	3	7
30	с ним	5	7
31	в них	3	6
32	все же	9	6
33	как и	6	6
34	но не	6	6
35	она не	2	6
36	там где	5	6
37	все эти	2	6
38	но в	5	6
39	не могут	2	5
40	с другой	9	5
41	это не	10	5
42	и все	6	5
43	для нас	6	5
44	том что	10	5
45	но все	4	5
46	одной стороны	5	5
47	только в	6	5
48	в том	7	5
49	например в	3	5
50	один из	7	5
51	с одной	5	5
52	уже не	2	5
53	и наконец	3	5
54	от него	3	5
55	героя и	5	5
56	конечно не	2	5
57	не менее	5	4
58	всех этих	6	4
59	и др	2	4
60	но здесь	2	4
61	ни в	2	4
62	одна из	7	4
63	связанные с	2	4
64	в основном	2	4
65	его не	2	4
66	то же	8	4
67	а в	10	4
68	и на	2	4
69	в основе	2	4
70	в то	2	4
71	отношение к	5	4
72	его в	3	4
73	здесь не	2	4
74	во всем	2	4
75	так как	8	4
76	перед нами	2	3
77	и там	2	3
78	что в	13	3
79	не столько	3	3
80	и от	2	3
81	стороны и	2	3
82	что и	8	3
83	но это	3	3
84	связи с	3	3
85	у него	10	3
86	к нему	7	3
87	связано с	3	3
88	в свете	3	3
89	или даже	2	3
90	сказать что	2	3
91	в особенности	2	3
92	в чем	5	3
93	как это	2	3
94	в данном	4	2
95	уже в	3	2
96	и другие	9	2
97	хотя и	3	2
98	и исторически	2	2
99	но он	2	2
100	того как	3	2
101	тогда когда	3	2
102	не всегда	4	2
103	только о	2	2
104	и здесь	12	2
105	что он	21	2
106	без всякого	2	2
107	в дальнейшем	3	2
108	и оно	2	2
109	и нет	2	2
110	мы увидим	6	2
111	этих случаях	16	2
112	мы уже	4	2
113	но оно	2	2
114	к ней	2	2
115	в прямой	2	2
116	не все	3	2
117	сих пор	3	2
118	на его	2	2
119	мы видели	7	2
120	то что	7	2
121	вместе с	7	2
122	на него	2	2
123	в различных	3	2
124	а именно	6	2
125	в их	4	2
126	в форме	2	2
127	кроме того	3	2
128	отличается от	2	2
129	так в	4	2
130	в связи	2	2
131	с этим	2	2
132	т д	16	2
133	но эта	2	2
134	мы не	4	2
135	они не	2	2
136	или в	8	2
137	он не	6	2
138	о том	9	2
139	как он	6	2
140	это испытание	2	2
141	до сих	2	2
