N	2gram	Potebnia_M_3	Tvorches
1	и в	30	20
2	не только	21	13
3	и т	5	13
4	т д	3	11
5	как бы	3	11
6	в его	4	10
7	таким образом	14	10
8	в то	10	10
9	там же	6	9
10	и его	4	9
11	и не	15	9
12	же с	6	9
13	прежде всего	3	8
14	в том	32	8
15	при этом	3	8
16	но и	19	8
17	может быть	28	8
18	в этом	10	8
19	и с	2	8
20	же время	5	7
21	что в	17	7
22	не может	6	7
23	то же	23	7
24	потому что	46	7
25	у него	2	6
26	что он	6	6
27	как и	10	6
28	в целом	3	6
29	в своей	2	6
30	так и	11	6
31	все это	4	6
32	именно в	3	6
33	а не	15	6
34	но это	6	5
35	еще не	5	5
36	но не	7	5
37	например в	6	5
38	все же	2	5
39	и даже	2	5
40	так же	3	5
41	и на	3	5
42	в этой	2	5
43	о том	2	5
44	то есть	34	5
45	об этом	2	4
46	в душе	10	4
47	и от	4	4
48	мы не	9	4
49	показывает что	2	4
50	том что	18	4
51	мы видим	2	4
52	что они	2	4
53	на его	2	4
54	что она	3	4
55	на стороне	2	4
56	как в	10	4
57	если не	4	4
58	тем самым	7	4
59	не в	15	4
60	а в	12	4
61	в чем	3	4
62	и потому	4	4
63	если бы	12	4
64	место в	3	3
65	а с	2	3
66	с этой	2	3
67	человека и	5	3
68	в образе	3	3
69	к этому	3	3
70	с ним	6	3
71	отношению к	5	3
72	быть может	3	3
73	так например	2	3
74	для него	9	3
75	что не	8	3
76	одной из	2	3
77	в самом	8	3
78	и мы	2	3
79	он не	4	3
80	в котором	4	3
81	один из	4	3
82	в нем	9	3
83	то что	18	3
84	и это	4	3
85	вместе с	12	3
86	сих пор	3	3
87	в их	2	3
88	по отношению	5	3
89	тогда как	2	3
90	так как	13	3
91	уже не	6	3
92	в таком	3	3
93	тем что	7	3
94	заставляет нас	2	3
95	в которых	2	3
96	в себе	16	3
97	в начале	3	3
98	его в	3	3
99	между тем	9	3
100	до сих	3	3
101	уже в	5	2
102	зависит от	6	2
103	не менее	5	2
104	и есть	3	2
105	и без	7	2
106	с другой	7	2
107	по крайней	5	2
108	в одном	2	2
109	вовсе не	7	2
110	крайней мере	5	2
111	в ее	2	2
112	в искусстве	3	2
113	так что	7	2
114	что я	5	2
115	как о	2	2
116	между людьми	2	2
117	и если	2	2
118	том же	2	2
119	отказаться от	2	2
120	в свой	2	2
121	на него	3	2
122	и тогда	3	2
123	так в	2	2
124	т п	2	2
125	бы не	4	2
126	не было	4	2
127	самом деле	2	2
128	и что	10	2
129	связь с	3	2
130	и наконец	2	2
131	другой стороны	4	2
132	и по	4	2
133	идеи в	2	2
134	во многом	2	2
135	друг друга	3	2
136	с другими	5	2
137	тут же	2	2
138	не столько	2	2
139	образ и	6	2
140	из них	6	2
141	в виде	2	2
142	могут быть	3	2
143	в которой	3	2
144	говорить о	3	2
145	и вообще	3	2
146	только в	21	2
147	таком случае	2	2
148	так сказать	2	2
149	их в	2	2
