N	2gram	Savitsky_P_1	Tvorches
1	и в	14	20
2	не только	17	13
3	и т	3	13
4	как бы	4	11
5	в его	2	10
6	в то	7	10
7	и не	12	9
8	прежде всего	3	8
9	в том	9	8
10	но и	6	8
11	может быть	5	8
12	в этом	10	8
13	и с	2	8
14	это не	3	7
15	же время	7	7
16	наряду с	3	7
17	что в	4	7
18	не может	4	7
19	то же	9	7
20	потому что	3	7
21	xix века	6	7
22	все это	2	6
23	именно в	2	6
24	а не	2	6
25	в мире	2	5
26	но не	3	5
27	например в	2	5
28	мы не	3	4
29	том что	4	4
30	отнюдь не	2	4
31	хотя и	3	4
32	тем самым	3	4
33	не в	5	4
34	а в	4	4
35	и потому	4	4
36	если бы	4	4
37	но в	9	4
38	быть может	6	3
39	одна из	2	3
40	и мы	2	3
41	в котором	4	3
42	в нем	3	3
43	то что	4	3
44	и это	2	3
45	в которых	5	3
46	в себе	3	3
47	в начале	2	3
48	между тем	3	3
49	не менее	2	2
50	и есть	2	2
51	и без	3	2
52	с другой	5	2
53	а я	5	2
54	в ее	2	2
55	а н	5	2
56	и если	4	2
57	в статье	2	2
58	в частности	2	2
59	в которую	2	2
60	не было	2	2
61	и других	2	2
62	сводится к	3	2
63	в xix	2	2
64	с ними	3	2
65	не столько	2	2
66	из них	2	2
67	в виде	2	2
68	могут быть	3	2
69	говорить о	2	2
70	только в	7	2
71	xix веке	2	2
72	в русской	4	2
73	в россии	3	2
