N	2gram	Vygotskiy__5	Tvorches
1	и в	30	20
2	в романе	2	15
3	не только	16	13
4	и т	7	13
5	никогда не	9	11
6	т д	3	11
7	как бы	19	11
8	в его	4	10
9	таким образом	20	10
10	в то	2	10
11	и его	6	9
12	и не	6	9
13	прежде всего	4	8
14	в том	27	8
15	при этом	8	8
16	но и	6	8
17	может быть	11	8
18	в этом	14	8
19	и с	2	8
20	это не	3	7
21	что в	24	7
22	не может	9	7
23	то же	7	7
24	потому что	23	7
25	у него	3	6
26	в конце	4	6
27	что он	17	6
28	как и	6	6
29	в целом	5	6
30	в своей	4	6
31	так и	3	6
32	все это	2	6
33	именно в	6	6
34	а не	8	6
35	еще не	5	5
36	но не	7	5
37	все же	7	5
38	в трагическом	2	5
39	и даже	2	5
40	так же	13	5
41	и на	3	5
42	в этой	5	5
43	о том	10	5
44	то есть	13	5
45	об этом	3	4
46	в душе	2	4
47	что у	3	4
48	мы не	3	4
49	показывает что	3	4
50	том что	21	4
51	мы видим	8	4
52	что они	5	4
53	на его	3	4
54	что она	6	4
55	когда он	5	4
56	как в	3	4
57	все эти	2	4
58	героя в	3	4
59	не в	8	4
60	а в	4	4
61	и потому	5	4
62	ничего не	2	4
63	если бы	11	4
64	но в	5	4
65	а с	5	3
66	же как	2	3
67	казалось бы	4	3
68	с этой	2	3
69	в одной	2	3
70	к этому	3	3
71	характера и	2	3
72	а затем	2	3
73	одна из	3	3
74	так например	3	3
75	для него	3	3
76	в самом	14	3
77	и мы	16	3
78	он не	3	3
79	в котором	2	3
80	не является	2	3
81	один из	5	3
82	в нем	7	3
83	то что	37	3
84	и это	8	3
85	вместе с	12	3
86	сих пор	5	3
87	в их	3	3
88	по отношению	2	3
89	по мнению	6	3
90	так как	9	3
91	человека в	3	3
92	в таком	3	3
93	этот вопрос	4	3
94	в рассказе	2	3
95	тем что	6	3
96	заставляет нас	3	3
97	в своих	5	3
98	в которых	2	3
99	в себе	5	3
100	до сих	5	3
101	действующих лиц	7	2
102	уже в	6	2
103	все время	20	2
104	и есть	5	2
105	думается что	3	2
106	от этой	2	2
107	давно уже	2	2
108	с другой	9	2
109	влечет за	2	2
110	части романа	2	2
111	в одном	2	2
112	фабулы и	2	2
113	трагедии в	3	2
114	вовсе не	3	2
115	что на	3	2
116	гамлета и	2	2
117	в ее	3	2
118	в искусстве	6	2
119	у нас	4	2
120	так что	3	2
121	и если	6	2
122	в частности	4	2
123	видим в	2	2
124	не могли	4	2
125	по преимуществу	2	2
126	приводит к	2	2
127	так в	3	2
128	к самому	2	2
129	в отличие	2	2
130	т п	3	2
131	ли не	2	2
132	характеров и	2	2
133	сводится к	5	2
134	самом деле	8	2
135	и что	23	2
136	и наконец	3	2
137	на этот	3	2
138	другой стороны	5	2
139	и он	2	2
140	рядом с	5	2
141	в основе	7	2
142	из них	2	2
143	могут быть	8	2
144	говорил что	2	2
145	в которой	3	2
146	и только	3	2
147	только в	5	2
148	действия и	4	2
149	героя и	7	2
150	из этого	2	2
151	едва ли	2	2
152	отличие от	2	2
153	и поэтому	3	2
154	же не	2	2
