N	2gram	Vinokur_Vv_1	TeoriaLi
1	не только	21	18
2	в качестве	7	17
3	тогда как	2	16
4	и не	13	16
5	а в	5	14
6	в частности	3	13
7	и в	27	13
8	состоит в	2	13
9	может быть	24	12
10	представляет собой	12	11
11	при этом	3	11
12	в этом	34	11
13	в том	31	11
14	но не	7	10
15	в тексте	4	10
16	а не	3	10
17	и его	5	10
18	в его	10	9
19	то же	8	9
20	что в	11	8
21	своего рода	3	8
22	такого рода	2	8
23	отношению к	4	8
24	но и	5	8
25	по отношению	4	8
26	себя в	2	7
27	в себе	4	7
28	том что	26	7
29	во второй	3	7
30	в отличие	3	7
31	в данном	11	7
32	точки зрения	7	7
33	в то	5	7
34	только в	13	7
35	как это	5	7
36	отличие от	3	7
37	же время	5	6
38	еще не	4	6
39	как бы	5	6
40	но в	10	6
41	однако в	3	5
42	в своем	3	5
43	а также	3	5
44	в ее	11	5
45	как и	5	5
46	не в	8	5
47	между ними	2	5
48	в самом	12	5
49	в нем	13	5
50	данном случае	5	5
51	уже не	5	5
52	в принципе	2	5
53	жизни как	2	5
54	с другой	8	5
55	между тем	8	5
56	мы имеем	3	5
57	не менее	8	4
58	не столько	2	4
59	можно сказать	3	4
60	в своей	4	4
61	то что	17	4
62	отношение к	3	4
63	в форме	2	4
64	в их	11	4
65	не может	13	4
66	сказать что	5	4
67	хотя и	3	4
68	и ее	4	4
69	говорить о	3	4
70	ни к	2	3
71	и др	2	3
72	никогда не	3	3
73	в этих	3	3
74	в отношении	2	3
75	этом смысле	11	3
76	прежде всего	8	3
77	а только	8	3
78	тем не	8	3
79	в соответствии	2	3
80	по своему	5	3
81	без остатка	2	3
82	того что	12	3
83	и сам	2	3
84	мог бы	2	3
85	например в	2	3
86	этого слова	2	3
87	на почве	5	3
88	другой стороны	5	3
89	как раз	4	3
90	входит в	2	3
91	таким образом	19	3
92	в текстах	3	3
93	именно в	8	3
94	в другом	3	3
95	и вот	3	3
96	и что	4	3
97	и то	5	3
98	потому что	14	3
99	что можно	2	3
100	в этой	3	3
101	и т.д	4	3
102	отношении к	2	3
103	его в	6	3
104	все эти	3	3
105	сама по	3	2
106	о чем	4	2
107	если бы	2	2
108	к действительности	2	2
109	могут быть	4	2
110	в конце	3	2
111	того же	3	2
112	это не	8	2
113	одного и	2	2
114	вовсе не	6	2
115	или иных	3	2
116	по себе	9	2
117	что он	4	2
118	к тому	4	2
119	что может	3	2
120	об этом	5	2
121	но как	2	2
122	и того	2	2
123	и как	9	2
124	соответствии с	2	2
125	особого рода	4	2
126	казалось бы	2	2
127	одной стороны	4	2
128	однако с	2	2
129	во втором	2	2
130	текст и	3	2
131	одной из	3	2
132	из которых	2	2
133	слова как	2	2
134	в виду	4	2
135	так или	4	2
136	времени в	3	2
137	своей природе	3	2
138	и тем	5	2
139	не с	2	2
140	к нему	2	2
141	в целом	5	2
142	во всех	2	2
143	вместе с	6	2
144	дело не	3	2
145	со стороны	12	2
146	а именно	6	2
147	здесь не	2	2
148	и для	4	2
149	с одной	4	2
150	от себя	3	2
151	тех или	3	2
152	в той	7	2
153	с точки	2	2
154	и даже	5	2
155	так же	3	2
156	или иначе	4	2
157	культуры в	5	2
158	как будто	3	2
159	не следует	2	2
160	о том	15	2
161	и это	6	2
162	в чем	4	2
163	в области	4	2
