N	2gram	Bakhtin_fo_1	Marksizm
1	может быть	11	28
2	и в	50	19
3	как бы	2	19
4	и не	14	19
5	не может	6	18
6	в процессе	4	18
7	точки зрения	5	17
8	то же	11	16
9	и его	16	16
10	как мы	14	15
11	в этом	25	15
12	таким образом	11	14
13	лишь в	6	14
14	в сущности	3	14
15	так сказать	7	14
16	не только	9	13
17	с точки	2	13
18	связи с	6	13
19	в нем	24	11
20	если бы	5	11
21	вовсе не	13	11
22	не в	5	10
23	в пределах	5	10
24	но и	8	10
25	том что	4	10
26	так и	12	10
27	и т.п	4	10
28	речи в	2	10
29	для него	2	9
30	при этом	3	9
31	в основе	5	9
32	как и	8	9
33	на почве	2	9
34	а не	3	9
35	отнюдь не	5	8
36	же время	9	8
37	не является	2	8
38	по отношению	3	8
39	в то	9	8
40	с его	9	8
41	отношению к	5	8
42	только в	4	8
43	никогда не	2	7
44	в связи	5	7
45	в том	9	7
46	его в	3	7
47	но в	10	7
48	прежде всего	15	7
49	одна из	2	7
50	и для	4	7
51	в таком	3	7
52	к тому	3	6
53	ни в	8	6
54	и как	10	6
55	в свою	2	6
56	того чтобы	5	6
57	в самом	8	6
58	и следовательно	4	6
59	с помощью	2	6
60	и все	6	6
61	более того	3	6
62	мы уже	11	6
63	во всех	6	6
64	слова и	2	6
65	быть и	2	6
66	если мы	2	6
67	для того	5	6
68	хотя бы	2	6
69	самого начала	2	5
70	или иной	2	5
71	смысле слова	2	5
72	на этой	4	5
73	в форме	3	5
74	в их	6	5
75	так же	6	5
76	и на	8	5
77	к другому	2	5
78	к этому	3	5
79	и того	6	5
80	того же	8	5
81	совершенно не	2	5
82	в его	13	5
83	все же	6	5
84	в той	4	5
85	с самого	2	5
86	в данном	2	5
87	выражение в	2	5
88	в отношении	3	4
89	это не	6	4
90	одного и	5	4
91	как если	2	4
92	той или	2	4
93	то что	6	4
94	и их	8	4
95	значение в	5	4
96	влияние на	4	4
97	того что	2	4
98	сказать что	3	4
99	а как	3	4
100	как раз	13	4
101	было бы	2	4
102	в данной	2	4
103	конечно не	4	4
104	вполне понятно	4	4
105	точном смысле	2	4
106	в основном	5	4
107	для себя	7	4
108	только на	3	4
109	в точном	2	4
110	и ее	3	4
111	в себе	3	4
112	ничего не	9	4
113	в этих	3	3
114	характерно что	4	3
115	с другой	2	3
116	да и	3	3
117	одной стороны	2	3
118	не имеют	3	3
119	в ней	4	3
120	в котором	4	3
121	его и	2	3
122	в каком	2	3
123	а в	3	3
124	с этим	6	3
125	с одной	3	3
126	все эти	9	3
127	не имеет	4	3
128	для других	4	3
129	не было	7	3
130	в истории	2	3
131	так как	6	3
132	подхода к	3	3
133	резко и	2	3
134	не как	2	3
135	по себе	2	3
136	в различных	2	3
137	в ее	6	3
138	в качестве	3	3
139	одно и	3	3
140	до сих	3	3
141	еще не	5	3
142	одной из	3	3
143	не к	2	3
144	он не	5	3
145	и до	5	3
146	что и	3	3
147	в своей	2	3
148	в отличие	2	3
149	на материале	2	3
150	на основе	2	3
151	той же	2	3
152	с другими	3	3
153	и то	4	3
154	во всяком	3	3
155	могут быть	5	3
156	и это	4	3
157	отличие от	2	3
158	сих пор	3	3
159	место в	2	2
160	уже в	2	2
161	в определенном	3	2
162	что в	5	2
163	в нашем	2	2
164	точку зрения	2	2
165	формы и	3	2
166	не знает	3	2
167	вопрос о	2	2
168	оно уже	2	2
169	тому же	2	2
170	лишь как	2	2
171	до конца	4	2
172	с нашей	3	2
173	и у	5	2
174	нашей точки	3	2
175	жизни и	8	2
176	в своем	4	2
177	в особенности	9	2
178	отношения к	3	2
179	именно в	3	2
180	они не	3	2
181	мы встречаем	2	2
182	и даже	2	2
183	друг друга	3	2
184	рядом с	2	2
185	конечно и	4	2
186	но для	2	2
187	в более	2	2
188	и с	4	2
189	именно как	4	2
190	прямо сказать	2	2
191	и является	2	2
192	в начале	3	2
193	все то	2	2
194	то есть	33	2
195	или как	4	2
196	но они	3	2
197	от этого	2	2
198	но по	2	2
199	у него	6	2
200	определяется не	2	2
201	в жизни	6	2
202	значение и	3	2
203	те моменты	2	2
204	стороны и	2	2
205	но не	5	2
206	здесь в	2	2
207	этот тип	2	2
208	и потому	3	2
209	нем нет	2	2
210	и речи	5	2
211	и прежде	2	2
212	всем этим	3	2
213	еще более	3	2
214	эти моменты	3	2
215	здесь как	2	2
216	в значительной	2	2
217	что не	3	2
218	и эта	2	2
219	между ними	3	2
220	мы не	3	2
221	или в	3	2
222	тем что	2	2
223	вступает в	2	2
224	все его	3	2
225	далеко не	2	2
226	там где	2	2
227	вместе с	3	2
228	слагается из	2	2
