N	2gram	Bakhtin_Pr_2	FransuaR
1	и в	43	41
2	то есть	4	20
3	таким образом	5	19
4	в этом	13	15
5	и все	6	14
6	как и	14	14
7	то же	8	13
8	все эти	5	13
9	мы уже	3	12
10	в его	10	12
11	прежде всего	10	11
12	в том	6	11
13	как мы	10	11
14	в себе	5	11
15	так и	3	10
16	все это	5	10
17	в то	7	10
18	и его	8	9
19	не в	11	9
20	же время	5	9
21	но и	14	9
22	в своем	4	9
23	что в	4	9
24	в конце	2	8
25	по существу	3	8
26	то что	7	8
27	но в	10	8
28	в них	4	7
29	вовсе не	5	7
30	в романе	3	7
31	как бы	22	7
32	в нем	12	7
33	и не	29	7
34	у него	6	6
35	это не	3	6
36	ни в	2	6
37	есть в	3	6
38	для него	8	6
39	и до	4	6
40	только в	4	6
41	о том	5	6
42	уже в	2	5
43	не только	11	5
44	и к	3	5
45	что и	3	5
46	как в	2	5
47	того как	2	5
48	а в	5	5
49	к нему	5	5
50	и для	3	5
51	так же	2	5
52	точки зрения	13	5
53	и это	4	5
54	что это	2	4
55	хотя и	5	4
56	из одного	4	4
57	но он	4	4
58	в образе	2	4
59	и здесь	3	4
60	том что	2	4
61	но все	2	4
62	одна из	2	4
63	слов и	5	4
64	было бы	5	4
65	в сущности	9	4
66	может быть	23	4
67	он не	9	4
68	в виду	3	4
69	уже говорили	3	4
70	целый ряд	2	4
71	и наконец	6	4
72	должно быть	4	4
73	рядом с	5	4
74	и на	10	4
75	та же	2	4
76	и с	5	4
77	конце концов	2	4
78	ничего не	3	4
79	я не	4	3
80	в отношении	3	3
81	что у	2	3
82	того же	3	3
83	во время	4	3
84	в одном	12	3
85	его к	2	3
86	он был	3	3
87	но это	4	3
88	такой же	3	3
89	в руках	2	3
90	в своей	4	3
91	есть и	3	3
92	кроме того	3	3
93	при этом	6	3
94	в формах	3	3
95	из них	2	3
96	например в	2	3
97	и их	3	3
98	и эта	2	3
99	о нем	6	3
100	что он	13	3
101	во всех	4	3
102	в форме	2	3
103	в их	3	3
104	не может	18	3
105	в той	5	3
106	с точки	8	3
107	той же	3	3
108	можно было	3	3
109	с ними	2	3
110	тем что	3	3
111	не на	4	3
112	не знает	3	3
113	но этот	2	3
114	его в	3	3
115	так сказать	6	3
116	так как	4	3
117	все его	2	3
118	например у	2	2
119	перед нами	7	2
120	в человеке	3	2
121	с его	4	2
122	ни было	2	2
123	и др	2	2
124	никогда не	9	2
125	он только	2	2
126	в этих	6	2
127	и со	3	2
128	и так	2	2
129	в одной	3	2
130	с этим	2	2
131	человека в	4	2
132	в тоне	2	2
133	переходим к	3	2
134	и ее	3	2
135	к тому	4	2
136	и еще	2	2
137	отношению к	5	2
138	и как	2	2
139	более или	3	2
140	всего этого	2	2
141	по своему	2	2
142	в большинстве	9	2
143	никому не	3	2
144	в себя	3	2
145	до конца	4	2
146	одно и	2	2
147	отношение к	2	2
148	тот же	3	2
149	еще не	9	2
150	того что	2	2
151	со всеми	3	2
152	на том	2	2
153	здесь нет	3	2
154	в самый	2	2
155	не есть	2	2
156	в первой	2	2
157	в процессе	2	2
158	образом и	3	2
159	или менее	3	2
160	и всегда	2	2
161	по отношению	5	2
162	еще более	2	2
163	только на	3	2
164	а не	7	2
165	мы здесь	2	2
166	уже не	3	2
167	особенно в	2	2
168	разобранным нами	2	2
169	мы не	4	2
170	или в	8	2
171	и то	2	2
172	в результате	4	2
173	их в	4	2
174	во всяком	2	2
175	в словах	4	2
176	к самому	3	2
177	в которых	2	2
178	ту же	2	2
179	может стать	4	2
180	также и	3	2
181	далеко не	4	2
182	как он	2	2
183	дело в	2	2
184	большинстве случаев	8	2
185	бы в	5	2
186	в каждой	2	2
187	с ним	3	2
