N	2gram	Voloshinov_1	RusskieA
1	и в	16	36
2	не только	7	22
3	что в	3	19
4	том что	3	19
5	в том	3	17
6	но и	4	16
7	так как	4	15
8	во время	3	14
9	в этом	9	12
10	в этот	2	10
11	как мы	4	10
12	как и	2	10
13	вместе с	3	10
14	и на	4	10
15	а в	3	9
16	может быть	17	8
17	один из	2	8
18	и по	2	8
19	о том	2	8
20	как это	3	8
21	что и	2	7
22	так и	4	7
23	и других	2	7
24	и не	4	6
25	для нас	2	6
26	при этом	6	6
27	в них	2	6
28	таким образом	9	6
29	мы не	2	6
30	все это	4	6
31	то что	3	6
32	как бы	5	5
33	с ними	4	5
34	из этих	2	4
35	к этому	2	4
36	что на	2	4
37	еще не	5	4
38	и др	3	4
39	во всех	3	4
40	и их	4	4
41	не может	8	4
42	но это	2	4
43	только в	4	4
44	не менее	2	3
45	что это	2	3
46	связанные с	2	3
47	в этих	3	3
48	в одном	3	3
49	и к	6	3
50	на этом	3	3
51	не можем	2	3
52	только на	3	3
53	к ним	2	3
54	в основном	3	3
55	то же	2	3
56	с точки	6	3
57	так же	2	3
58	их в	3	3
59	точки зрения	8	3
60	в области	3	3
61	в частности	2	2
62	могут быть	3	2
63	между собой	2	2
64	только для	5	2
65	с этим	2	2
66	и потому	3	2
67	в нем	4	2
68	у него	2	2
69	в жизни	2	2
70	и как	3	2
71	мы видим	2	2
72	в большинстве	3	2
73	отнюдь не	4	2
74	так называемый	2	2
75	в его	4	2
76	и с	8	2
77	на этой	3	2
78	как не	2	2
79	находится в	2	2
80	за счет	2	2
81	для этого	2	2
82	не на	2	2
83	все эти	5	2
84	на самом	4	2
85	и пр	12	2
86	и для	2	2
87	с ним	2	2
88	мы можем	9	2
89	себя и	2	2
90	но в	4	2
91	в один	4	2
92	большинстве случаев	3	2
