N	2gram	Berdyaev_O_1	Tvorches
1	у достоевского	19	30
2	и в	19	20
3	романах достоевского	3	13
4	не только	11	13
5	в романах	4	13
6	никогда не	9	11
7	преступлении и	3	11
8	как бы	3	11
9	в преступлении	4	10
10	и наказании	3	10
11	в его	7	10
12	достоевского в	3	9
13	и его	4	9
14	и не	13	9
15	прежде всего	9	8
16	достоевского не	4	8
17	в том	5	8
18	ивана карамазова	7	8
19	но и	13	8
20	может быть	11	8
21	в этом	12	8
22	и с	2	8
23	это не	3	7
24	что в	4	7
25	иван карамазов	2	7
26	не может	4	7
27	потому что	9	7
28	у него	22	6
29	что он	3	6
30	как и	6	6
31	из подполья	11	6
32	в своей	2	6
33	так и	2	6
34	все это	6	6
35	в бесах	3	6
36	а не	11	6
37	романов достоевского	2	5
38	достоевского с	2	5
39	еще не	3	5
40	достоевский не	4	5
41	все же	2	5
42	и на	2	5
43	в этой	5	5
44	о том	3	5
45	героев достоевского	2	5
46	в творчестве	5	5
47	в душе	2	4
48	что у	2	4
49	и от	3	4
50	том что	2	4
51	что они	2	4
52	хотя и	2	4
53	когда он	3	4
54	все эти	4	4
55	творчество достоевского	2	4
56	не в	11	4
57	а в	5	4
58	легенда о	2	4
59	герои достоевского	4	4
60	и потому	2	4
61	ничего не	2	4
62	но в	2	4
63	записках из	3	3
64	он сам	4	3
65	о великом	6	3
66	что достоевский	2	3
67	жизни в	2	3
68	человека и	10	3
69	к этому	2	3
70	с ним	3	3
71	в дневнике	2	3
72	быть может	3	3
73	достоевского нет	2	3
74	на западе	2	3
75	великом инквизиторе	6	3
76	для него	5	3
77	что не	4	3
78	в самом	5	3
79	он не	7	3
80	в нем	10	3
81	то что	5	3
82	достоевского но	2	3
83	так как	2	3
84	человека в	11	3
85	тем что	2	3
86	в своих	3	3
87	в себе	3	3
88	его в	2	3
89	нет ничего	7	3
90	в записках	3	3
91	уже в	2	2
92	и есть	3	2
93	о человеке	29	2
94	в этот	2	2
95	и ее	3	2
96	человеческой личности	6	2
97	в ее	2	2
98	так что	2	2
99	записки из	3	2
100	не могли	2	2
101	дневнике писателя	2	2
102	него в	5	2
103	самого достоевского	3	2
104	в истории	2	2
105	не было	9	2
106	достоевского к	2	2
107	достоевского и	5	2
108	образ человека	2	2
109	и он	8	2
110	о достоевском	2	2
111	более всего	3	2
112	иваном карамазовым	2	2
113	могут быть	3	2
114	для достоевского	5	2
115	в которой	2	2
116	он всегда	7	2
117	в русской	3	2
118	в россии	5	2
